Tiempo,Escalas(m),Datos1(°)
2019-11-28 17:42:42,940.6,4.0
2019-11-28 17:43:35,1860.0,2.466666666666667
2019-11-28 17:45:11,2193.4,0.9333333333333336
2019-11-28 17:46:24,1690.7,-0.6
2019-11-28 17:46:50,1690.9,0.0
2019-11-28 17:47:33,1691.5,-0.8
2019-11-28 17:48:31,1640.6,16.6
2019-11-28 17:49:44,535.3,10.8
2019-11-28 17:51:00,805.0,5.0
2019-11-28 17:51:47,1691.0,-0.8
2019-11-28 17:53:24,1691.0,-0.2
2019-11-28 17:53:48,1691.1,-1.3
2019-11-28 17:54:15,1690.8,-0.3
2019-11-28 17:55:25,1690.9,-0.4
2019-11-28 17:56:08,1691.3,0.2
2019-11-28 17:56:53,1691.0,-2.0
2019-11-28 17:57:21,1691.7,-0.8
2019-11-28 17:58:07,1691.6,47.4
2019-11-28 17:58:29,1691.0,95.6
2019-11-28 18:00:11,2367.9,71.675
2019-11-28 18:01:23,2635.5,47.75
2019-11-28 18:02:14,2972.6,23.825000000000003
