Tiempo,Escalas(m),Datos1(m)
2019-11-28 12:52:25,1806.7,95.5
2019-11-28 12:52:49,1807.0,93.9
2019-11-28 12:53:39,1671.2,94.1
2019-11-28 12:54:53,1806.4,94.3
2019-11-28 12:55:16,1806.6,93.9
2019-11-28 12:55:41,1806.9,97.4
2019-11-28 12:56:30,1807.3,97.1
2019-11-28 12:56:52,1806.9,97.1
2019-11-28 12:57:17,1807.0,96.0
2019-11-28 12:58:07,1806.9,97.3
2019-11-28 12:58:33,1807.4,96.2
2019-11-28 12:58:57,1807.3,96.7
2019-11-28 12:59:46,1170.8,97.25
2019-11-28 13:00:58,1807.4,97.8
2019-11-28 13:01:48,1807.6,98.9
2019-11-28 13:02:10,1807.6,100.1
2019-11-28 13:02:32,1807.2,101.7
2019-11-28 13:02:58,1807.2,101.6
2019-11-28 13:03:20,1807.4,102.7
2019-11-28 13:03:45,1807.1,102.7
2019-11-28 13:04:10,1807.2,102.8
2019-11-28 13:04:35,1806.9,101.8
2019-11-28 13:05:24,1806.8,101.1
2019-11-28 13:05:49,1806.8,102.6
2019-11-28 13:06:14,1806.2,104.2
2019-11-28 13:06:36,1807.0,105.6
2019-11-28 13:07:25,1634.2,106.3
2019-11-28 13:08:10,297.1,107.0
2019-11-28 13:08:57,1807.4,107.7
2019-11-28 13:09:23,1806.7,109.3
2019-11-28 13:09:48,1806.5,109.7
