Tiempo,Escalas(m),Datos1(°)
2019-11-28 16:22:45,1798.2,47.35454545454546
2019-11-28 16:23:29,1797.8,37.763636363636365
2019-11-28 16:24:43,1295.2,28.172727272727272
2019-11-28 16:25:33,1140.8,18.58181818181818
2019-11-28 16:26:18,823.5,8.990909090909085
2019-11-28 16:27:01,1797.8,-0.6
2019-11-28 16:27:47,1798.1,-0.3
2019-11-28 16:28:10,1798.0,0.0
2019-11-28 16:28:33,1797.8,0.3
2019-11-28 16:28:59,1797.8,0.13333333333333333
2019-11-28 16:29:24,1798.2,-0.033333333333333326
2019-11-28 16:29:43,1797.5,-0.2
2019-11-28 16:30:27,1797.8,-0.8666666666666667
2019-11-28 16:31:58,1798.1,-1.5333333333333332
2019-11-28 16:32:22,1797.8,-2.2
2019-11-28 16:32:49,1798.0,-2.0500000000000003
2019-11-28 16:33:15,1798.4,-1.9000000000000001
2019-11-28 16:34:02,1055.3,-1.75
2019-11-28 16:34:50,1797.6,-1.6
2019-11-28 16:35:39,1797.7,-0.7
2019-11-28 16:36:16,1797.9,-0.3
