Tiempo,Escalas(m),Datos1(m)
2019-11-28 08:47:53,2340.8,78.6375
2019-11-28 08:50:40,1441.6,74.2
2019-11-28 08:51:32,1548.5,55.7
2019-11-28 08:52:43,543.6,53.55
2019-11-28 08:53:32,1698.5,51.4
2019-11-28 08:53:56,1713.5,58.08
2019-11-28 08:57:05,1776.9,64.75999999999999
2019-11-28 08:57:32,1779.1,71.44
2019-11-28 09:00:08,1678.3,78.12
2019-11-28 09:01:00,1792.1,84.8
2019-11-28 09:01:26,1792.5,90.9
2019-11-28 09:01:52,1793.0,98.8
2019-11-28 09:02:18,1793.1,102.5
2019-11-28 09:02:44,1793.9,101.4
2019-11-28 09:03:09,1794.5,98.7
2019-11-28 09:03:36,1796.8,98.85
2019-11-28 09:04:00,1796.8,99.0
2019-11-28 09:04:27,1798.6,100.2
2019-11-28 09:04:55,1799.3,101.9
2019-11-28 09:05:19,1800.5,103.6
2019-11-28 09:05:43,1801.7,105.15
