Tiempo,Escalas(m),Datos1(°)
2019-11-28 15:15:41,2548.5,69.7
2019-11-28 15:17:05,2531.4,84.45
2019-11-28 15:23:13,1793.6,99.2
2019-11-28 15:28:53,1865.9,55.800000000000004
2019-11-28 15:29:45,1850.1,12.4
2019-11-28 15:32:12,1985.2,55.55
2019-11-28 15:37:55,1794.7,98.7
2019-11-28 15:39:17,1797.2,69.86666666666667
2019-11-28 15:41:33,2941.3,41.03333333333334
2019-11-28 15:42:58,1794.7,12.2
2019-11-28 15:44:54,1794.5,11.1
2019-11-28 15:45:49,1794.4,99.4
2019-11-28 15:46:15,1794.4,55.2
2019-11-28 15:48:07,1794.4,11.0
2019-11-28 15:48:34,1794.5,1.3000000000000007
2019-11-28 15:50:25,1850.8,-8.4
2019-11-28 15:51:50,1794.8,6.4
2019-11-28 15:56:15,1795.3,1.8
2019-11-28 15:56:43,1795.3,1.85
2019-11-28 15:57:37,1795.7,1.9
2019-11-28 15:58:05,1768.5,10.1
2019-11-28 15:59:59,1795.5,2.5
2019-11-28 16:05:13,1796.0,100.1
