Tiempo,Escalas(m),Datos1(°)
2019-11-28 04:53:35,1798.7,0.0
2019-11-28 04:54:01,1798.9,0.5
2019-11-28 04:54:56,1798.9,0.2
2019-11-28 04:55:21,1798.7,0.1
2019-11-28 04:56:15,1798.6,0.0
2019-11-28 04:57:07,1799.0,-0.6
2019-11-28 04:57:32,1798.3,-1.4
2019-11-28 04:58:51,1798.8,1.2
2019-11-28 04:59:19,1798.7,0.2
2019-11-28 04:59:46,1798.9,1.4
2019-11-28 05:00:11,1798.5,-0.5
2019-11-28 05:00:37,1798.3,-0.8
2019-11-28 05:01:02,1798.2,-0.8
2019-11-28 05:01:28,1798.9,1.6
2019-11-28 05:02:19,1798.9,-0.4
2019-11-28 05:03:12,1798.1,0.5
2019-11-28 05:04:31,1798.3,0.0
2019-11-28 05:04:58,1798.5,0.9
2019-11-28 05:05:23,1798.4,-0.8
2019-11-28 05:05:48,1798.3,-0.3
2019-11-28 05:06:38,1798.3,-0.9
2019-11-28 05:07:06,1798.1,-0.5
2019-11-28 05:07:31,1798.7,-0.4
2019-11-28 05:07:56,1798.4,-1.1
2019-11-28 05:08:24,1797.9,-0.7
2019-11-28 05:08:49,1797.9,0.7
2019-11-28 05:09:14,1798.1,0.1
2019-11-28 05:09:39,1798.0,-0.8
2019-11-28 05:10:05,1797.9,0.7
2019-11-28 05:10:32,1798.4,0.55
2019-11-28 05:10:59,1798.1,0.4
2019-11-28 05:11:24,1798.2,-1.6
2019-11-28 05:11:52,1800.0,-0.4
2019-11-28 05:12:17,1798.6,0.1
2019-11-28 05:12:42,1797.9,0.4
2019-11-28 05:13:07,1797.9,1.5
2019-11-28 05:13:33,1798.1,0.85
2019-11-28 05:13:59,1798.1,0.2
2019-11-28 05:14:24,1798.0,-1.3
2019-11-28 05:14:51,1797.7,-1.1
2019-11-28 05:15:15,1798.0,-0.8
2019-11-28 05:15:40,1798.2,-1.2
2019-11-28 05:16:05,1799.2,-0.4
