Tiempo,Escalas(m),Datos1(°)
2019-11-28 16:38:57,1740.4,97.1
2019-11-28 16:43:14,1739.3,16.7
2019-11-28 16:45:35,1739.5,95.9
2019-11-28 16:50:21,1738.8,95.1
2019-11-28 16:53:43,1857.5,56.0
2019-11-28 17:01:00,1738.5,94.8
2019-11-28 17:02:22,1738.5,94.9
2019-11-28 17:05:13,1738.9,24.1
2019-11-28 17:08:06,2045.0,17.6
2019-11-28 17:19:05,1513.0,11.100000000000001
2019-11-28 17:23:58,1797.2,4.6
2019-11-28 17:35:34,1796.8,0.8
2019-11-28 17:38:24,1738.2,32.13333333333333
2019-11-28 17:39:21,1738.6,63.46666666666666
2019-11-28 17:42:12,1739.0,94.8
2019-11-28 17:44:08,1739.2,67.0
2019-11-28 17:49:51,867.0,39.2
2019-11-28 17:52:41,1739.4,11.4
2019-11-28 17:53:38,1740.4,11.0
2019-11-28 17:54:35,1739.9,10.6
2019-11-28 17:55:59,1740.4,95.3
2019-11-28 18:00:16,1797.7,-8.1
2019-11-28 18:02:36,1740.8,1.7
2019-11-28 18:04:26,1741.1,1.9
2019-11-28 18:04:51,1741.6,7.6
2019-11-28 18:05:19,1741.6,51.800000000000004
2019-11-28 18:06:34,1741.1,96.0
2019-11-28 18:07:01,1740.9,49.3
2019-11-28 18:09:18,1740.9,2.6
2019-11-28 18:11:08,1740.5,5.2
2019-11-28 18:12:06,1741.7,3.6
2019-11-28 18:13:57,1740.5,4.5
2019-11-28 18:15:51,1740.6,3.425
