Code,Tiempo,Escalas(m),Datos1(°C),Datos2(m),Latitude,Longitude,Sonda(m),Comment
Starboard Temperature,14:24:35,1697,0,10,6,---,---,
Starboard Temperature,14:25:12,1696,3,10,5,---,---,
Starboard Temperature,14:25:50,1696,1,10,5,---,---,
Starboard Temperature,14:26:30,1696,6,10,5,---,---,
Starboard Temperature,14:27:10,1696,1,10,5,---,---,
Starboard Temperature,14:27:47,1696,0,10,5,---,---,
Starboard Temperature,14:28:24,1695,7,10,4,---,---,
Starboard Temperature,14:29:01,1696,4,10,5,---,---,
Starboard Temperature,14:29:38,1695,9,10,5,---,---,
Starboard Temperature,14:30:15,1696,2,10,4,---,---,
Starboard Temperature,14:30:52,1696,7,10,5,---,---,
Starboard Temperature,14:31:29,1696,3,10,5,---,---,
Starboard Temperature,14:32:06,1696,7,10,5,---,---,
Starboard Temperature,14:32:43,1696,6,10,5,---,---,
Starboard Temperature,14:33:20,1696,8,10,5,---,---,
Starboard Temperature,14:33:57,1696,5,10,5,---,---,
Starboard Temperature,14:34:35,1696,8,10,5,---,---,
Starboard Temperature,14:35:12,1696,2,10,5,---,---,
Starboard Temperature,14:35:50,1696,3,10,5,---,---,
Starboard Temperature,14:36:27,1696,1,10,5,---,---,
Starboard Temperature,14:37:04,1695,8,10,5,---,---,
Starboard Temperature,14:37:41,1696,3,10,5,---,---,
Starboard Temperature,14:38:18,1695,5,10,5,---,---,
Starboard Temperature,14:38:55,1695,5,10,5,---,---,
Starboard Temperature,14:39:32,1695,5,10,5,---,---,
Starboard Temperature,14:40:10,1695,5,10,5,---,---,
Starboard Temperature,14:40:48,1695,1,10,5,---,---,
Starboard Temperature,14:41:28,1694,8,10,5,---,---,
Starboard Temperature,14:42:06,---,-4,0,---,---,---,
Starboard Temperature,14:42:44,1696,5,10,5,---,---,
Starboard Temperature,14:43:22,1694,5,10,5,---,---,
Starboard Temperature,14:43:59,1694,7,10,5,---,---,
Starboard Temperature,14:44:36,1694,4,10,5,---,---,
Starboard Temperature,14:45:19,---,---,---,---,---,---,
Starboard Temperature,14:45:57,1694,7,10,5,---,---,
Starboard Temperature,14:46:37,1694,9,10,5,---,---,
Starboard Temperature,14:47:14,1695,5,10,5,---,---,
