Code,Tiempo,Escalas(m),Datos1(m),Datos2(m),Latitude,Longitude,Sonda(m),Comment
Alineamiento de Estribor,16:45:11,1739,3,1,5,---,---,
Alineamiento de Estribor,16:45:49,1739,2,0,7,---,---,
Alineamiento de Estribor,16:46:28,1739,9,---,---,---,---,
Alineamiento de Estribor,16:47:05,1739,7,0,6,---,---,
Alineamiento de Estribor,16:47:42,1740,9,0,2,---,---,
Alineamiento de Estribor,16:48:22,1740,4,0,4,---,---,
Alineamiento de Estribor,16:48:59,1740,7,0,4,---,---,
Alineamiento de Estribor,16:49:38,---,---,---,---,---,---,
Alineamiento de Estribor,16:50:14,1740,3,0,6,---,---,
Alineamiento de Estribor,16:50:54,1740,4,0,5,---,---,
Alineamiento de Estribor,16:51:32,1740,5,0,4,---,---,
Alineamiento de Estribor,16:52:09,1740,8,0,4,---,---,
Alineamiento de Estribor,16:52:50,---,---,---,---,---,---,
Alineamiento de Estribor,16:53:29,---,---,---,---,---,---,
Alineamiento de Estribor,16:54:06,1740,0,0,2,---,---,
Alineamiento de Estribor,16:54:43,1739,6,0,7,---,---,
Alineamiento de Estribor,16:55:22,1739,7,2,0,---,---,
Alineamiento de Estribor,16:56:00,1739,7,0,4,---,---,
Alineamiento de Estribor,16:56:40,1740,0,0,1,---,---,
Alineamiento de Estribor,16:57:18,1739,7,---,---,---,---,
Alineamiento de Estribor,16:57:58,1739,8,0,8,---,---,
Alineamiento de Estribor,16:58:37,1739,8,0,4,---,---,
Alineamiento de Estribor,16:59:16,---,---,---,---,---,---,
Alineamiento de Estribor,16:59:52,1739,8,0,4,---,---,
Alineamiento de Estribor,17:00:29,1739,8,1,0,---,---,
Alineamiento de Estribor,17:01:07,1740,1,0,4,---,---,
Alineamiento de Estribor,17:01:44,1740,6,0,4,---,---,
Alineamiento de Estribor,17:02:23,1740,5,0,5,---,---,
Alineamiento de Estribor,17:03:00,1740,3,0,6,---,---,
Alineamiento de Estribor,17:03:38,1740,5,0,4,---,---,
Alineamiento de Estribor,17:04:15,1740,6,1,0,---,---,
Alineamiento de Estribor,17:04:52,1740,5,0,9,---,---,
Alineamiento de Estribor,17:05:29,1740,4,0,7,---,---,
Alineamiento de Estribor,17:06:06,1740,2,0,2,---,---,
Alineamiento de Estribor,17:06:43,1740,2,0,7,---,---,
Alineamiento de Estribor,17:07:20,1739,9,0,4,---,---,
Alineamiento de Estribor,17:07:57,1740,1,0,2,---,---,
Alineamiento de Estribor,17:08:34,1739,8,1,0,---,---,
Alineamiento de Estribor,17:09:11,1740,0,0,7,---,---,
Alineamiento de Estribor,17:09:47,1740,0,0,5,---,---,
Alineamiento de Estribor,17:10:24,1739,8,0,4,---,---,
Alineamiento de Estribor,17:11:03,1739,9,0,5,---,---,
Alineamiento de Estribor,17:11:41,1739,8,0,4,---,---,
Alineamiento de Estribor,17:12:20,1739,8,0,5,---,---,
Alineamiento de Estribor,17:12:57,1739,7,0,4,---,---,
Alineamiento de Estribor,17:13:34,1739,7,0,5,---,---,
Alineamiento de Estribor,17:14:10,1739,5,1,7,---,---,
Alineamiento de Estribor,17:14:47,1739,4,0,4,---,---,
Alineamiento de Estribor,17:15:24,1739,1,0,4,---,---,
Alineamiento de Estribor,17:16:01,1739,0,0,5,---,---,
Alineamiento de Estribor,17:16:38,1739,0,0,7,---,---,
Alineamiento de Estribor,17:17:15,1739,0,0,5,---,---,
Alineamiento de Estribor,17:17:52,1739,1,0,2,---,---,
Alineamiento de Estribor,17:18:29,1739,3,0,3,---,---,
Alineamiento de Estribor,17:19:06,1739,4,0,6,---,---,
Alineamiento de Estribor,17:19:45,1740,0,0,1,---,---,
Alineamiento de Estribor,17:20:22,1740,1,0,3,---,---,
Alineamiento de Estribor,17:21:00,1740,5,0,5,---,---,
Alineamiento de Estribor,17:21:38,1740,8,0,4,---,---,
Alineamiento de Estribor,17:22:16,1740,7,0,5,---,---,
Alineamiento de Estribor,17:22:54,1740,9,0,5,---,---,
Alineamiento de Estribor,17:23:31,1741,1,0,5,---,---,
Alineamiento de Estribor,17:24:09,1741,3,0,8,---,---,
