,Tiempo,Escalas(m)Babor,Datos1(°)Babor,Escalas(m)Starboard Door Heel,Datos1(°)Starboard Door Heel,Escalas(m)Estribor,Datos1(Fa)Estribor,Escalas(m)Capturas 1,Datos1()Capturas 1
0,2019-11-14 10:44:00,660.6374999999998,49.2,661.6249999999999,59.68695652173913,662.7166666666667,11.645833333333336,796.5500000000002,0.0
1,2019-11-14 10:48:00,662.76,51.915,663.1999999999998,59.2608695652174,664.2666666666665,31.59583333333333,800.2166666666666,0.0
2,2019-11-14 10:52:00,662.3700000000001,47.82222222222222,662.5666666666667,58.89565217391304,663.1166666666667,34.98333333333333,800.0124999999998,0.0
3,2019-11-14 10:56:00,662.5636363636364,47.920707070707074,662.5,53.77690217391304,663.4142857142857,34.792857142857144,800.6000000000001,0.0
4,2019-11-14 11:00:00,662.8333333333334,48.51944444444444,662.85,49.08333333333334,663.2999999999997,32.334375,800.4800000000001,0.0
5,2019-11-14 11:04:00,662.5699999999998,51.44499999999999,662.5111111111112,52.88333333333333,662.8444444444443,32.45277777777777,800.4333333333334,0.0
6,2019-11-14 11:08:00,662.55,46.6025,661.75,51.24999999999999,663.5,32.5,801.6800000000002,0.0
7,2019-11-14 11:12:00,662.5818181818181,44.85909090909091,661.7250000000001,55.55468749999999,662.9625000000002,34.04375,799.55,0.0
8,2019-11-14 11:16:00,662.55,48.815,661.8545454545455,51.23295454545455,662.6999999999998,33.78333333333333,799.7166666666667,0.0
9,2019-11-14 11:20:00,662.5181818181818,46.76363636363636,661.5285714285714,58.98571428571428,662.6555555555557,33.22,799.6999999999998,0.0
10,2019-11-14 11:24:00,662.9222222222222,42.97222222222222,662.0,49.14166666666667,663.9000000000002,30.91,800.6666666666665,0.0
11,2019-11-14 11:28:00,662.7999999999997,47.87500000000001,663.2000000000003,50.40000000000001,664.46,32.64,800.342857142857,0.0
12,2019-11-14 11:32:00,662.6909090909091,48.66590909090908,662.7125,54.88125,663.6142857142858,34.24285714285715,800.6899999999997,0.0
13,2019-11-14 11:36:00,662.49,49.0375,661.7666666666668,56.78333333333333,664.4285714285714,34.06428571428571,800.33,0.0
14,2019-11-14 11:40:00,662.6777777777778,46.663888888888884,661.85,53.660714285714285,663.8285714285714,34.85,799.42,0.0
15,2019-11-14 11:44:00,662.94,51.50666666666666,662.2666666666668,55.51587301587301,663.7571428571429,33.385714285714286,800.55,0.0
16,2019-11-14 11:48:00,662.7454545454547,49.63939393939393,662.1571428571431,49.9,663.5888888888887,33.761111111111106,800.5,0.0
17,2019-11-14 11:52:00,662.5666666666666,51.6,662.1400000000001,54.825,663.25,34.21875,800.26,0.0
18,2019-11-14 11:56:00,662.4599999999998,50.41,661.5,56.14375,664.5428571428573,33.07142857142857,800.3699999999999,0.0
19,2019-11-14 12:00:00,662.5545454545455,50.463636363636354,662.2142857142858,56.757142857142846,663.35,33.8,799.9,0.0
20,2019-11-14 12:04:00,662.6888888888889,48.477777777777774,662.5181818181818,53.03636363636363,664.5874999999999,32.3375,800.7199999999998,0.0
21,2019-11-14 12:08:00,662.688888888889,50.21666666666667,662.2,49.71250000000001,664.2125000000002,31.46875,801.3100000000002,0.0
22,2019-11-14 12:12:00,663.1,50.425,661.8571428571429,55.95,663.3142857142857,30.95,801.5600000000002,0.0
23,2019-11-14 12:16:00,662.9777777777778,49.250793650793646,662.6857142857143,53.714285714285715,663.6555555555557,30.18888888888889,802.0,0.0
24,2019-11-14 12:20:00,662.9454545454547,48.11753246753247,662.8625000000002,51.14375,664.125,27.918750000000006,803.3199999999998,0.0
25,2019-11-14 12:24:00,662.9,48.197435897435895,662.5444444444445,48.88796296296297,663.65,28.48,803.0428571428571,0.0
