,Tiempo,Escalas(m)Babor,Datos1(°)Babor,Escalas(m)Cabecera altura,Datos1(m)Cabecera altura,Escalas(m)Estribor,Datos1(°)Estribor,Escalas(m)Abertura,Datos1(m)Abertura
0,2019-11-14 06:08:00,1540.875,-9.8,1270.8,40.77500000000001,1739.4,-1.91,1476.9199999999996,108.92
1,2019-11-14 06:12:00,1316.2,-8.9,1305.3666666666668,40.14285714285714,1500.9,-1.3199999999999998,1545.783333333333,111.21666666666668
2,2019-11-14 06:16:00,1795.6,-9.742857142857146,1447.65,39.61607142857143,1796.8499999999995,-1.0227272727272727,1399.3833333333332,112.86666666666667
3,2019-11-14 06:20:00,1581.1833333333334,-9.05,1122.8666666666666,39.089285714285715,997.26,0.027272727272727337,1064.975,113.5625
4,2019-11-14 06:24:00,1721.0285714285715,-8.778571428571428,1286.62,38.246428571428574,998.275,17.8,1131.08,201.4
5,2019-11-14 06:28:00,1796.1125000000004,-7.9,2405.95,37.29821428571429,1502.7333333333331,75.13333333333334,1244.2,353.71875
6,2019-11-14 06:32:00,1410.2142857142858,-6.346428571428571,1443.225,36.45535714285714,1322.12,20.32,1348.26,156.91
7,2019-11-14 06:36:00,1450.4599999999996,-9.47,1297.575,35.61250000000001,1486.3428571428574,-1.0071428571428571,1230.62,114.43500000000002
8,2019-11-14 06:40:00,1364.8333333333333,-7.904166666666666,113.36666666666667,34.875,1626.2399999999998,0.11999999999999995,1320.0,111.76000000000002
9,2019-11-14 06:44:00,1704.84,-6.776000000000002,1813.4333333333332,34.24285714285715,1794.6,-0.8374999999999999,1645.2800000000002,108.88
10,2019-11-14 06:48:00,1673.216666666667,41.03,740.8,33.716071428571425,1656.65,56.225,1786.5399999999993,108.76000000000002
11,2019-11-14 06:52:00,1640.9285714285718,-9.75,1374.0333333333335,33.18928571428572,1792.9,214.78000000000003,1785.0000000000002,103.18333333333332
12,2019-11-14 06:56:00,1268.457142857143,-8.9,1628.125,32.45178571428572,1732.583333333333,199.45,1787.1,102.6
13,2019-11-14 07:00:00,1662.42,-9.653333333333332,2788.3,31.81964285714286,1796.2333333333331,225.0,1484.3166666666668,103.725
14,2019-11-14 07:04:00,1292.06,-5.626666666666668,2155.0333333333333,31.292857142857148,1383.35,208.05,1545.5666666666666,102.91666666666669
15,2019-11-14 07:08:00,1434.05,-4.166666666666667,1091.925,30.555357142857147,1597.2166666666665,163.19333333333333,1078.6,112.5125
16,2019-11-14 07:12:00,1655.5142857142855,-9.704761904761906,1199.02,29.607142857142858,1249.9,36.268,1647.7599999999998,115.43
17,2019-11-14 07:16:00,1745.7400000000002,-6.633333333333333,1953.5666666666668,28.764285714285716,1112.3666666666668,-0.975,1635.94,120.34
18,2019-11-14 07:20:00,1702.2833333333335,-7.35,1542.5333333333335,28.132142857142863,1926.8857142857141,0.09571428571428572,1643.9857142857145,123.20000000000002
19,2019-11-14 07:24:00,1271.9,-10.706666666666667,1274.1,29.95267857142857,911.46,-0.964,1797.142857142857,116.94285714285714
20,2019-11-14 07:28:00,1069.4,-9.841666666666667,2053.375,41.90000000000001,915.26,0.020000000000000063,1696.6799999999996,126.085
21,2019-11-14 07:32:00,1394.7800000000002,-5.45,1219.02,56.3,985.1,32.214285714285715,1351.1,135.2125
22,2019-11-14 07:36:00,1390.84,37.976470588235294,927.475,68.74567307692307,1144.025,116.33214285714287,1797.1166666666668,144.78333333333333
23,2019-11-14 07:40:00,922.88,104.77058823529413,1180.4666666666665,72.36826923076922,1116.6799999999996,135.96000000000004,1329.46,121.732
24,2019-11-14 07:44:00,1348.92,171.56470588235294,1120.3000000000004,75.33942307692307,1443.9,0.039999999999999904,1353.0,106.74
25,2019-11-14 07:48:00,1704.0857142857142,223.09159663865543,993.3,77.41923076923077,1644.25,-1.3583333333333334,1799.525,103.8875
26,2019-11-14 07:52:00,1364.025,225.0,1441.0,78.90480769230768,1749.2714285714285,-1.7520408163265306,1579.757142857143,110.61428571428571
27,2019-11-14 07:56:00,1798.1625,40.8875,832.4,80.09326923076924,876.0749999999997,-1.5714285714285714,1530.666666666667,113.14166666666664
28,2019-11-14 08:00:00,1798.3,199.87857142857143,1378.7,81.28173076923076,1684.6,-1.7499999999999998,1798.6166666666668,105.46666666666668
29,2019-11-14 08:04:00,1798.583333333333,224.98333333333332,840.1,82.17307692307692,1995.675,-0.7875,1798.9875,104.6125
30,2019-11-14 08:08:00,1798.7444444444445,80.6388888888889,2416.05,83.06442307692308,1297.4599999999996,9.86,1799.0571428571427,103.01428571428572
31,2019-11-14 08:12:00,1798.5875,19.0,1390.9499999999996,84.2528846153846,1484.08,154.06,1798.9428571428573,101.1857142857143
32,2019-11-14 08:16:00,1798.0875,158.896875,1756.166666666667,85.73846153846154,1798.0444444444445,0.05555555555555555,1798.5624999999998,107.5
33,2019-11-14 08:20:00,1798.3125,-2.5406249999999986,1593.4333333333334,87.52115384615385,1506.65,-0.9416666666666664,1798.7125,108.4875
34,2019-11-14 08:24:00,1798.1999999999996,106.8,443.1,88.70961538461539,1798.4,0.89,1798.8000000000004,110.38333333333333
35,2019-11-14 08:28:00,1689.5142857142855,-11.292857142857144,1359.0333333333333,89.89807692307693,1956.6571428571426,1.7275510204081634,1685.185714285714,104.1
