,Tiempo,Escalas(m)Babor,Datos1(°)Babor,Escalas(m)Starboard Door Heel,Datos1(°)Starboard Door Heel,Escalas(m)Estribor,Datos1(Fa)Estribor,Escalas(m)Capturas 1,Datos1()Capturas 1
0,2019-11-14 08:52:00,657.1600000000002,51.38000000000001,635.1666666666666,51.27777777777778,647.6999999999998,10.754166666666668,792.8499999999998,0.0
1,2019-11-14 08:56:00,662.2428571428571,42.535714285714285,662.725,52.74166666666667,664.0999999999998,35.1,799.12,0.0
2,2019-11-14 09:00:00,662.52,41.79666666666665,663.2624999999998,48.375,664.2666666666668,32.016666666666666,801.9666666666667,0.0
3,2019-11-14 09:04:00,662.51,45.97904761904761,663.0,49.2,664.5,30.41,803.38,0.0
4,2019-11-14 09:08:00,661.9818181818182,43.449350649350656,663.3222222222222,49.91111111111112,664.2888888888888,30.41666666666667,803.0142857142856,0.0
5,2019-11-14 09:12:00,662.1555555555557,44.8,663.9200000000002,50.63333333333333,664.6000000000001,30.085,802.3888888888888,0.0
6,2019-11-14 09:16:00,662.8375,49.12875,663.1099999999999,46.12666666666666,664.0222222222224,27.566666666666666,803.4666666666667,0.0
7,2019-11-14 09:20:00,662.64,50.80700000000001,662.5699999999998,48.23,664.0545454545455,26.92727272727273,803.8999999999999,0.0
8,2019-11-14 09:24:00,662.4181818181819,43.67272727272728,663.5285714285714,50.328571428571436,665.0555555555555,28.344444444444445,803.28,0.0
9,2019-11-14 09:28:00,662.1400000000001,45.055,663.52,49.31500000000001,664.4714285714286,27.585714285714282,804.2545454545453,0.0
10,2019-11-14 09:32:00,662.2222222222222,41.1037037037037,663.5727272727273,47.91818181818182,664.4000000000002,27.3,803.5625,0.0
11,2019-11-14 09:36:00,662.1800000000002,41.80566666666667,663.4777777777776,49.46666666666667,665.825,28.6625,803.5857142857143,0.0
12,2019-11-14 09:40:00,662.3571428571429,43.99428571428571,663.8142857142857,48.64285714285714,664.8000000000002,28.564285714285717,803.6428571428571,0.14285714285714285
13,2019-11-14 09:44:00,661.3888888888888,38.611111111111114,664.02,53.33000000000001,664.9,28.042857142857148,803.2750000000002,0.0625
14,2019-11-14 09:48:00,662.0375,39.83749999999999,663.4777777777778,51.51666666666667,664.8874999999998,28.5875,804.0200000000002,0.5
15,2019-11-14 09:52:00,662.5399999999997,38.755,664.2444444444443,45.99444444444444,664.8272727272728,28.02727272727273,803.96,0.2
16,2019-11-14 09:56:00,661.4399999999998,38.325,663.8375,50.99374999999999,665.5714285714286,27.271428571428572,803.6199999999999,0.3
17,2019-11-14 10:00:00,641.36,37.575,613.24,47.371428571428574,663.2666666666668,26.66666666666667,803.45,0.5
