Code,Tiempo,Escalas(m),Datos1(),Datos2(m),Latitude,Longitude,Sonda(m),Comment
Capturas 1,08:04:51,728,3,Off,---,---,---,
Capturas 1,08:05:16,727,9,Off,---,---,---,
Capturas 1,08:05:44,728,0,---,---,---,---,
Capturas 1,08:06:07,728,4,---,---,---,---,
Capturas 1,08:06:32,727,4,Off,---,---,---,
Capturas 1,08:06:57,730,9,Off,---,---,---,
Capturas 1,08:07:26,---,---,---,---,---,---,
Capturas 1,08:07:47,729,2,Off,---,---,---,
Capturas 1,08:08:12,728,2,Off,---,---,---,
Capturas 1,08:08:37,728,2,Off,---,---,---,
Capturas 1,08:09:02,729,1,Off,---,---,---,
Capturas 1,08:09:25,729,8,---,---,---,---,
Capturas 1,08:09:49,728,7,---,---,---,---,
Capturas 1,08:10:11,728,4,Off,---,---,---,
Capturas 1,08:10:37,728,2,Off,---,---,---,
Capturas 1,08:11:03,728,2,Off,---,---,---,
Capturas 1,08:11:28,729,1,Off,---,---,---,
Capturas 1,08:11:52,731,1,Off,---,---,---,
Capturas 1,08:12:18,728,7,---,---,---,---,
Capturas 1,08:12:45,---,---,---,---,---,---,
Capturas 1,08:13:08,728,9,Off,---,---,---,
Capturas 1,08:13:34,728,8,---,---,---,---,
Capturas 1,08:13:57,728,4,---,---,---,---,
Capturas 1,08:14:22,728,4,---,---,---,---,
Capturas 1,08:14:44,728,3,Off,---,---,---,
Capturas 1,08:15:13,---,---,---,---,---,---,
Capturas 1,08:15:35,728,2,Off,---,---,---,
Capturas 1,08:16:00,727,6,Off,---,---,---,
Capturas 1,08:16:28,727,6,---,---,---,---,
Capturas 1,08:16:51,727,7,---,---,---,---,
Capturas 1,08:17:14,727,5,Off,---,---,---,
Capturas 1,08:17:38,729,2,Off,---,---,---,
Capturas 1,08:18:08,---,---,---,---,---,---,
Capturas 1,08:18:31,728,3,Off,---,---,---,
Capturas 1,08:18:59,---,---,---,---,---,---,
Capturas 1,08:19:22,728,8,Off,---,---,---,
Capturas 1,08:19:48,728,0,---,---,---,---,
Capturas 1,08:20:12,730,1,Off,---,---,---,
Capturas 1,08:20:37,728,6,Off,---,---,---,
Capturas 1,08:21:05,---,---,---,---,---,---,
Capturas 1,08:21:29,734,4,On,---,---,---,
Capturas 1,08:21:53,729,2,Off,---,---,---,
Capturas 1,08:22:18,729,0,Off,---,---,---,
Capturas 1,08:22:43,729,0,Off,---,---,---,
Capturas 1,08:23:10,728,7,Off,---,---,---,
Capturas 1,08:23:39,---,---,---,---,---,---,
Capturas 1,08:24:04,727,9,---,---,---,---,
Capturas 1,08:24:31,---,---,---,---,---,---,
Capturas 1,08:24:53,728,7,Off,---,---,---,
Capturas 1,08:25:18,728,2,---,---,---,---,
Capturas 1,08:25:41,728,4,Off,---,---,---,
Capturas 1,08:26:07,728,9,Off,---,---,---,
Capturas 1,08:26:31,727,7,Off,---,---,---,
Capturas 1,08:26:56,728,1,Off,---,---,---,
Capturas 1,08:27:22,728,1,Off,---,---,---,
Capturas 1,08:27:46,728,6,Off,---,---,---,
Capturas 1,08:28:11,728,5,Off,---,---,---,
Capturas 1,08:28:39,---,---,---,---,---,---,
Capturas 1,08:29:01,728,3,Off,---,---,---,
Capturas 1,08:29:28,---,---,---,---,---,---,
Capturas 1,08:29:50,728,7,Off,---,---,---,
Capturas 1,08:30:14,728,9,Off,---,---,---,
Capturas 1,08:30:43,---,---,---,---,---,---,
Capturas 1,08:31:07,728,6,Off,---,---,---,
Capturas 1,08:31:32,728,4,Off,---,---,---,
Capturas 1,08:31:57,728,5,Off,---,---,---,
Capturas 1,08:32:21,728,2,Off,---,---,---,
Capturas 1,08:32:49,---,---,---,---,---,---,
Capturas 1,08:33:11,728,5,Off,---,---,---,
Capturas 1,08:33:36,728,7,Off,---,---,---,
Capturas 1,08:34:01,729,9,Off,---,---,---,
Capturas 1,08:34:28,728,8,Off,---,---,---,
Capturas 1,08:34:54,728,6,Off,---,---,---,
Capturas 1,08:35:22,728,9,On,---,---,---,
Capturas 1,08:35:45,728,9,Off,---,---,---,
Capturas 1,08:36:09,728,7,Off,---,---,---,
Capturas 1,08:36:35,729,0,Off,---,---,---,
Capturas 1,08:37:01,729,2,Off,---,---,---,
Capturas 1,08:37:26,728,8,Off,---,---,---,
Capturas 1,08:37:51,728,5,Off,---,---,---,
Capturas 1,08:38:15,729,2,Off,---,---,---,
Capturas 1,08:38:41,728,1,Off,---,---,---,
Capturas 1,08:39:09,---,---,---,---,---,---,
Capturas 1,08:39:32,729,2,Off,---,---,---,
Capturas 1,08:39:56,728,1,Off,---,---,---,
Capturas 1,08:40:22,728,3,---,---,---,---,
Capturas 1,08:40:49,---,---,---,---,---,---,
Capturas 1,08:41:16,---,---,---,---,---,---,
Capturas 1,08:41:41,---,---,---,---,---,---,
Capturas 1,08:42:07,---,---,---,---,---,---,
Capturas 1,08:42:31,728,4,Off,---,---,---,
Capturas 1,08:42:56,732,4,Off,---,---,---,
Capturas 1,08:43:20,729,1,Off,---,---,---,
Capturas 1,08:43:45,728,5,Off,---,---,---,
Capturas 1,08:44:09,729,5,Off,---,---,---,
Capturas 1,08:44:34,729,0,Off,---,---,---,
Capturas 1,08:44:58,730,2,Off,---,---,---,
Capturas 1,08:45:26,---,---,---,---,---,---,
Capturas 1,08:45:53,---,---,---,---,---,---,
Capturas 1,08:46:20,---,---,---,---,---,---,
Capturas 1,08:46:41,728,7,Off,---,---,---,
Capturas 1,08:47:06,732,0,Off,---,---,---,
Capturas 1,08:47:30,728,3,Off,---,---,---,
Capturas 1,08:47:58,---,---,---,---,---,---,
Capturas 1,08:48:24,728,7,Off,---,---,---,
Capturas 1,08:48:49,729,1,---,---,---,---,
Capturas 1,08:49:14,729,0,---,---,---,---,
Capturas 1,08:49:37,728,7,On,---,---,---,
Capturas 1,08:50:01,728,9,Off,---,---,---,
Capturas 1,08:50:27,729,9,---,---,---,---,
Capturas 1,08:50:53,---,---,---,---,---,---,
Capturas 1,08:51:15,728,8,Off,---,---,---,
Capturas 1,08:51:38,728,8,Off,---,---,---,
Capturas 1,08:52:05,---,---,---,---,---,---,
Capturas 1,08:52:28,727,9,On,---,---,---,
Capturas 1,08:52:51,728,9,Off,---,---,---,
Capturas 1,08:53:15,728,9,---,---,---,---,
Capturas 1,08:53:39,728,7,---,---,---,---,
Capturas 1,08:54:01,729,7,---,---,---,---,
Capturas 1,08:54:23,729,6,Off,---,---,---,
Capturas 1,08:54:48,734,5,Off,---,---,---,
Capturas 1,08:55:14,731,2,---,---,---,---,
Capturas 1,08:55:37,730,1,On,---,---,---,
Capturas 1,08:56:01,732,6,On,---,---,---,
Capturas 1,08:56:24,728,6,Off,---,---,---,
Capturas 1,08:56:49,---,---,---,---,---,---,
Capturas 1,08:57:18,---,---,---,---,---,---,
Capturas 1,08:57:46,---,---,---,---,---,---,
Capturas 1,08:58:13,---,---,---,---,---,---,
Capturas 1,08:58:35,546,2,Off,---,---,---,
Capturas 1,08:59:01,514,9,---,---,---,---,
Capturas 1,08:59:25,479,7,Off,---,---,---,
Capturas 1,08:59:50,443,4,Off,---,---,---,
Capturas 1,09:00:15,409,5,Off,---,---,---,
Capturas 1,09:00:45,---,---,---,---,---,---,
Capturas 1,09:01:07,341,3,Off,---,---,---,
Capturas 1,09:01:36,---,---,---,---,---,---,
Capturas 1,09:01:58,261,7,Off,---,---,---,
Capturas 1,09:02:23,219,8,Off,---,---,---,
Capturas 1,09:02:49,191,4,Off,---,---,---,
Capturas 1,09:03:14,175,2,Off,---,---,---,
Capturas 1,09:03:39,166,6,Off,---,---,---,
Capturas 1,09:04:04,158,1,Off,---,---,---,
Capturas 1,09:04:29,144,0,Off,---,---,---,
Capturas 1,09:04:57,144,1,Off,---,---,---,
Capturas 1,09:05:25,138,8,Off,---,---,---,
Capturas 1,09:05:54,121,5,On,---,---,---,
Capturas 1,09:06:20,105,8,Off,---,---,---,
Capturas 1,09:06:48,105,6,Off,---,---,---,
Capturas 1,09:07:21,---,---,---,---,---,---,
Capturas 1,09:07:46,59,3,Off,---,---,---,
Capturas 1,09:08:18,---,---,---,---,---,---,
Capturas 1,09:08:48,---,---,---,---,---,---,
Capturas 1,09:09:17,---,---,---,---,---,---,
Capturas 1,09:09:46,---,---,---,---,---,---,
Capturas 1,09:10:16,---,---,---,---,---,---,
Capturas 1,09:10:45,---,---,---,---,---,---,
Capturas 1,09:11:14,---,---,---,---,---,---,
Capturas 1,09:11:39,24,9,Off,---,---,---,
Capturas 1,09:12:07,19,5,Off,---,---,---,
Capturas 1,09:12:35,13,4,Off,---,---,---,
Capturas 1,09:13:06,---,---,---,---,---,---,
Capturas 1,09:13:34,---,---,---,---,---,---,
Capturas 1,09:14:04,---,---,---,---,---,---,
Capturas 1,09:14:33,---,---,---,---,---,---,
Capturas 1,09:15:02,---,---,---,---,---,---,
Capturas 1,09:15:32,---,---,---,---,---,---,
Capturas 1,09:15:58,10,3,---,---,---,---,
Capturas 1,09:16:28,---,---,---,---,---,---,
Capturas 1,09:16:57,---,---,---,---,---,---,
Capturas 1,09:17:27,---,---,---,---,---,---,
Capturas 1,09:17:56,---,---,---,---,---,---,
Capturas 1,09:18:25,---,---,---,---,---,---,
Capturas 1,09:18:55,---,---,---,---,---,---,
Capturas 1,09:19:24,---,---,---,---,---,---,
Capturas 1,09:19:53,---,---,---,---,---,---,
Capturas 1,09:20:23,---,---,---,---,---,---,
Capturas 1,09:20:52,---,---,---,---,---,---,
Capturas 1,09:21:22,---,---,---,---,---,---,
Capturas 1,09:21:51,---,---,---,---,---,---,
Capturas 1,09:22:20,---,---,---,---,---,---,
Capturas 1,09:22:50,---,---,---,---,---,---,
Capturas 1,09:23:19,---,---,---,---,---,---,
Capturas 1,09:23:48,---,---,---,---,---,---,
Capturas 1,09:24:18,---,---,---,---,---,---,
Capturas 1,09:24:47,---,---,---,---,---,---,
Capturas 1,09:25:17,---,---,---,---,---,---,
Capturas 1,09:25:45,2401,3,---,---,---,---,
Capturas 1,09:26:15,---,---,---,---,---,---,
Capturas 1,09:26:44,---,---,---,---,---,---,
Capturas 1,09:27:45,---,---,---,---,---,---,
Capturas 1,09:28:14,---,---,---,---,---,---,
Capturas 1,09:28:44,---,---,---,---,---,---,
Capturas 1,09:29:13,---,---,---,---,---,---,
Capturas 1,09:29:42,---,---,---,---,---,---,
Capturas 1,09:30:12,---,---,---,---,---,---,
Capturas 1,09:30:41,---,---,---,---,---,---,
Capturas 1,09:31:11,---,---,---,---,---,---,
Capturas 1,09:31:40,---,---,---,---,---,---,
Capturas 1,09:32:09,---,---,---,---,---,---,
Capturas 1,09:32:39,---,---,---,---,---,---,
Capturas 1,09:33:08,---,---,---,---,---,---,
Capturas 1,09:33:37,---,---,---,---,---,---,
Capturas 1,09:34:07,---,---,---,---,---,---,
Capturas 1,09:34:36,---,---,---,---,---,---,
Capturas 1,09:35:06,---,---,---,---,---,---,
Capturas 1,09:35:35,---,---,---,---,---,---,
Capturas 1,09:36:00,102,7,Off,---,---,---,
Capturas 1,09:36:32,---,---,---,---,---,---,
Capturas 1,09:37:02,---,---,---,---,---,---,
Capturas 1,09:37:31,---,---,---,---,---,---,
Capturas 1,09:37:57,---,---,---,---,---,---,
Capturas 1,09:38:24,---,---,---,---,---,---,
Capturas 1,09:38:49,---,---,---,---,---,---,
Capturas 1,09:39:11,387,8,Off,---,---,---,
Capturas 1,09:39:40,---,---,---,---,---,---,
Capturas 1,09:40:03,---,---,---,---,---,---,
Capturas 1,09:40:30,---,---,---,---,---,---,
Capturas 1,09:40:50,618,0,Off,---,---,---,
Capturas 1,09:41:17,---,---,---,---,---,---,
Capturas 1,09:41:39,---,Off,---,---,---,---,
Capturas 1,09:42:08,---,---,---,---,---,---,
Capturas 1,09:42:32,---,---,---,---,---,---,
Capturas 1,09:42:59,---,---,---,---,---,---,
Capturas 1,09:43:27,---,---,---,---,---,---,
Capturas 1,09:43:51,729,5,---,---,---,---,
Capturas 1,09:44:15,731,6,Off,---,---,---,
Capturas 1,09:44:39,---,On,---,---,---,---,
Capturas 1,09:45:09,---,---,---,---,---,---,
Capturas 1,09:45:32,734,8,Off,---,---,---,
Capturas 1,09:45:57,734,8,Off,---,---,---,
Capturas 1,09:46:22,734,9,Off,---,---,---,
Capturas 1,09:46:47,735,6,Off,---,---,---,
Capturas 1,09:47:13,735,3,---,---,---,---,
Capturas 1,09:47:37,738,4,---,---,---,---,
Capturas 1,09:48:01,735,5,Off,---,---,---,
Capturas 1,09:48:26,735,0,Off,---,---,---,
Capturas 1,09:48:55,---,---,---,---,---,---,
Capturas 1,09:49:18,735,4,---,---,---,---,
Capturas 1,09:49:41,735,1,Off,---,---,---,
Capturas 1,09:50:06,735,4,Off,---,---,---,
Capturas 1,09:50:31,735,2,Off,---,---,---,
Capturas 1,09:50:56,735,4,Off,---,---,---,
Capturas 1,09:51:21,736,5,Off,---,---,---,
Capturas 1,09:51:46,735,1,Off,---,---,---,
Capturas 1,09:52:11,735,9,Off,---,---,---,
Capturas 1,09:52:36,736,0,Off,---,---,---,
Capturas 1,09:53:03,736,7,---,---,---,---,
Capturas 1,09:53:26,735,6,Off,---,---,---,
Capturas 1,09:53:52,735,7,Off,---,---,---,
Capturas 1,09:54:17,735,2,Off,---,---,---,
Capturas 1,09:54:42,736,1,Off,---,---,---,
Capturas 1,09:55:08,737,2,Off,---,---,---,
Capturas 1,09:55:34,736,5,---,---,---,---,
Capturas 1,09:56:01,---,---,---,---,---,---,
Capturas 1,09:56:23,736,5,Off,---,---,---,
Capturas 1,09:56:50,736,5,---,---,---,---,
Capturas 1,09:57:13,735,9,Off,---,---,---,
Capturas 1,09:57:38,735,9,Off,---,---,---,
Capturas 1,09:58:03,735,7,Off,---,---,---,
Capturas 1,09:58:28,736,7,Off,---,---,---,
Capturas 1,09:58:53,735,9,Off,---,---,---,
Capturas 1,09:59:18,735,8,Off,---,---,---,
Capturas 1,09:59:43,736,3,Off,---,---,---,
Capturas 1,10:00:08,736,4,Off,---,---,---,
Capturas 1,10:00:34,736,9,Off,---,---,---,
Capturas 1,10:01:02,---,---,---,---,---,---,
Capturas 1,10:01:26,736,6,---,---,---,---,
Capturas 1,10:01:49,735,4,Off,---,---,---,
Capturas 1,10:02:15,735,9,Off,---,---,---,
Capturas 1,10:02:40,740,8,Off,---,---,---,
Capturas 1,10:03:05,738,1,Off,---,---,---,
Capturas 1,10:03:30,736,3,Off,---,---,---,
Capturas 1,10:03:56,734,4,---,---,---,---,
Capturas 1,10:04:23,---,---,---,---,---,---,
Capturas 1,10:04:46,736,1,Off,---,---,---,
Capturas 1,10:05:11,735,8,Off,---,---,---,
Capturas 1,10:05:40,---,---,---,---,---,---,
Capturas 1,10:06:02,736,2,Off,---,---,---,
Capturas 1,10:06:27,736,2,Off,---,---,---,
Capturas 1,10:06:53,737,0,Off,---,---,---,
Capturas 1,10:07:18,736,6,Off,---,---,---,
Capturas 1,10:07:43,739,2,Off,---,---,---,
Capturas 1,10:08:08,736,6,Off,---,---,---,
Capturas 1,10:08:34,736,9,Off,---,---,---,
Capturas 1,10:08:59,737,1,Off,---,---,---,
