Code,Tiempo,Escalas(m),Datos1(m),Datos2(m),Latitude,Longitude,Sonda(m),Comment
Babor,03:20:21,1105,4,97,6,---,---,
Babor,03:20:45,1105,5,96,2,---,---,
Babor,03:21:09,1108,3,92,4,---,---,
Babor,03:21:32,1105,4,96,4,---,---,
Babor,03:21:56,1105,4,93,4,---,---,
Babor,03:22:20,1105,3,93,6,---,---,
Babor,03:22:43,1106,1,92,7,---,---,
Babor,03:23:07,1105,3,94,5,---,---,
Babor,03:23:31,1104,9,93,0,---,---,
Babor,03:23:54,1105,7,89,2,---,---,
Babor,03:24:18,1105,6,88,2,---,---,
Babor,03:24:41,1105,6,89,6,---,---,
Babor,03:25:05,1105,5,92,0,---,---,
Babor,03:25:29,1105,7,93,2,---,---,
Babor,03:25:52,1105,5,93,4,---,---,
Babor,03:26:16,1105,4,93,4,---,---,
Babor,03:26:40,1108,2,93,2,---,---,
Babor,03:27:03,1105,2,100,4,---,---,
Babor,03:27:30,---,---,---,---,---,---,
Babor,03:27:58,---,---,---,---,---,---,
Babor,03:28:25,---,---,---,---,---,---,
Babor,03:28:48,880,6,---,---,---,---,
Babor,03:29:11,---,---,---,---,---,---,
Babor,03:29:34,717,7,---,---,---,---,
Babor,03:29:57,---,---,---,---,---,---,
Babor,03:30:19,633,2,104,2,---,---,
Babor,03:30:44,629,7,---,---,---,---,
Babor,03:31:08,---,99,7,---,---,---,
Babor,03:31:30,689,7,105,2,---,---,
Babor,03:31:54,---,105,4,---,---,---,
Babor,03:32:18,795,0,105,1,---,---,
Babor,03:32:41,833,3,104,6,---,---,
Babor,03:33:05,873,1,105,1,---,---,
Babor,03:33:29,912,5,119,4,---,---,
Babor,03:33:53,951,0,133,0,---,---,
Babor,03:34:16,980,3,125,2,---,---,
Babor,03:34:42,999,1,---,---,---,---,
Babor,03:35:05,1014,7,---,---,---,---,
Babor,03:35:28,1029,4,---,---,---,---,
Babor,03:35:52,1044,7,105,8,---,---,
Babor,03:36:15,1059,4,100,0,---,---,
Babor,03:36:39,1070,2,101,8,---,---,
Babor,03:37:03,1077,6,93,7,---,---,
Babor,03:37:25,1082,9,97,2,---,---,
Babor,03:37:49,1086,8,92,5,---,---,
Babor,03:38:14,1091,6,91,1,---,---,
Babor,03:38:39,1092,7,94,7,---,---,
Babor,03:39:04,1094,7,96,6,---,---,
Babor,03:39:28,1095,6,101,1,---,---,
Babor,03:39:51,1096,3,104,8,---,---,
Babor,03:40:15,1097,1,108,1,---,---,
Babor,03:40:39,1098,1,98,8,---,---,
Babor,03:41:02,1099,3,97,2,---,---,
Babor,03:41:30,---,---,---,---,---,---,
Babor,03:41:52,1100,8,86,1,---,---,
Babor,03:42:17,1098,9,79,9,---,---,
Babor,03:42:45,---,---,---,---,---,---,
Babor,03:43:07,1099,4,61,2,---,---,
Babor,03:43:30,1099,1,60,8,---,---,
