Code,Tiempo,Escalas(m),Datos1(m),Datos2(m),Latitude,Longitude,Sonda(m),Comment
Cabecera altura,22:03:16,618,8,---,---,---,---,
Cabecera altura,22:03:37,---,---,---,---,---,---,
Cabecera altura,22:03:56,55,2,---,---,---,---,
Cabecera altura,22:04:21,---,99,0,---,---,---,
Cabecera altura,22:04:44,1794,8,---,---,---,---,
Cabecera altura,22:05:08,---,99,1,---,---,---,
Cabecera altura,22:05:29,761,1,---,---,---,---,
Cabecera altura,22:05:52,---,---,---,---,---,---,
Cabecera altura,22:06:11,532,3,---,---,---,---,
Cabecera altura,22:06:34,---,99,2,---,---,---,
Cabecera altura,22:06:56,1983,8,---,---,---,---,
Cabecera altura,22:07:18,---,---,---,---,---,---,
Cabecera altura,22:07:39,173,1,---,---,---,---,
Cabecera altura,22:08:01,---,---,---,---,---,---,
Cabecera altura,22:08:23,794,9,---,---,---,---,
Cabecera altura,22:08:47,---,99,3,---,---,---,
Cabecera altura,22:09:08,245,6,---,---,---,---,
Cabecera altura,22:09:30,---,---,---,---,---,---,
Cabecera altura,22:09:52,111,5,---,---,---,---,
Cabecera altura,22:10:13,---,---,---,---,---,---,
Cabecera altura,22:10:37,1367,8,---,---,---,---,
Cabecera altura,22:10:57,---,---,---,---,---,---,
Cabecera altura,22:11:19,1688,2,---,---,---,---,
Cabecera altura,22:11:39,---,---,---,---,---,---,
Cabecera altura,22:12:03,1983,1,99,1,---,---,
Cabecera altura,22:12:27,---,---,---,---,---,---,
Cabecera altura,22:12:49,795,6,---,---,---,---,
Cabecera altura,22:13:12,---,99,2,---,---,---,
Cabecera altura,22:13:35,1591,0,---,---,---,---,
Cabecera altura,22:13:57,---,99,1,---,---,---,
Cabecera altura,22:14:21,1983,9,99,1,---,---,
Cabecera altura,22:14:42,---,---,---,---,---,---,
Cabecera altura,22:15:03,335,9,---,---,---,---,
Cabecera altura,22:15:23,---,---,---,---,---,---,
Cabecera altura,22:15:43,470,0,---,---,---,---,
Cabecera altura,22:16:07,---,99,0,---,---,---,
Cabecera altura,22:16:31,1983,4,99,1,---,---,
Cabecera altura,22:16:55,1983,9,99,0,---,---,
Cabecera altura,22:17:17,1984,3,99,2,---,---,
Cabecera altura,22:17:38,---,---,---,---,---,---,
Cabecera altura,22:18:00,1984,1,99,0,---,---,
Cabecera altura,22:18:23,1984,2,99,2,---,---,
Cabecera altura,22:18:47,---,---,---,---,---,---,
Cabecera altura,22:19:09,1983,9,99,2,---,---,
Cabecera altura,22:19:28,---,---,---,---,---,---,
Cabecera altura,22:19:52,1387,4,---,---,---,---,
Cabecera altura,22:20:13,---,---,---,---,---,---,
Cabecera altura,22:20:34,0,5,---,---,---,---,
Cabecera altura,22:20:56,---,---,---,---,---,---,
Cabecera altura,22:21:21,1983,2,99,2,---,---,
Cabecera altura,22:21:44,---,---,---,---,---,---,
Cabecera altura,22:22:10,1798,3,---,---,---,---,
Cabecera altura,22:22:34,1764,8,---,---,---,---,
Cabecera altura,22:23:00,---,---,---,---,---,---,
Cabecera altura,22:23:24,1274,5,---,---,---,---,
Cabecera altura,22:23:46,---,---,---,---,---,---,
Cabecera altura,22:24:12,1979,5,99,2,---,---,
Cabecera altura,22:24:36,1979,9,99,2,---,---,
Cabecera altura,22:24:59,1979,7,99,2,---,---,
Cabecera altura,22:25:22,---,---,---,---,---,---,
Cabecera altura,22:25:46,1672,4,---,---,---,---,
Cabecera altura,22:26:10,---,---,---,---,---,---,
Cabecera altura,22:26:34,848,7,---,---,---,---,
Cabecera altura,22:26:58,---,99,2,---,---,---,
Cabecera altura,22:27:21,584,5,---,---,---,---,
Cabecera altura,22:27:44,---,---,---,---,---,---,
Cabecera altura,22:28:10,1481,0,---,---,---,---,
Cabecera altura,22:28:31,---,---,---,---,---,---,
Cabecera altura,22:28:50,417,0,---,---,---,---,
Cabecera altura,22:29:11,---,---,---,---,---,---,
Cabecera altura,22:29:33,---,---,---,---,---,---,
Cabecera altura,22:29:58,1976,4,99,2,---,---,
Cabecera altura,22:30:20,1976,9,99,2,---,---,
Cabecera altura,22:30:41,---,---,---,---,---,---,
Cabecera altura,22:31:05,1978,0,99,2,---,---,
Cabecera altura,22:31:27,1977,3,99,1,---,---,
Cabecera altura,22:31:52,1976,9,---,---,---,---,
Cabecera altura,22:32:17,1977,1,---,---,---,---,
Cabecera altura,22:32:37,---,---,---,---,---,---,
Cabecera altura,22:33:01,740,3,---,---,---,---,
Cabecera altura,22:33:26,---,---,---,---,---,---,
Cabecera altura,22:33:48,1882,1,100,0,---,---,
Cabecera altura,22:34:10,---,---,---,---,---,---,
Cabecera altura,22:34:33,1978,3,99,5,---,---,
Cabecera altura,22:34:55,---,---,---,---,---,---,
Cabecera altura,22:35:18,1978,6,99,3,---,---,
Cabecera altura,22:35:39,---,---,---,---,---,---,
Cabecera altura,22:36:03,1422,8,---,---,---,---,
Cabecera altura,22:36:25,---,---,---,---,---,---,
Cabecera altura,22:36:47,861,8,---,---,---,---,
Cabecera altura,22:37:08,---,---,---,---,---,---,
Cabecera altura,22:37:30,1193,2,---,---,---,---,
Cabecera altura,22:37:50,---,100,0,---,---,---,
Cabecera altura,22:38:13,1753,6,---,---,---,---,
Cabecera altura,22:38:33,---,---,---,---,---,---,
Cabecera altura,22:38:55,295,4,---,---,---,---,
Cabecera altura,22:39:15,---,---,---,---,---,---,
Cabecera altura,22:39:38,1981,1,99,3,---,---,
Cabecera altura,22:40:01,1981,2,99,3,---,---,
Cabecera altura,22:40:20,---,---,---,---,---,---,
Cabecera altura,22:40:44,1981,3,99,3,---,---,
Cabecera altura,22:41:07,1981,2,99,4,---,---,
Cabecera altura,22:41:29,---,---,---,---,---,---,
Cabecera altura,22:41:52,1981,5,99,4,---,---,
Cabecera altura,22:42:16,1981,5,99,4,---,---,
Cabecera altura,22:42:39,---,---,---,---,---,---,
Cabecera altura,22:43:00,368,7,---,---,---,---,
Cabecera altura,22:43:21,---,---,---,---,---,---,
Cabecera altura,22:43:43,1225,3,---,---,---,---,
Cabecera altura,22:44:03,---,---,---,---,---,---,
Cabecera altura,22:44:25,1981,7,99,3,---,---,
Cabecera altura,22:44:48,---,---,---,---,---,---,
Cabecera altura,22:45:09,1319,6,---,---,---,---,
Cabecera altura,22:45:30,---,---,---,---,---,---,
Cabecera altura,22:45:54,1981,7,99,4,---,---,
Cabecera altura,22:46:18,1981,8,99,5,---,---,
Cabecera altura,22:46:40,---,---,---,---,---,---,
Cabecera altura,22:47:04,1984,0,99,4,---,---,
Cabecera altura,22:47:25,---,---,---,---,---,---,
Cabecera altura,22:47:46,---,---,---,---,---,---,
Cabecera altura,22:48:06,826,4,---,---,---,---,
Cabecera altura,22:48:27,811,1,---,---,---,---,
Cabecera altura,22:48:49,---,99,4,---,---,---,
Cabecera altura,22:49:10,1067,0,---,---,---,---,
Cabecera altura,22:49:33,---,99,5,---,---,---,
Cabecera altura,22:49:55,1985,1,99,5,---,---,
Cabecera altura,22:50:18,1985,3,99,5,---,---,
Cabecera altura,22:50:40,---,---,---,---,---,---,
Cabecera altura,22:51:04,980,4,---,---,---,---,
Cabecera altura,22:51:27,---,99,5,---,---,---,
Cabecera altura,22:51:48,1247,3,---,---,---,---,
Cabecera altura,22:52:11,---,99,5,---,---,---,
Cabecera altura,22:52:33,1986,1,99,4,---,---,
Cabecera altura,22:52:54,---,---,---,---,---,---,
Cabecera altura,22:53:16,1863,7,---,---,---,---,
Cabecera altura,22:53:37,---,---,---,---,---,---,
Cabecera altura,22:54:01,1064,0,---,---,---,---,
Cabecera altura,22:54:25,---,99,6,---,---,---,
Cabecera altura,22:54:47,1984,5,99,5,---,---,
Cabecera altura,22:55:08,---,---,---,---,---,---,
Cabecera altura,22:55:32,---,---,---,---,---,---,
Cabecera altura,22:55:54,1432,8,---,---,---,---,
Cabecera altura,22:56:20,---,99,5,---,---,---,
Cabecera altura,22:56:42,94,2,---,---,---,---,
