Code,Tiempo,Escalas(m),Datos1(°C),Datos2(m),Latitude,Longitude,Sonda(m),Comment
Starboard Temperature,02:33:01,1597,9,10,6,---,---,
Starboard Temperature,02:38:38,1598,8,10,7,---,---,
Starboard Temperature,02:44:16,1598,7,10,6,---,---,
Starboard Temperature,02:49:53,1598,5,10,6,---,---,
Starboard Temperature,02:55:31,1598,8,10,6,---,---,
Starboard Temperature,02:56:04,1598,9,10,6,---,---,
Starboard Temperature,02:56:40,1599,3,10,6,---,---,
Starboard Temperature,02:57:17,1598,8,10,6,---,---,
Starboard Temperature,02:57:54,1598,6,10,6,---,---,
Starboard Temperature,02:58:31,1599,1,10,7,---,---,
Starboard Temperature,02:59:08,1598,7,10,6,---,---,
Starboard Temperature,02:59:45,1599,7,10,6,---,---,
Starboard Temperature,03:00:21,1599,5,10,6,---,---,
Starboard Temperature,03:00:58,1598,7,10,6,---,---,
Starboard Temperature,03:01:35,1599,0,10,7,---,---,
Starboard Temperature,03:02:12,1598,6,10,7,---,---,
Starboard Temperature,03:02:49,1598,7,10,6,---,---,
Starboard Temperature,03:03:26,1598,4,10,7,---,---,
Starboard Temperature,03:04:02,1598,6,10,7,---,---,
Starboard Temperature,03:04:39,1598,3,10,6,---,---,
Starboard Temperature,03:05:16,1598,6,10,6,---,---,
Starboard Temperature,03:05:53,1598,6,10,7,---,---,
Starboard Temperature,03:06:30,1600,1,10,6,---,---,
Starboard Temperature,03:07:07,1600,0,10,7,---,---,
Starboard Temperature,03:07:43,1599,9,10,7,---,---,
Starboard Temperature,03:08:20,1601,0,10,6,---,---,
Starboard Temperature,03:08:57,1600,3,10,7,---,---,
Starboard Temperature,03:09:34,1600,0,10,6,---,---,
Starboard Temperature,03:10:11,1600,4,10,6,---,---,
Starboard Temperature,03:10:48,1600,2,10,6,---,---,
Starboard Temperature,03:11:24,1600,1,10,6,---,---,
Starboard Temperature,03:12:01,1600,0,10,6,---,---,
Starboard Temperature,03:12:38,1600,1,10,7,---,---,
Starboard Temperature,03:13:15,1599,9,10,6,---,---,
Starboard Temperature,03:13:52,1599,6,10,6,---,---,
Starboard Temperature,03:14:28,1600,0,10,6,---,---,
Starboard Temperature,03:15:05,1600,2,10,6,---,---,
Starboard Temperature,03:21:03,1599,9,10,7,---,---,
Starboard Temperature,03:24:50,1600,1,10,6,---,---,
Starboard Temperature,03:28:38,1599,7,10,6,---,---,
Starboard Temperature,03:32:26,1600,6,10,6,---,---,
Starboard Temperature,03:36:13,1600,2,10,6,---,---,
Starboard Temperature,03:40:01,1600,6,10,6,---,---,
Starboard Temperature,03:43:48,1600,5,10,7,---,---,
Starboard Temperature,03:47:36,1600,8,10,7,---,---,
Starboard Temperature,03:51:23,---,---,---,---,---,---,
Starboard Temperature,03:55:13,---,---,---,---,---,---,
Starboard Temperature,03:58:41,1600,7,10,7,---,---,
Starboard Temperature,04:02:28,1600,4,10,7,---,---,
Starboard Temperature,04:06:16,1599,5,10,8,---,---,
Starboard Temperature,04:10:04,1600,2,10,7,---,---,
Starboard Temperature,04:13:51,1600,5,10,8,---,---,
Starboard Temperature,04:17:39,1601,1,10,8,---,---,
Starboard Temperature,04:21:26,1600,4,10,8,---,---,
Starboard Temperature,04:25:14,1600,6,10,8,---,---,
Starboard Temperature,04:29:01,1600,5,10,8,---,---,
Starboard Temperature,04:32:49,1600,9,10,7,---,---,
Starboard Temperature,04:36:37,1600,7,10,8,---,---,
Starboard Temperature,04:40:24,1601,1,10,8,---,---,
Starboard Temperature,04:44:12,1601,2,10,8,---,---,
Starboard Temperature,04:47:59,1600,8,10,8,---,---,
Starboard Temperature,04:51:29,1601,0,10,8,---,---,
Starboard Temperature,04:55:17,1601,1,10,8,---,---,
Starboard Temperature,04:59:04,1600,8,10,8,---,---,
Starboard Temperature,05:02:52,1601,4,10,8,---,---,
Starboard Temperature,05:06:39,1601,2,10,8,---,---,
Starboard Temperature,05:10:27,1601,5,10,8,---,---,
Starboard Temperature,05:14:14,1600,8,10,8,---,---,
Starboard Temperature,05:18:02,1600,7,10,8,---,---,
Starboard Temperature,05:21:50,1601,2,10,8,---,---,
Starboard Temperature,05:25:37,1600,8,10,8,---,---,
Starboard Temperature,05:29:25,1600,5,10,8,---,---,
Starboard Temperature,05:33:12,1600,9,10,8,---,---,
Starboard Temperature,05:37:00,1600,8,10,9,---,---,
Starboard Temperature,05:40:47,1600,6,10,9,---,---,
Starboard Temperature,05:44:35,1600,2,11,0,---,---,
Starboard Temperature,05:48:23,1599,7,10,9,---,---,
Starboard Temperature,05:52:10,1600,1,10,9,---,---,
Starboard Temperature,05:55:57,1589,8,10,9,---,---,
Starboard Temperature,06:42:02,414,4,19,7,---,---,
Starboard Temperature,06:42:40,---,3,4,---,---,---,
Starboard Temperature,06:43:19,---,---,---,---,---,---,
Starboard Temperature,06:43:55,932,2,18,5,---,---,
Starboard Temperature,06:44:34,---,28,3,---,---,---,
Starboard Temperature,06:45:10,1274,7,17,6,---,---,
Starboard Temperature,06:45:49,---,17,1,---,---,---,
Starboard Temperature,06:46:30,---,---,---,---,---,---,
Starboard Temperature,06:47:08,1488,3,16,2,---,---,
Starboard Temperature,06:47:49,---,---,---,---,---,---,
Starboard Temperature,06:48:26,---,---,---,---,---,---,
Starboard Temperature,06:49:05,---,---,---,---,---,---,
Starboard Temperature,06:49:46,---,---,---,---,---,---,
Starboard Temperature,06:50:24,1534,8,14,8,---,---,
Starboard Temperature,06:51:01,1548,2,14,6,---,---,
Starboard Temperature,06:51:40,1548,5,14,4,---,---,
Starboard Temperature,06:52:17,1548,1,14,3,---,---,
Starboard Temperature,06:52:55,1548,6,14,2,---,---,
Starboard Temperature,06:53:32,1547,6,14,1,---,---,
Starboard Temperature,06:54:09,1547,5,13,9,---,---,
Starboard Temperature,06:54:46,1547,6,13,9,---,---,
Starboard Temperature,06:55:26,1545,5,13,7,---,---,
Starboard Temperature,06:56:05,1543,2,13,6,---,---,
Starboard Temperature,06:56:45,1540,4,13,5,---,---,
Starboard Temperature,06:57:25,1538,1,13,4,---,---,
Starboard Temperature,06:58:02,1536,6,13,3,---,---,
Starboard Temperature,06:58:42,---,---,---,---,---,---,
Starboard Temperature,06:59:21,1537,8,13,2,---,---,
Starboard Temperature,07:00:01,1538,7,13,1,---,---,
Starboard Temperature,07:00:41,1539,4,12,9,---,---,
Starboard Temperature,07:01:23,---,---,---,---,---,---,
Starboard Temperature,07:02:01,1543,1,12,8,---,---,
Starboard Temperature,07:02:42,1545,6,12,7,---,---,
Starboard Temperature,07:03:22,1545,4,12,7,---,---,
Starboard Temperature,07:03:59,1546,5,12,6,---,---,
Starboard Temperature,07:04:35,1546,9,12,6,---,---,
Starboard Temperature,07:05:12,1547,7,12,6,---,---,
Starboard Temperature,07:05:49,1548,2,12,5,---,---,
Starboard Temperature,07:06:26,1548,3,12,5,---,---,
Starboard Temperature,07:07:04,1548,3,12,4,---,---,
Starboard Temperature,07:07:41,1548,4,12,4,---,---,
Starboard Temperature,07:08:18,1549,0,12,4,---,---,
Starboard Temperature,07:08:55,1549,2,12,4,---,---,
Starboard Temperature,07:09:32,1549,3,12,3,---,---,
Starboard Temperature,07:10:09,1549,3,12,3,---,---,
Starboard Temperature,07:10:46,1549,7,12,2,---,---,
Starboard Temperature,07:11:23,1549,8,12,2,---,---,
Starboard Temperature,07:12:01,1549,8,12,1,---,---,
Starboard Temperature,07:12:38,1549,9,12,1,---,---,
