Code,Tiempo,Escalas(m),Datos1(°),Datos2(m),Latitude,Longitude,Sonda(m),Comment
Estribor,01:05:57,454,3,26,5,---,---,
Estribor,01:06:30,---,30,9,---,---,---,
Estribor,01:07:03,736,1,45,4,---,---,
Estribor,01:07:32,---,44,1,---,---,---,
Estribor,01:08:05,1024,2,43,5,---,---,
Estribor,01:08:36,---,---,---,---,---,---,
Estribor,01:09:03,1285,7,---,---,---,---,
Estribor,01:09:29,---,---,---,---,---,---,
Estribor,01:09:56,---,---,---,---,---,---,
Estribor,01:10:19,---,---,---,---,---,---,
Estribor,01:10:50,---,---,---,---,---,---,
Estribor,01:11:15,---,---,---,---,---,---,
Estribor,01:11:39,---,---,---,---,---,---,
Estribor,01:12:08,1713,4,---,---,---,---,
Estribor,01:12:36,---,---,---,---,---,---,
Estribor,01:13:05,1717,7,---,---,---,---,
Estribor,01:13:34,---,---,---,---,---,---,
Estribor,01:13:59,1720,2,8,5,---,---,
Estribor,01:14:27,1719,5,---,---,---,---,
Estribor,01:14:53,1719,5,9,4,---,---,
Estribor,01:15:22,1719,9,---,---,---,---,
Estribor,01:15:53,---,---,---,---,---,---,
Estribor,01:16:20,---,---,---,---,---,---,
Estribor,01:16:48,1718,9,7,5,---,---,
Estribor,01:17:18,1718,4,7,7,---,---,
Estribor,01:17:49,1718,2,---,---,---,---,
Estribor,01:18:22,1717,8,---,---,---,---,
Estribor,01:18:56,---,---,---,---,---,---,
Estribor,01:19:23,---,---,---,---,---,---,
Estribor,01:19:48,1717,2,5,8,---,---,
Estribor,01:20:16,1719,2,7,2,---,---,
Estribor,01:20:44,1718,1,---,---,---,---,
Estribor,01:21:13,---,---,---,---,---,---,
Estribor,01:21:34,1718,0,2,9,---,---,
Estribor,01:22:04,---,---,---,---,---,---,
Estribor,01:22:28,---,---,---,---,---,---,
Estribor,01:22:52,---,---,---,---,---,---,
Estribor,01:23:16,---,---,---,---,---,---,
Estribor,01:23:40,---,---,---,---,---,---,
Estribor,01:24:04,---,---,---,---,---,---,
Estribor,01:24:29,---,---,---,---,---,---,
Estribor,01:24:53,---,---,---,---,---,---,
Estribor,01:25:17,---,---,---,---,---,---,
Estribor,01:25:40,1714,9,---,---,---,---,
Estribor,01:26:03,1715,5,0,1,---,---,
Estribor,01:26:31,1715,7,---,---,---,---,
Estribor,01:26:54,1716,8,-0,6,---,---,
Estribor,01:27:21,1717,9,-1,1,---,---,
Estribor,01:27:50,1718,4,---,---,---,---,
Estribor,01:28:15,---,---,---,---,---,---,
Estribor,01:28:37,1719,0,-1,8,---,---,
Estribor,01:29:05,1719,1,---,---,---,---,
Estribor,01:29:31,---,---,---,---,---,---,
Estribor,01:29:55,---,---,---,---,---,---,
Estribor,01:30:19,---,---,---,---,---,---,
Estribor,01:30:43,---,---,---,---,---,---,
Estribor,01:31:06,1719,7,---,---,---,---,
Estribor,01:31:30,1720,2,---,---,---,---,
Estribor,01:31:55,1719,9,---,---,---,---,
Estribor,01:32:18,1720,1,-1,5,---,---,
Estribor,01:32:45,1720,8,-1,9,---,---,
Estribor,01:33:12,1720,6,-0,3,---,---,
Estribor,01:33:39,1721,3,-2,0,---,---,
Estribor,01:34:06,1721,1,-1,6,---,---,
Estribor,01:34:36,---,---,---,---,---,---,
Estribor,01:35:02,1721,7,---,---,---,---,
Estribor,01:35:26,1721,2,---,---,---,---,
Estribor,01:35:50,1721,1,-1,6,---,---,
Estribor,01:36:18,1721,3,---,---,---,---,
Estribor,01:36:42,1721,1,-1,8,---,---,
Estribor,01:37:12,1721,3,---,---,---,---,
Estribor,01:37:39,1721,2,-0,9,---,---,
Estribor,01:38:06,1723,7,-2,7,---,---,
Estribor,01:38:33,1721,2,-2,0,---,---,
Estribor,01:39:00,1721,4,-1,1,---,---,
Estribor,01:39:28,1721,4,---,---,---,---,
Estribor,01:39:52,1721,1,-1,1,---,---,
Estribor,01:40:20,1721,3,---,---,---,---,
Estribor,01:40:43,1721,2,-1,1,---,---,
Estribor,01:41:10,1721,3,-1,3,---,---,
Estribor,01:41:37,1720,9,-1,9,---,---,
Estribor,01:42:05,1721,0,-2,0,---,---,
Estribor,01:42:32,1721,2,-0,9,---,---,
Estribor,01:42:59,1722,0,-2,1,---,---,
Estribor,01:43:26,1720,8,-1,5,---,---,
Estribor,01:43:54,1721,0,---,---,---,---,
Estribor,01:44:18,1721,2,---,---,---,---,
Estribor,01:44:42,1721,0,-2,0,---,---,
Estribor,01:45:09,1721,0,-0,2,---,---,
Estribor,01:45:39,---,---,---,---,---,---,
Estribor,01:46:01,1721,0,-1,1,---,---,
Estribor,01:46:28,1721,3,-2,5,---,---,
Estribor,01:46:55,1721,5,-2,1,---,---,
Estribor,01:47:23,1721,3,---,---,---,---,
Estribor,01:47:50,1721,9,---,---,---,---,
Estribor,01:48:16,1721,4,-1,4,---,---,
Estribor,01:48:43,1721,5,-1,4,---,---,
Estribor,01:49:11,1721,0,-1,4,---,---,
Estribor,01:49:40,---,---,---,---,---,---,
Estribor,01:50:03,1721,2,---,---,---,---,
Estribor,01:50:31,---,---,---,---,---,---,
Estribor,01:50:56,---,---,---,---,---,---,
Estribor,01:51:20,---,---,---,---,---,---,
Estribor,01:51:43,1721,5,---,---,---,---,
Estribor,01:52:06,1721,4,-0,4,---,---,
Estribor,01:52:33,1721,8,-0,9,---,---,
Estribor,01:53:00,1721,7,-1,3,---,---,
Estribor,01:53:30,1721,5,-0,6,---,---,
Estribor,01:54:02,---,---,---,---,---,---,
Estribor,01:54:25,1721,7,---,---,---,---,
Estribor,01:54:50,1721,8,---,---,---,---,
Estribor,01:55:15,---,---,---,---,---,---,
Estribor,01:55:38,1722,0,---,---,---,---,
Estribor,01:56:04,---,---,---,---,---,---,
Estribor,01:56:28,---,---,---,---,---,---,
Estribor,01:56:50,1721,9,-1,5,---,---,
Estribor,01:57:17,1721,6,1,0,---,---,
Estribor,01:57:44,1721,4,-0,9,---,---,
Estribor,01:58:11,1722,2,-1,0,---,---,
Estribor,01:58:40,---,---,---,---,---,---,
Estribor,01:59:02,1721,3,-0,6,---,---,
Estribor,01:59:35,1721,7,-1,4,---,---,
Estribor,02:00:04,---,---,---,---,---,---,
Estribor,02:00:26,1721,9,-2,9,---,---,
Estribor,02:00:53,1722,0,-0,3,---,---,
Estribor,02:01:22,---,---,---,---,---,---,
Estribor,02:01:47,1721,8,-1,1,---,---,
Estribor,02:02:16,---,---,---,---,---,---,
Estribor,02:02:39,1721,1,---,---,---,---,
Estribor,02:03:02,1722,2,-1,1,---,---,
Estribor,02:03:29,1721,6,-0,6,---,---,
Estribor,02:03:58,1722,1,---,---,---,---,
Estribor,02:04:26,---,---,---,---,---,---,
Estribor,02:04:50,---,---,---,---,---,---,
Estribor,02:05:14,---,---,---,---,---,---,
Estribor,02:05:38,---,---,---,---,---,---,
Estribor,02:06:03,---,---,---,---,---,---,
Estribor,02:06:24,1721,7,-0,6,---,---,
Estribor,02:06:52,1721,1,---,---,---,---,
Estribor,02:07:21,---,---,---,---,---,---,
Estribor,02:07:43,1721,6,-0,8,---,---,
Estribor,02:08:11,1722,6,---,---,---,---,
Estribor,02:08:34,1722,7,-1,6,---,---,
Estribor,02:09:02,1721,7,---,---,---,---,
Estribor,02:09:28,---,---,---,---,---,---,
Estribor,02:09:55,---,---,---,---,---,---,
Estribor,02:10:19,---,---,---,---,---,---,
Estribor,02:10:42,1722,0,---,---,---,---,
Estribor,02:11:08,---,---,---,---,---,---,
Estribor,02:11:32,---,---,---,---,---,---,
Estribor,02:11:55,1721,6,---,---,---,---,
Estribor,02:12:21,---,---,---,---,---,---,
Estribor,02:12:44,1720,9,---,---,---,---,
Estribor,02:13:08,1721,8,---,---,---,---,
Estribor,02:13:33,---,---,---,---,---,---,
Estribor,02:13:58,---,---,---,---,---,---,
Estribor,02:14:21,1722,0,---,---,---,---,
Estribor,02:14:45,1721,4,---,---,---,---,
Estribor,02:15:09,1721,5,-1,3,---,---,
Estribor,02:15:37,1722,7,---,---,---,---,
Estribor,02:16:02,---,---,---,---,---,---,
Estribor,02:16:27,---,---,---,---,---,---,
Estribor,02:16:51,---,---,---,---,---,---,
Estribor,02:17:15,---,---,---,---,---,---,
Estribor,02:17:37,1722,1,-1,6,---,---,
Estribor,02:18:07,---,---,---,---,---,---,
Estribor,02:18:31,---,---,---,---,---,---,
Estribor,02:18:56,---,---,---,---,---,---,
Estribor,02:19:20,---,---,---,---,---,---,
Estribor,02:19:44,---,---,---,---,---,---,
Estribor,02:20:09,---,---,---,---,---,---,
Estribor,02:20:32,1721,5,---,---,---,---,
Estribor,02:20:57,1721,5,---,---,---,---,
Estribor,02:21:24,1721,5,---,---,---,---,
Estribor,02:21:47,1721,2,-1,6,---,---,
Estribor,02:22:15,1721,1,---,---,---,---,
Estribor,02:22:39,1721,2,-3,6,---,---,
Estribor,02:23:08,---,---,---,---,---,---,
Estribor,02:23:32,---,---,---,---,---,---,
Estribor,02:23:57,---,---,---,---,---,---,
Estribor,02:24:21,---,---,---,---,---,---,
Estribor,02:24:45,---,---,---,---,---,---,
Estribor,02:25:08,1721,3,---,---,---,---,
Estribor,02:25:34,---,---,---,---,---,---,
Estribor,02:25:55,1720,7,-1,6,---,---,
Estribor,02:26:25,---,---,---,---,---,---,
Estribor,02:26:48,1721,9,---,---,---,---,
Estribor,02:27:16,---,---,---,---,---,---,
Estribor,02:27:40,---,---,---,---,---,---,
Estribor,02:28:03,1721,7,---,---,---,---,
Estribor,02:28:27,1721,3,---,---,---,---,
Estribor,02:28:52,1721,2,---,---,---,---,
Estribor,02:29:17,---,---,---,---,---,---,
Estribor,02:29:41,---,---,---,---,---,---,
Estribor,02:30:04,1720,3,---,---,---,---,
Estribor,02:30:29,1721,1,---,---,---,---,
Estribor,02:30:53,1720,8,---,---,---,---,
Estribor,02:31:19,---,---,---,---,---,---,
Estribor,02:31:43,---,---,---,---,---,---,
Estribor,02:32:08,---,---,---,---,---,---,
Estribor,02:32:32,---,---,---,---,---,---,
Estribor,02:32:56,---,---,---,---,---,---,
Estribor,02:33:19,1720,5,---,---,---,---,
Estribor,02:33:43,1720,9,---,---,---,---,
Estribor,02:34:08,1720,5,---,---,---,---,
Estribor,02:34:33,---,---,---,---,---,---,
Estribor,02:34:58,---,---,---,---,---,---,
Estribor,02:35:21,1721,0,---,---,---,---,
Estribor,02:35:45,1721,1,---,---,---,---,
Estribor,02:36:10,1721,0,---,---,---,---,
Estribor,02:36:34,1721,2,---,---,---,---,
Estribor,02:37:00,---,---,---,---,---,---,
Estribor,02:37:24,---,---,---,---,---,---,
Estribor,02:37:49,---,---,---,---,---,---,
Estribor,02:38:12,1720,6,---,---,---,---,
Estribor,02:38:35,1720,5,-1,0,---,---,
Estribor,02:39:03,1720,4,---,---,---,---,
Estribor,02:39:28,1721,2,---,---,---,---,
Estribor,02:39:52,1721,3,---,---,---,---,
Estribor,02:40:17,1720,6,---,---,---,---,
Estribor,02:40:43,---,---,---,---,---,---,
Estribor,02:41:06,1720,4,---,---,---,---,
Estribor,02:41:32,---,---,---,---,---,---,
Estribor,02:41:55,1721,0,---,---,---,---,
Estribor,02:42:19,1720,7,---,---,---,---,
Estribor,02:42:44,1721,1,---,---,---,---,
Estribor,02:43:08,1720,6,---,---,---,---,
Estribor,02:43:33,1720,4,---,---,---,---,
Estribor,02:43:57,1720,6,---,---,---,---,
Estribor,02:44:23,---,---,---,---,---,---,
Estribor,02:44:48,---,---,---,---,---,---,
Estribor,02:45:12,---,---,---,---,---,---,
Estribor,02:45:36,---,---,---,---,---,---,
Estribor,02:45:59,1720,9,---,---,---,---,
Estribor,02:46:25,---,---,---,---,---,---,
Estribor,02:46:49,---,---,---,---,---,---,
