Code,Tiempo,Escalas(m),Datos1(Fa),Datos2(m),Latitude,Longitude,Sonda(m),Comment
Estribor,10:59:50,---,---,---,---,---,---,
Estribor,11:00:19,---,---,---,---,---,---,
Estribor,11:00:49,---,---,---,---,---,---,
Estribor,11:01:18,---,---,---,---,---,---,
Estribor,11:01:47,---,---,---,---,---,---,
Estribor,11:02:17,---,---,---,---,---,---,
Estribor,11:02:46,---,---,---,---,---,---,
Estribor,11:03:14,---,---,---,---,---,---,
Estribor,11:03:42,---,---,---,---,---,---,
Estribor,11:04:10,---,---,---,---,---,---,
Estribor,11:04:33,6,2,---,---,---,---,
Estribor,11:05:04,---,---,---,---,---,---,
Estribor,11:05:32,---,---,---,---,---,---,
Estribor,11:06:00,---,---,---,---,---,---,
Estribor,11:06:28,---,---,---,---,---,---,
Estribor,11:06:52,22,5,5,3,---,---,
Estribor,11:07:18,36,6,5,1,---,---,
Estribor,11:07:44,---,6,2,---,---,---,
Estribor,11:08:10,157,4,---,---,---,---,
Estribor,11:08:33,---,12,2,---,---,---,
Estribor,11:08:58,280,2,---,---,---,---,
Estribor,11:09:25,---,---,---,---,---,---,
Estribor,11:09:51,454,1,4,0,---,---,
Estribor,11:10:23,---,---,---,---,---,---,
Estribor,11:10:51,---,---,---,---,---,---,
Estribor,11:11:18,---,---,---,---,---,---,
Estribor,11:11:41,735,0,8,5,---,---,
Estribor,11:12:10,---,---,---,---,---,---,
Estribor,11:12:36,735,5,---,---,---,---,
Estribor,11:13:01,736,5,---,---,---,---,
Estribor,11:13:26,736,1,---,---,---,---,
Estribor,11:13:52,736,1,---,---,---,---,
Estribor,11:14:18,734,6,---,---,---,---,
Estribor,11:14:45,---,---,---,---,---,---,
Estribor,11:15:10,---,---,---,---,---,---,
Estribor,11:15:35,734,3,31,1,---,---,
Estribor,11:16:00,734,8,---,---,---,---,
Estribor,11:16:22,735,5,32,7,---,---,
Estribor,11:16:48,736,2,---,---,---,---,
Estribor,11:17:14,---,---,---,---,---,---,
Estribor,11:17:37,735,9,33,7,---,---,
Estribor,11:18:04,736,0,33,1,---,---,
Estribor,11:18:30,736,1,33,0,---,---,
Estribor,11:18:56,735,5,32,9,---,---,
Estribor,11:19:22,735,8,32,8,---,---,
Estribor,11:19:49,737,7,31,6,---,---,
Estribor,11:20:14,736,2,31,8,---,---,
Estribor,11:20:40,735,9,31,8,---,---,
Estribor,11:21:09,---,---,---,---,---,---,
Estribor,11:21:34,736,1,32,1,---,---,
Estribor,11:21:59,736,0,32,0,---,---,
Estribor,11:22:25,735,6,31,9,---,---,
Estribor,11:22:50,735,0,31,6,---,---,
Estribor,11:23:15,736,1,32,4,---,---,
Estribor,11:23:42,736,5,---,---,---,---,
Estribor,11:24:08,---,---,---,---,---,---,
Estribor,11:24:31,735,7,---,---,---,---,
Estribor,11:24:58,---,---,---,---,---,---,
Estribor,11:25:22,735,8,---,---,---,---,
Estribor,11:25:49,---,---,---,---,---,---,
Estribor,11:26:12,735,8,30,3,---,---,
Estribor,11:26:38,735,9,---,---,---,---,
Estribor,11:27:01,735,8,30,6,---,---,
Estribor,11:27:25,736,1,30,6,---,---,
Estribor,11:27:54,---,---,---,---,---,---,
Estribor,11:28:18,736,1,---,---,---,---,
Estribor,11:28:41,736,1,30,5,---,---,
Estribor,11:29:06,736,2,30,6,---,---,
Estribor,11:29:33,735,9,31,9,---,---,
Estribor,11:29:57,736,3,31,7,---,---,
Estribor,11:30:21,736,3,29,7,---,---,
Estribor,11:30:46,736,4,29,8,---,---,
Estribor,11:31:13,736,9,30,0,---,---,
Estribor,11:31:38,739,8,26,8,---,---,
Estribor,11:32:08,---,---,---,---,---,---,
Estribor,11:32:32,736,5,29,5,---,---,
Estribor,11:33:01,---,---,---,---,---,---,
Estribor,11:33:24,736,9,29,0,---,---,
Estribor,11:33:51,736,7,---,---,---,---,
Estribor,11:34:14,736,9,---,---,---,---,
Estribor,11:34:38,736,8,---,---,---,---,
Estribor,11:35:01,736,9,28,8,---,---,
Estribor,11:35:26,736,4,29,5,---,---,
Estribor,11:35:51,739,3,27,9,---,---,
Estribor,11:36:15,736,6,29,6,---,---,
Estribor,11:36:44,---,---,---,---,---,---,
Estribor,11:37:13,---,---,---,---,---,---,
Estribor,11:37:37,735,7,---,---,---,---,
Estribor,11:38:02,736,4,29,8,---,---,
Estribor,11:38:27,737,3,30,0,---,---,
Estribor,11:38:51,740,0,29,5,---,---,
Estribor,11:39:20,---,---,---,---,---,---,
Estribor,11:39:43,736,3,30,1,---,---,
Estribor,11:40:07,737,1,29,8,---,---,
Estribor,11:40:33,736,2,30,1,---,---,
Estribor,11:40:59,736,2,30,6,---,---,
Estribor,11:41:24,737,8,28,1,---,---,
Estribor,11:41:52,---,---,---,---,---,---,
Estribor,11:42:15,736,3,28,7,---,---,
Estribor,11:42:42,736,5,28,8,---,---,
Estribor,11:43:07,735,1,29,9,---,---,
Estribor,11:43:32,736,2,29,8,---,---,
Estribor,11:43:57,736,5,28,6,---,---,
Estribor,11:44:22,736,5,29,4,---,---,
Estribor,11:44:48,736,2,31,2,---,---,
Estribor,11:45:14,736,4,---,---,---,---,
Estribor,11:45:38,736,4,30,3,---,---,
Estribor,11:46:04,736,2,29,9,---,---,
Estribor,11:46:29,736,6,29,2,---,---,
Estribor,11:46:54,736,1,28,8,---,---,
Estribor,11:47:23,---,---,---,---,---,---,
Estribor,11:47:46,736,4,29,8,---,---,
