Code,Tiempo,Escalas(m),Datos1(),Datos2(m),Latitude,Longitude,Sonda(m),Comment
D20C,09:42:20,947,0,Off,---,---,---,---,
D20C,09:42:42,947,6,Off,---,---,---,---,
D20C,09:43:05,947,4,Off,---,---,---,---,
D20C,09:43:27,948,9,Off,---,---,---,---,
D20C,09:43:52,947,9,---,---,---,---,---,
D20C,09:44:14,947,4,Off,---,---,---,---,
D20C,09:44:35,947,8,Off,---,---,---,---,
D20C,09:45:00,947,1,Off,---,---,---,---,
D20C,09:45:24,947,3,---,---,---,---,---,
D20C,09:45:46,948,2,Off,---,---,---,---,
D20C,09:46:13,---,---,---,---,---,---,
D20C,09:46:33,948,0,Off,---,---,---,---,
D20C,09:46:57,947,3,Off,---,---,---,---,
D20C,09:47:20,947,7,Off,---,---,---,---,
D20C,09:47:44,946,9,Off,---,---,---,---,
D20C,09:48:09,948,2,---,---,---,---,---,
D20C,09:48:29,946,6,Off,---,---,---,---,
D20C,09:48:52,947,1,Off,---,---,---,---,
D20C,09:49:15,946,7,Off,---,---,---,---,
D20C,09:49:39,947,0,Off,---,---,---,---,
D20C,09:50:03,949,3,---,---,---,---,---,
D20C,09:50:25,950,4,Off,---,---,---,---,
D20C,09:50:48,959,6,Off,---,---,---,---,
D20C,09:51:12,966,0,Off,---,---,---,---,
D20C,09:51:35,972,8,Off,---,---,---,---,
D20C,09:51:59,979,5,Off,---,---,---,---,
D20C,09:52:24,982,2,---,---,---,---,---,
D20C,09:52:46,982,2,---,---,---,---,---,
D20C,09:53:06,983,3,Off,---,---,---,---,
D20C,09:53:29,982,2,Off,---,---,---,---,
D20C,09:53:52,986,7,Off,---,---,---,---,
D20C,09:54:16,984,0,---,---,---,---,---,
D20C,09:54:38,983,2,Off,---,---,---,---,
D20C,09:55:03,982,3,Off,---,---,---,---,
D20C,09:55:28,---,---,---,---,---,---,
D20C,09:55:50,982,5,Off,---,---,---,---,
D20C,09:56:13,983,3,Off,---,---,---,---,
D20C,09:56:37,983,0,Off,---,---,---,---,
D20C,09:57:00,982,3,Off,---,---,---,---,
D20C,09:57:24,982,2,Off,---,---,---,---,
D20C,09:57:48,982,5,Off,---,---,---,---,
D20C,09:58:16,---,---,---,---,---,---,
D20C,09:58:36,982,4,Off,---,---,---,---,
D20C,09:58:59,982,2,Off,---,---,---,---,
D20C,09:59:22,981,5,Off,---,---,---,---,
D20C,09:59:44,982,6,Off,---,---,---,---,
D20C,10:00:07,984,6,Off,---,---,---,---,
D20C,10:00:36,---,---,---,---,---,---,
D20C,10:00:59,983,4,---,---,---,---,---,
D20C,10:01:24,---,---,---,---,---,---,
D20C,10:01:46,981,5,Off,---,---,---,---,
D20C,10:02:13,---,---,---,---,---,---,
D20C,10:02:34,984,7,Off,---,---,---,---,
D20C,10:02:57,982,1,Off,---,---,---,---,
D20C,10:03:21,982,5,Off,---,---,---,---,
D20C,10:03:46,983,0,Off,---,---,---,---,
D20C,10:04:11,982,5,Off,---,---,---,---,
D20C,10:04:38,---,---,---,---,---,---,
D20C,10:04:58,983,1,Off,---,---,---,---,
D20C,10:05:25,---,---,---,---,---,---,
D20C,10:05:52,---,---,---,---,---,---,
D20C,10:06:13,982,5,Off,---,---,---,---,
D20C,10:06:37,984,2,Off,---,---,---,---,
D20C,10:07:04,---,---,---,---,---,---,
D20C,10:07:25,982,3,Off,---,---,---,---,
D20C,10:07:49,984,4,Off,---,---,---,---,
D20C,10:08:12,982,9,Off,---,---,---,---,
D20C,10:08:36,984,1,Off,---,---,---,---,
D20C,10:08:59,984,5,Off,---,---,---,---,
D20C,10:09:24,981,5,Off,---,---,---,---,
D20C,10:09:51,---,---,---,---,---,---,
D20C,10:10:18,---,---,---,---,---,---,
D20C,10:10:43,---,---,---,---,---,---,
D20C,10:11:08,---,---,---,---,---,---,
D20C,10:11:36,---,---,---,---,---,---,
D20C,10:12:02,---,---,---,---,---,---,
D20C,10:12:23,---,---,---,---,---,---,
D20C,10:12:50,---,---,---,---,---,---,
D20C,10:13:12,716,7,Off,---,---,---,---,
D20C,10:13:39,---,---,---,---,---,---,
D20C,10:14:00,659,0,Off,---,---,---,---,
D20C,10:14:24,632,4,Off,---,---,---,---,
D20C,10:14:47,602,7,Off,---,---,---,---,
D20C,10:15:10,578,2,Off,---,---,---,---,
D20C,10:15:38,---,---,---,---,---,---,
D20C,10:16:03,---,---,---,---,---,---,
D20C,10:16:24,488,9,Off,---,---,---,---,
D20C,10:16:47,457,6,Off,---,---,---,---,
D20C,10:17:11,424,7,Off,---,---,---,---,
D20C,10:17:36,389,1,Off,---,---,---,---,
D20C,10:18:00,357,2,Off,---,---,---,---,
D20C,10:18:23,327,7,Off,---,---,---,---,
D20C,10:18:47,302,2,Off,---,---,---,---,
D20C,10:19:11,277,5,Off,---,---,---,---,
D20C,10:19:34,255,8,Off,---,---,---,---,
D20C,10:19:59,236,3,Off,---,---,---,---,
D20C,10:20:23,224,9,Off,---,---,---,---,
D20C,10:20:48,216,0,Off,---,---,---,---,
D20C,10:21:12,202,8,Off,---,---,---,---,
D20C,10:21:35,183,5,Off,---,---,---,---,
D20C,10:21:59,164,5,Off,---,---,---,---,
D20C,10:22:23,149,9,Off,---,---,---,---,
D20C,10:22:48,141,2,Off,---,---,---,---,
D20C,10:23:14,142,4,Off,---,---,---,---,
D20C,10:23:42,140,2,Off,---,---,---,---,
D20C,10:24:10,137,5,Off,---,---,---,---,
D20C,10:24:38,116,9,Off,---,---,---,---,
D20C,10:25:06,91,7,Off,---,---,---,---,
D20C,10:25:34,64,8,Off,---,---,---,---,
D20C,10:26:02,60,8,Off,---,---,---,---,
D20C,10:26:30,66,0,Off,---,---,---,---,
D20C,10:26:58,58,2,Off,---,---,---,---,
D20C,10:27:30,---,---,---,---,---,---,
D20C,10:28:00,---,---,---,---,---,---,
D20C,10:28:29,---,---,---,---,---,---,
D20C,10:28:59,---,---,---,---,---,---,
D20C,10:29:28,---,---,---,---,---,---,
D20C,10:29:57,---,---,---,---,---,---,
D20C,10:30:22,22,0,Off,---,---,---,---,
D20C,10:30:55,---,---,---,---,---,---,
D20C,10:31:19,10,8,Off,---,---,---,---,
D20C,10:31:52,---,---,---,---,---,---,
D20C,10:32:21,---,---,---,---,---,---,
D20C,10:32:51,---,---,---,---,---,---,
D20C,10:33:20,---,---,---,---,---,---,
D20C,10:33:49,---,---,---,---,---,---,
D20C,10:34:19,---,---,---,---,---,---,
D20C,10:34:48,---,---,---,---,---,---,
D20C,10:35:18,---,---,---,---,---,---,
D20C,10:35:47,---,---,---,---,---,---,
D20C,10:36:16,---,---,---,---,---,---,
D20C,10:36:46,---,---,---,---,---,---,
D20C,10:37:15,---,---,---,---,---,---,
D20C,10:37:45,---,---,---,---,---,---,
D20C,10:38:14,---,---,---,---,---,---,
D20C,10:38:43,---,---,---,---,---,---,
D20C,10:39:13,---,---,---,---,---,---,
D20C,10:39:42,---,---,---,---,---,---,
D20C,10:40:11,---,---,---,---,---,---,
D20C,10:40:41,---,---,---,---,---,---,
D20C,10:41:10,---,---,---,---,---,---,
D20C,10:41:37,---,---,---,---,---,---,
D20C,10:42:07,---,---,---,---,---,---,
D20C,10:42:36,---,---,---,---,---,---,
D20C,10:43:05,---,---,---,---,---,---,
D20C,10:43:35,---,---,---,---,---,---,
D20C,10:44:04,---,---,---,---,---,---,
D20C,10:44:34,---,---,---,---,---,---,
D20C,10:45:03,---,---,---,---,---,---,
D20C,10:45:32,---,---,---,---,---,---,
D20C,10:46:02,---,---,---,---,---,---,
D20C,10:46:31,---,---,---,---,---,---,
D20C,10:47:01,---,---,---,---,---,---,
D20C,10:47:30,---,---,---,---,---,---,
D20C,10:47:59,---,---,---,---,---,---,
D20C,10:48:29,---,---,---,---,---,---,
D20C,10:48:58,---,---,---,---,---,---,
D20C,10:49:27,---,---,---,---,---,---,
D20C,10:49:57,---,---,---,---,---,---,
D20C,10:50:26,---,---,---,---,---,---,
D20C,10:50:56,---,---,---,---,---,---,
D20C,10:51:25,---,---,---,---,---,---,
D20C,10:51:55,---,---,---,---,---,---,
D20C,10:52:24,---,---,---,---,---,---,
D20C,10:52:54,---,---,---,---,---,---,
D20C,10:53:23,---,---,---,---,---,---,
D20C,10:53:52,---,---,---,---,---,---,
D20C,10:54:22,---,---,---,---,---,---,
D20C,10:54:51,---,---,---,---,---,---,
D20C,10:55:20,---,---,---,---,---,---,
D20C,10:55:50,---,---,---,---,---,---,
D20C,10:56:19,---,---,---,---,---,---,
D20C,10:56:49,---,---,---,---,---,---,
D20C,10:57:18,---,---,---,---,---,---,
D20C,10:57:47,---,---,---,---,---,---,
D20C,10:58:17,---,---,---,---,---,---,
D20C,10:58:46,---,---,---,---,---,---,
D20C,10:59:15,---,---,---,---,---,---,
D20C,10:59:45,---,---,---,---,---,---,
D20C,11:00:14,---,---,---,---,---,---,
D20C,11:00:44,---,---,---,---,---,---,
D20C,11:01:14,---,---,---,---,---,---,
D20C,11:01:43,---,---,---,---,---,---,
D20C,11:02:13,---,---,---,---,---,---,
D20C,11:02:42,---,---,---,---,---,---,
D20C,11:03:08,30,0,---,---,---,---,---,
D20C,11:03:34,75,4,Off,---,---,---,---,
D20C,11:04:06,---,---,---,---,---,---,
D20C,11:04:35,---,---,---,---,---,---,
D20C,11:05:00,153,2,Off,---,---,---,---,
D20C,11:05:28,---,---,---,---,---,---,
D20C,11:05:53,---,---,---,---,---,---,
D20C,11:06:19,---,---,---,---,---,---,
D20C,11:06:44,---,---,---,---,---,---,
D20C,11:07:09,---,---,---,---,---,---,
D20C,11:07:34,---,---,---,---,---,---,
D20C,11:07:58,---,---,---,---,---,---,
D20C,11:08:20,---,---,---,---,---,---,
D20C,11:08:47,---,---,---,---,---,---,
D20C,11:09:13,---,---,---,---,---,---,
D20C,11:09:35,---,Off,---,---,---,---,
D20C,11:10:03,---,---,---,---,---,---,
D20C,11:10:25,870,7,Off,---,---,---,---,
D20C,11:10:49,868,6,---,---,---,---,---,
D20C,11:11:16,---,---,---,---,---,---,
D20C,11:11:37,868,9,Off,---,---,---,---,
D20C,11:12:04,---,---,---,---,---,---,
D20C,11:12:25,878,4,Off,---,---,---,---,
D20C,11:12:50,873,6,Off,---,---,---,---,
D20C,11:13:15,873,9,---,---,---,---,---,
D20C,11:13:37,873,0,Off,---,---,---,---,
D20C,11:14:02,872,8,Off,---,---,---,---,
D20C,11:14:27,872,3,Off,---,---,---,---,
D20C,11:14:51,873,0,---,---,---,---,---,
D20C,11:15:19,---,---,---,---,---,---,
D20C,11:15:47,---,---,---,---,---,---,
D20C,11:16:13,---,---,---,---,---,---,
D20C,11:16:36,872,6,---,---,---,---,---,
D20C,11:17:02,---,---,---,---,---,---,
D20C,11:17:23,873,1,Off,---,---,---,---,
D20C,11:17:47,872,3,Off,---,---,---,---,
D20C,11:18:12,873,1,Off,---,---,---,---,
D20C,11:18:40,---,---,---,---,---,---,
D20C,11:19:01,873,4,Off,---,---,---,---,
D20C,11:19:26,873,7,---,---,---,---,---,
D20C,11:19:49,873,8,Off,---,---,---,---,
D20C,11:20:18,---,---,---,---,---,---,
D20C,11:20:43,---,---,---,---,---,---,
D20C,11:21:05,874,2,---,---,---,---,---,
D20C,11:21:29,873,0,Off,---,---,---,---,
D20C,11:21:56,---,---,---,---,---,---,
D20C,11:22:21,---,---,---,---,---,---,
D20C,11:22:44,873,7,Off,---,---,---,---,
D20C,11:23:07,874,1,Off,---,---,---,---,
D20C,11:23:31,873,8,---,---,---,---,---,
D20C,11:23:53,---,Off,---,---,---,---,
D20C,11:24:16,874,4,Off,---,---,---,---,
D20C,11:24:39,873,6,Off,---,---,---,---,
D20C,11:25:03,873,6,Off,---,---,---,---,
D20C,11:25:28,873,7,Off,---,---,---,---,
D20C,11:25:52,874,3,Off,---,---,---,---,
D20C,11:26:16,873,5,Off,---,---,---,---,
D20C,11:26:40,876,2,Off,---,---,---,---,
D20C,11:27:07,---,---,---,---,---,---,
D20C,11:27:27,874,7,Off,---,---,---,---,
D20C,11:27:51,874,5,Off,---,---,---,---,
D20C,11:28:16,873,9,---,---,---,---,---,
D20C,11:28:41,874,5,---,---,---,---,---,
D20C,11:29:03,874,0,Off,---,---,---,---,
D20C,11:29:28,873,9,Off,---,---,---,---,
D20C,11:29:50,873,7,Off,---,---,---,---,
D20C,11:30:12,874,0,Off,---,---,---,---,
D20C,11:30:36,873,3,Off,---,---,---,---,
D20C,11:31:01,874,7,---,---,---,---,---,
D20C,11:31:25,875,8,---,---,---,---,---,
D20C,11:31:48,874,6,Off,---,---,---,---,
D20C,11:32:11,873,7,Off,---,---,---,---,
D20C,11:32:34,874,1,Off,---,---,---,---,
D20C,11:32:58,875,3,Off,---,---,---,---,
D20C,11:33:21,874,7,Off,---,---,---,---,
D20C,11:33:48,---,---,---,---,---,---,
D20C,11:34:11,875,0,---,---,---,---,---,
D20C,11:34:38,---,---,---,---,---,---,
D20C,11:34:59,874,9,Off,---,---,---,---,
D20C,11:35:23,875,4,Off,---,---,---,---,
D20C,11:35:46,875,3,Off,---,---,---,---,
D20C,11:36:12,875,2,Off,---,---,---,---,
D20C,11:36:35,874,9,Off,---,---,---,---,
D20C,11:37:00,876,0,Off,---,---,---,---,
D20C,11:37:24,875,3,Off,---,---,---,---,
D20C,11:37:47,876,1,Off,---,---,---,---,
D20C,11:38:14,---,---,---,---,---,---,
D20C,11:38:39,---,---,---,---,---,---,
D20C,11:38:59,875,4,Off,---,---,---,---,
D20C,11:39:22,875,2,Off,---,---,---,---,
D20C,11:39:46,875,0,Off,---,---,---,---,
D20C,11:40:08,875,8,Off,---,---,---,---,
D20C,11:40:34,874,4,Off,---,---,---,---,
D20C,11:40:56,875,7,Off,---,---,---,---,
D20C,11:41:19,875,2,Off,---,---,---,---,
D20C,11:41:43,875,2,Off,---,---,---,---,
D20C,11:42:06,875,7,Off,---,---,---,---,
D20C,11:42:29,876,6,Off,---,---,---,---,
D20C,11:42:54,875,4,Off,---,---,---,---,
D20C,11:43:17,881,3,Off,---,---,---,---,
D20C,11:43:41,874,9,Off,---,---,---,---,
D20C,11:44:03,874,9,Off,---,---,---,---,
D20C,11:44:27,875,7,Off,---,---,---,---,
D20C,11:44:49,875,0,Off,---,---,---,---,
D20C,11:45:12,875,3,Off,---,---,---,---,
D20C,11:45:36,875,3,---,---,---,---,---,
D20C,11:45:58,875,8,Off,---,---,---,---,
D20C,11:46:21,876,9,Off,---,---,---,---,
D20C,11:46:45,876,3,Off,---,---,---,---,
D20C,11:47:13,---,---,---,---,---,---,
D20C,11:47:35,875,0,Off,---,---,---,---,
D20C,11:48:00,874,5,---,---,---,---,---,
D20C,11:48:20,874,9,Off,---,---,---,---,
D20C,11:48:47,---,---,---,---,---,---,
D20C,11:49:12,---,---,---,---,---,---,
D20C,11:49:37,---,---,---,---,---,---,
D20C,11:49:58,875,6,Off,---,---,---,---,
D20C,11:50:22,877,0,Off,---,---,---,---,
D20C,11:50:45,874,8,Off,---,---,---,---,
D20C,11:51:09,874,6,Off,---,---,---,---,
D20C,11:51:33,874,5,Off,---,---,---,---,
D20C,11:51:56,874,6,Off,---,---,---,---,
D20C,11:52:19,878,8,Off,---,---,---,---,
D20C,11:52:43,876,0,Off,---,---,---,---,
D20C,11:53:09,877,2,---,---,---,---,---,
D20C,11:53:30,875,4,Off,---,---,---,---,
D20C,11:53:55,875,6,---,---,---,---,---,
D20C,11:54:17,874,9,Off,---,---,---,---,
D20C,11:54:44,---,---,---,---,---,---,
D20C,11:55:05,883,4,Off,---,---,---,---,
D20C,11:55:28,893,4,Off,---,---,---,---,
D20C,11:55:52,902,5,---,---,---,---,---,
D20C,11:56:17,---,---,---,---,---,---,
D20C,11:56:40,912,0,---,---,---,---,---,
D20C,11:57:03,910,9,---,---,---,---,---,
D20C,11:57:23,910,3,Off,---,---,---,---,
D20C,11:57:46,913,3,Off,---,---,---,---,
D20C,11:58:09,912,1,Off,---,---,---,---,
D20C,11:58:35,910,4,Off,---,---,---,---,
D20C,11:58:59,910,6,---,---,---,---,---,
D20C,11:59:20,910,7,Off,---,---,---,---,
D20C,11:59:45,912,9,Off,---,---,---,---,
D20C,12:00:07,910,9,Off,---,---,---,---,
D20C,12:00:30,910,5,Off,---,---,---,---,
D20C,12:00:53,911,4,Off,---,---,---,---,
D20C,12:01:20,---,---,---,---,---,---,
D20C,12:01:42,910,1,Off,---,---,---,---,
D20C,12:02:06,914,4,Off,---,---,---,---,
D20C,12:02:32,---,---,---,---,---,---,
D20C,12:02:55,913,8,Off,---,---,---,---,
D20C,12:03:20,910,3,Off,---,---,---,---,
D20C,12:03:44,910,4,Off,---,---,---,---,
D20C,12:04:11,---,---,---,---,---,---,
D20C,12:04:34,910,0,Off,---,---,---,---,
D20C,12:04:58,909,6,Off,---,---,---,---,
D20C,12:05:21,909,6,Off,---,---,---,---,
D20C,12:05:45,910,3,Off,---,---,---,---,
D20C,12:06:11,910,7,---,---,---,---,---,
D20C,12:06:31,911,1,Off,---,---,---,---,
D20C,12:06:55,911,1,Off,---,---,---,---,
D20C,12:07:21,910,5,---,---,---,---,---,
D20C,12:07:42,909,7,Off,---,---,---,---,
D20C,12:08:09,---,---,---,---,---,---,
D20C,12:08:33,---,---,---,---,---,---,
D20C,12:08:56,910,3,Off,---,---,---,---,
D20C,12:09:19,911,4,Off,---,---,---,---,
D20C,12:09:46,---,---,---,---,---,---,
D20C,12:10:07,911,1,Off,---,---,---,---,
D20C,12:10:32,910,3,---,---,---,---,---,
D20C,12:10:54,910,3,Off,---,---,---,---,
D20C,12:11:17,911,9,Off,---,---,---,---,
D20C,12:11:44,---,---,---,---,---,---,
D20C,12:12:05,910,5,Off,---,---,---,---,
D20C,12:12:32,---,---,---,---,---,---,
D20C,12:12:58,---,---,---,---,---,---,
D20C,12:13:22,---,---,---,---,---,---,
D20C,12:13:43,909,5,Off,---,---,---,---,
D20C,12:14:09,---,---,---,---,---,---,
D20C,12:14:33,---,---,---,---,---,---,
D20C,12:14:53,909,9,Off,---,---,---,---,
D20C,12:15:17,910,6,Off,---,---,---,---,
D20C,12:15:42,910,2,Off,---,---,---,---,
D20C,12:16:06,909,5,Off,---,---,---,---,
D20C,12:16:29,909,7,Off,---,---,---,---,
D20C,12:16:52,909,8,Off,---,---,---,---,
D20C,12:17:16,910,5,Off,---,---,---,---,
D20C,12:17:40,910,0,Off,---,---,---,---,
D20C,12:18:04,911,0,Off,---,---,---,---,
D20C,12:18:27,910,4,Off,---,---,---,---,
D20C,12:18:51,910,8,Off,---,---,---,---,
D20C,12:19:18,---,---,---,---,---,---,
D20C,12:19:43,---,---,---,---,---,---,
D20C,12:20:04,911,2,Off,---,---,---,---,
D20C,12:20:28,909,9,Off,---,---,---,---,
D20C,12:20:52,910,0,Off,---,---,---,---,
D20C,12:21:17,910,6,Off,---,---,---,---,
D20C,12:21:44,---,---,---,---,---,---,
D20C,12:22:06,910,2,Off,---,---,---,---,
D20C,12:22:30,910,7,Off,---,---,---,---,
D20C,12:22:54,910,9,---,---,---,---,---,
D20C,12:23:16,910,5,Off,---,---,---,---,
D20C,12:23:40,906,4,Off,---,---,---,---,
D20C,12:24:07,---,---,---,---,---,---,
D20C,12:24:32,---,---,---,---,---,---,
D20C,12:24:58,---,---,---,---,---,---,
D20C,12:25:25,---,---,---,---,---,---,
D20C,12:25:54,---,---,---,---,---,---,
D20C,12:26:20,---,---,---,---,---,---,
D20C,12:26:45,---,---,---,---,---,---,
D20C,12:27:10,---,---,---,---,---,---,
D20C,12:27:35,---,---,---,---,---,---,
D20C,12:28:03,---,---,---,---,---,---,
D20C,12:28:28,---,---,---,---,---,---,
D20C,12:28:52,536,4,Off,---,---,---,---,
D20C,12:29:20,---,---,---,---,---,---,
D20C,12:29:47,---,---,---,---,---,---,
D20C,12:30:13,---,---,---,---,---,---,
D20C,12:30:40,---,---,---,---,---,---,
D20C,12:31:01,368,1,Off,---,---,---,---,
D20C,12:31:23,338,4,Off,---,---,---,---,
D20C,12:31:53,---,---,---,---,---,---,
D20C,12:32:15,277,6,Off,---,---,---,---,
D20C,12:32:43,---,---,---,---,---,---,
D20C,12:33:05,239,2,Off,---,---,---,---,
D20C,12:33:29,225,9,Off,---,---,---,---,
D20C,12:33:52,208,5,Off,---,---,---,---,
D20C,12:34:16,188,2,Off,---,---,---,---,
D20C,12:34:39,170,2,Off,---,---,---,---,
D20C,12:35:03,158,3,Off,---,---,---,---,
D20C,12:35:28,146,4,Off,---,---,---,---,
D20C,12:35:53,146,0,Off,---,---,---,---,
D20C,12:36:21,142,7,Off,---,---,---,---,
D20C,12:36:49,142,7,Off,---,---,---,---,
D20C,12:37:17,144,0,Off,---,---,---,---,
D20C,12:37:45,135,6,Off,---,---,---,---,
D20C,12:38:13,110,0,Off,---,---,---,---,
D20C,12:38:41,98,9,Off,---,---,---,---,
D20C,12:39:09,70,4,Off,---,---,---,---,
D20C,12:39:37,62,3,Off,---,---,---,---,
D20C,12:40:05,65,9,Off,---,---,---,---,
D20C,12:40:33,58,6,Off,---,---,---,---,
D20C,12:41:01,56,6,Off,---,---,---,---,
D20C,12:41:33,---,---,---,---,---,---,
D20C,12:42:02,---,---,---,---,---,---,
D20C,12:42:32,---,---,---,---,---,---,
D20C,12:43:01,---,---,---,---,---,---,
D20C,12:43:31,---,---,---,---,---,---,
D20C,12:44:00,---,---,---,---,---,---,
D20C,12:44:29,---,---,---,---,---,---,
D20C,12:44:59,---,---,---,---,---,---,
D20C,12:45:28,---,---,---,---,---,---,
D20C,12:45:58,---,---,---,---,---,---,
D20C,12:46:27,---,---,---,---,---,---,
D20C,12:46:56,---,---,---,---,---,---,
D20C,12:47:21,---,---,---,---,---,---,
D20C,12:47:50,---,---,---,---,---,---,
D20C,12:48:20,---,---,---,---,---,---,
D20C,12:48:49,---,---,---,---,---,---,
D20C,12:49:18,---,---,---,---,---,---,
D20C,12:49:48,---,---,---,---,---,---,
D20C,12:50:17,---,---,---,---,---,---,
D20C,12:50:46,---,---,---,---,---,---,
D20C,12:51:16,---,---,---,---,---,---,
D20C,12:51:45,---,---,---,---,---,---,
D20C,12:52:15,---,---,---,---,---,---,
D20C,12:52:44,---,---,---,---,---,---,
D20C,12:53:13,---,---,---,---,---,---,
D20C,12:53:43,---,---,---,---,---,---,
D20C,12:54:12,---,---,---,---,---,---,
D20C,12:54:42,---,---,---,---,---,---,
D20C,12:55:11,---,---,---,---,---,---,
D20C,12:55:40,---,---,---,---,---,---,
D20C,12:56:10,---,---,---,---,---,---,
D20C,12:56:39,---,---,---,---,---,---,
D20C,12:57:08,---,---,---,---,---,---,
D20C,12:57:39,---,---,---,---,---,---,
D20C,12:58:08,---,---,---,---,---,---,
D20C,12:58:37,---,---,---,---,---,---,
D20C,12:59:07,---,---,---,---,---,---,
D20C,12:59:36,---,---,---,---,---,---,
D20C,13:00:06,---,---,---,---,---,---,
D20C,13:00:35,---,---,---,---,---,---,
D20C,13:01:04,---,---,---,---,---,---,
D20C,13:01:34,---,---,---,---,---,---,
D20C,13:02:03,---,---,---,---,---,---,
D20C,13:02:32,---,---,---,---,---,---,
D20C,13:03:02,---,---,---,---,---,---,
D20C,13:03:31,---,---,---,---,---,---,
D20C,13:04:01,---,---,---,---,---,---,
D20C,13:04:30,---,---,---,---,---,---,
D20C,13:04:59,---,---,---,---,---,---,
D20C,13:05:29,---,---,---,---,---,---,
D20C,13:05:58,---,---,---,---,---,---,
D20C,13:06:28,---,---,---,---,---,---,
D20C,13:06:57,---,---,---,---,---,---,
D20C,13:07:26,---,---,---,---,---,---,
D20C,13:07:56,---,---,---,---,---,---,
D20C,13:08:25,---,---,---,---,---,---,
D20C,13:08:54,---,---,---,---,---,---,
D20C,13:09:24,---,---,---,---,---,---,
D20C,13:09:53,---,---,---,---,---,---,
D20C,13:10:24,---,---,---,---,---,---,
D20C,13:10:53,---,---,---,---,---,---,
D20C,13:11:23,---,---,---,---,---,---,
D20C,13:11:52,---,---,---,---,---,---,
D20C,13:12:21,---,---,---,---,---,---,
D20C,13:12:46,44,3,Off,---,---,---,---,
D20C,13:13:14,84,6,Off,---,---,---,---,
D20C,13:13:42,129,5,Off,---,---,---,---,
D20C,13:14:10,155,4,Off,---,---,---,---,
D20C,13:14:41,---,---,---,---,---,---,
D20C,13:15:06,---,---,---,---,---,---,
D20C,13:15:31,---,---,---,---,---,---,
D20C,13:15:56,---,---,---,---,---,---,
D20C,13:16:21,---,---,---,---,---,---,
D20C,13:16:42,406,2,---,---,---,---,---,
D20C,13:17:07,---,---,---,---,---,---,
D20C,13:17:27,---,---,---,---,---,---,
D20C,13:17:48,583,5,Off,---,---,---,---,
D20C,13:18:14,---,Off,---,---,---,---,
D20C,13:18:43,---,---,---,---,---,---,
D20C,13:19:07,---,---,---,---,---,---,
D20C,13:19:34,---,---,---,---,---,---,
D20C,13:19:55,874,2,Off,---,---,---,---,
D20C,13:20:24,---,---,---,---,---,---,
D20C,13:20:48,857,8,Off,---,---,---,---,
D20C,13:21:13,857,1,---,---,---,---,---,
D20C,13:21:34,859,2,Off,---,---,---,---,
D20C,13:22:00,862,5,---,---,---,---,---,
D20C,13:22:22,864,4,Off,---,---,---,---,
D20C,13:22:46,867,4,Off,---,---,---,---,
D20C,13:23:09,869,3,Off,---,---,---,---,
D20C,13:23:37,---,---,---,---,---,---,
D20C,13:23:57,871,2,Off,---,---,---,---,
D20C,13:24:22,---,---,---,---,---,---,
D20C,13:24:47,---,---,---,---,---,---,
D20C,13:25:08,870,1,Off,---,---,---,---,
D20C,13:25:32,872,2,---,---,---,---,---,
D20C,13:25:53,873,8,Off,---,---,---,---,
D20C,13:26:20,---,---,---,---,---,---,
D20C,13:26:45,---,---,---,---,---,---,
D20C,13:27:09,---,---,---,---,---,---,
D20C,13:27:32,---,---,---,---,---,---,
D20C,13:27:53,873,7,Off,---,---,---,---,
D20C,13:28:19,---,---,---,---,---,---,
D20C,13:28:43,875,3,---,---,---,---,---,
D20C,13:29:06,875,0,---,---,---,---,---,
D20C,13:29:29,875,3,---,---,---,---,---,
D20C,13:29:51,875,3,---,---,---,---,---,
D20C,13:30:15,874,5,Off,---,---,---,---,
D20C,13:30:36,876,2,Off,---,---,---,---,
D20C,13:30:59,875,2,Off,---,---,---,---,
D20C,13:31:22,875,8,Off,---,---,---,---,
D20C,13:31:46,875,4,Off,---,---,---,---,
D20C,13:32:11,877,0,Off,---,---,---,---,
D20C,13:32:36,875,9,Off,---,---,---,---,
D20C,13:33:00,878,7,Off,---,---,---,---,
D20C,13:33:24,876,0,Off,---,---,---,---,
D20C,13:33:51,---,---,---,---,---,---,
D20C,13:34:15,---,---,---,---,---,---,
D20C,13:34:39,876,8,---,---,---,---,---,
D20C,13:35:01,875,9,Off,---,---,---,---,
D20C,13:35:26,875,8,Off,---,---,---,---,
D20C,13:35:50,875,8,Off,---,---,---,---,
D20C,13:36:13,876,3,Off,---,---,---,---,
D20C,13:36:37,875,6,Off,---,---,---,---,
D20C,13:37:00,876,1,Off,---,---,---,---,
D20C,13:37:23,875,9,Off,---,---,---,---,
D20C,13:37:47,876,5,Off,---,---,---,---,
D20C,13:38:10,876,4,Off,---,---,---,---,
D20C,13:38:34,876,5,Off,---,---,---,---,
D20C,13:38:58,876,1,Off,---,---,---,---,
D20C,13:39:24,878,9,Off,---,---,---,---,
D20C,13:39:47,875,9,Off,---,---,---,---,
D20C,13:40:10,876,4,Off,---,---,---,---,
D20C,13:40:34,875,8,Off,---,---,---,---,
D20C,13:41:00,---,---,---,---,---,---,
D20C,13:41:21,876,8,Off,---,---,---,---,
D20C,13:41:45,875,7,Off,---,---,---,---,
D20C,13:42:10,875,8,Off,---,---,---,---,
D20C,13:42:32,875,4,Off,---,---,---,---,
