Code,Tiempo,Escalas(m),Datos1(),Datos2(m),Latitude,Longitude,Sonda(m),Comment
D20C,06:54:21,765,9,Off,---,---,---,---,
D20C,06:54:45,765,6,Off,---,---,---,---,
D20C,06:55:10,765,1,Off,---,---,---,---,
D20C,06:55:34,764,0,Off,---,---,---,---,
D20C,06:55:57,764,5,Off,---,---,---,---,
D20C,06:56:22,765,2,Off,---,---,---,---,
D20C,06:56:47,764,6,Off,---,---,---,---,
D20C,06:57:11,765,0,Off,---,---,---,---,
D20C,06:57:36,764,7,Off,---,---,---,---,
D20C,06:58:00,765,6,Off,---,---,---,---,
D20C,06:58:25,765,0,Off,---,---,---,---,
D20C,06:58:50,764,7,Off,---,---,---,---,
D20C,06:59:14,764,8,Off,---,---,---,---,
D20C,06:59:38,764,3,Off,---,---,---,---,
D20C,07:00:02,763,8,Off,---,---,---,---,
D20C,07:00:25,763,7,Off,---,---,---,---,
D20C,07:00:50,764,2,Off,---,---,---,---,
D20C,07:01:16,764,3,Off,---,---,---,---,
D20C,07:01:38,765,4,Off,---,---,---,---,
D20C,07:02:03,764,3,Off,---,---,---,---,
D20C,07:02:28,764,6,Off,---,---,---,---,
D20C,07:02:52,763,7,Off,---,---,---,---,
D20C,07:03:17,763,2,Off,---,---,---,---,
D20C,07:03:40,764,1,Off,---,---,---,---,
D20C,07:04:03,764,8,Off,---,---,---,---,
D20C,07:04:28,764,7,Off,---,---,---,---,
D20C,07:04:52,764,3,Off,---,---,---,---,
D20C,07:05:16,764,7,Off,---,---,---,---,
D20C,07:05:40,764,5,Off,---,---,---,---,
D20C,07:06:03,765,2,Off,---,---,---,---,
D20C,07:06:27,764,7,Off,---,---,---,---,
D20C,07:06:52,765,0,---,---,---,---,---,
D20C,07:07:14,764,1,Off,---,---,---,---,
D20C,07:07:38,764,7,Off,---,---,---,---,
D20C,07:08:01,765,0,Off,---,---,---,---,
D20C,07:08:25,764,9,Off,---,---,---,---,
D20C,07:08:50,764,6,---,---,---,---,---,
D20C,07:09:14,765,1,Off,---,---,---,---,
D20C,07:09:41,764,1,Off,---,---,---,---,
D20C,07:10:05,766,9,Off,---,---,---,---,
D20C,07:10:30,764,6,Off,---,---,---,---,
D20C,07:10:54,765,0,Off,---,---,---,---,
D20C,07:11:19,763,9,Off,---,---,---,---,
D20C,07:11:44,764,4,Off,---,---,---,---,
D20C,07:12:09,765,7,Off,---,---,---,---,
D20C,07:12:34,763,7,---,---,---,---,---,
D20C,07:12:58,763,2,Off,---,---,---,---,
D20C,07:13:25,764,3,Off,---,---,---,---,
D20C,07:13:50,764,8,Off,---,---,---,---,
D20C,07:14:18,---,---,---,---,---,---,
D20C,07:14:39,764,7,Off,---,---,---,---,
D20C,07:15:02,764,2,Off,---,---,---,---,
D20C,07:15:26,763,6,Off,---,---,---,---,
D20C,07:15:52,763,2,Off,---,---,---,---,
D20C,07:16:17,763,4,Off,---,---,---,---,
D20C,07:16:42,763,6,Off,---,---,---,---,
D20C,07:17:05,764,5,Off,---,---,---,---,
D20C,07:17:30,763,6,Off,---,---,---,---,
D20C,07:17:54,764,0,Off,---,---,---,---,
D20C,07:18:19,765,0,Off,---,---,---,---,
D20C,07:18:43,765,1,Off,---,---,---,---,
D20C,07:19:07,764,3,Off,---,---,---,---,
D20C,07:19:31,765,4,Off,---,---,---,---,
D20C,07:19:56,764,9,Off,---,---,---,---,
D20C,07:20:20,765,5,Off,---,---,---,---,
D20C,07:20:45,764,6,Off,---,---,---,---,
D20C,07:21:10,764,3,Off,---,---,---,---,
D20C,07:21:34,765,6,Off,---,---,---,---,
D20C,07:22:00,764,1,Off,---,---,---,---,
D20C,07:22:24,764,5,Off,---,---,---,---,
D20C,07:22:48,765,1,Off,---,---,---,---,
D20C,07:23:11,764,7,Off,---,---,---,---,
D20C,07:23:35,764,1,Off,---,---,---,---,
D20C,07:23:58,764,3,Off,---,---,---,---,
D20C,07:24:20,765,9,Off,---,---,---,---,
D20C,07:24:44,765,0,Off,---,---,---,---,
D20C,07:25:08,764,6,Off,---,---,---,---,
D20C,07:25:33,764,7,Off,---,---,---,---,
