Code,Tiempo,Escalas(m),Datos1(°),Datos2(m),Latitude,Longitude,Sonda(m),Comment
H36G,06:05:14,590,2,49,6,---,---,---,---,
H36G,06:05:37,590,4,47,5,---,---,---,---,
H36G,06:06:02,590,0,---,---,---,---,---,
H36G,06:06:28,589,4,43,6,---,---,---,---,
H36G,06:06:53,588,6,46,9,---,---,---,---,
H36G,06:07:17,589,7,43,5,---,---,---,---,
H36G,06:07:40,589,9,45,5,---,---,---,---,
H36G,06:08:05,589,2,47,1,---,---,---,---,
H36G,06:08:30,590,6,44,4,---,---,---,---,
H36G,06:08:54,589,2,---,---,---,---,---,
H36G,06:09:21,589,5,---,---,---,---,---,
H36G,06:09:46,590,3,---,---,---,---,---,
H36G,06:10:08,589,7,42,6,---,---,---,---,
H36G,06:10:33,589,6,---,---,---,---,---,
H36G,06:10:58,590,2,---,---,---,---,---,
H36G,06:11:20,589,1,50,5,---,---,---,---,
H36G,06:11:46,589,7,---,---,---,---,---,
H36G,06:12:09,589,1,44,4,---,---,---,---,
H36G,06:12:32,590,1,---,---,---,---,---,
H36G,06:12:55,588,7,---,---,---,---,---,
H36G,06:13:19,589,1,---,---,---,---,---,
H36G,06:13:41,590,1,42,3,---,---,---,---,
H36G,06:14:04,589,6,47,1,---,---,---,---,
H36G,06:14:28,590,3,42,2,---,---,---,---,
H36G,06:14:51,589,9,49,8,---,---,---,---,
H36G,06:15:14,589,7,49,4,---,---,---,---,
H36G,06:15:39,589,9,43,1,---,---,---,---,
H36G,06:16:07,589,2,49,4,---,---,---,---,
H36G,06:16:32,590,5,36,2,---,---,---,---,
H36G,06:16:56,589,2,---,---,---,---,---,
H36G,06:17:20,589,5,48,9,---,---,---,---,
H36G,06:17:43,589,9,39,3,---,---,---,---,
H36G,06:18:09,589,4,---,---,---,---,---,
H36G,06:18:32,589,4,42,4,---,---,---,---,
H36G,06:18:57,590,4,46,6,---,---,---,---,
H36G,06:19:21,589,7,39,6,---,---,---,---,
H36G,06:19:44,589,9,42,4,---,---,---,---,
H36G,06:20:07,589,6,52,4,---,---,---,---,
H36G,06:20:30,589,9,44,9,---,---,---,---,
H36G,06:20:56,589,1,47,8,---,---,---,---,
H36G,06:21:19,590,4,47,4,---,---,---,---,
H36G,06:21:43,590,3,40,4,---,---,---,---,
H36G,06:22:06,588,8,46,2,---,---,---,---,
H36G,06:22:30,590,0,43,4,---,---,---,---,
H36G,06:22:52,590,0,45,6,---,---,---,---,
H36G,06:23:18,590,5,39,0,---,---,---,---,
H36G,06:23:42,589,9,---,---,---,---,---,
H36G,06:24:06,589,6,---,---,---,---,---,
H36G,06:24:28,590,3,41,8,---,---,---,---,
H36G,06:24:53,---,59,2,---,---,---,---,
H36G,06:25:17,590,2,---,---,---,---,---,
H36G,06:25:41,590,3,40,6,---,---,---,---,
H36G,06:26:05,590,0,---,---,---,---,---,
H36G,06:26:28,590,1,45,2,---,---,---,---,
H36G,06:26:53,590,6,41,7,---,---,---,---,
