Code,Tiempo,Escalas(m),Datos1(m),Datos2(m),Latitude,Longitude,Sonda(m),Comment
Abertura Vertical,03:11:47,1394,7,4,3,---,---,
Abertura Vertical,03:12:11,1394,8,4,7,---,---,
Abertura Vertical,03:12:34,1395,1,4,4,---,---,
Abertura Vertical,03:12:58,1396,0,4,5,---,---,
Abertura Vertical,03:13:22,1396,3,4,4,---,---,
Abertura Vertical,03:13:45,1396,5,4,6,---,---,
Abertura Vertical,03:14:09,1396,5,4,5,---,---,
Abertura Vertical,03:14:33,1396,5,4,8,---,---,
Abertura Vertical,03:14:56,1396,6,4,6,---,---,
Abertura Vertical,03:15:20,1396,4,4,5,---,---,
Abertura Vertical,03:15:44,1396,1,4,8,---,---,
Abertura Vertical,03:16:07,1396,2,4,6,---,---,
Abertura Vertical,03:16:31,1395,9,4,8,---,---,
Abertura Vertical,03:16:55,1395,6,4,1,---,---,
Abertura Vertical,03:17:18,1395,1,4,2,---,---,
Abertura Vertical,03:17:42,1395,0,4,1,---,---,
Abertura Vertical,03:18:06,1394,8,4,4,---,---,
Abertura Vertical,03:18:29,1394,8,4,4,---,---,
Abertura Vertical,03:18:53,1394,8,4,2,---,---,
Abertura Vertical,03:19:17,1394,6,4,4,---,---,
Abertura Vertical,03:19:40,1394,5,4,4,---,---,
Abertura Vertical,03:20:04,1395,0,4,4,---,---,
Abertura Vertical,03:20:28,1395,7,4,4,---,---,
Abertura Vertical,03:20:51,1396,6,4,4,---,---,
Abertura Vertical,03:21:15,1397,1,4,5,---,---,
Abertura Vertical,03:21:39,1397,8,4,4,---,---,
Abertura Vertical,03:22:02,1398,1,4,7,---,---,
Abertura Vertical,03:22:26,1398,6,4,1,---,---,
Abertura Vertical,03:22:49,1398,6,4,0,---,---,
Abertura Vertical,03:23:13,1400,3,4,2,---,---,
Abertura Vertical,03:23:37,1398,1,4,8,---,---,
Abertura Vertical,03:24:00,1397,8,5,0,---,---,
Abertura Vertical,03:24:24,1397,6,4,7,---,---,
Abertura Vertical,03:24:48,1396,9,4,4,---,---,
Abertura Vertical,03:25:11,1396,2,4,3,---,---,
Abertura Vertical,03:25:35,1395,6,4,6,---,---,
Abertura Vertical,03:25:59,1394,8,4,3,---,---,
Abertura Vertical,03:26:22,1393,9,4,1,---,---,
Abertura Vertical,03:26:46,1393,6,4,1,---,---,
Abertura Vertical,03:27:10,1394,3,3,8,---,---,
Abertura Vertical,03:27:36,---,---,---,---,---,---,
Abertura Vertical,03:28:05,---,---,---,---,---,---,
Abertura Vertical,03:28:30,1209,8,---,---,---,---,
Abertura Vertical,03:28:54,---,---,---,---,---,---,
Abertura Vertical,03:29:16,993,6,---,---,---,---,
Abertura Vertical,03:29:39,---,---,---,---,---,---,
Abertura Vertical,03:30:02,829,6,---,---,---,---,
Abertura Vertical,03:30:29,---,---,---,---,---,---,
Abertura Vertical,03:30:52,---,---,---,---,---,---,
Abertura Vertical,03:31:14,720,0,---,---,---,---,
