Code,Tiempo,Escalas(m),Datos1(°C),Datos2(m),Latitude,Longitude,Sonda(m),Comment
Starboard Temperature,16:25:43,1038,2,18,7,---,---,
Starboard Temperature,16:26:22,---,18,2,---,---,---,
Starboard Temperature,16:27:05,---,---,---,---,---,---,
Starboard Temperature,16:27:48,---,---,---,---,---,---,
Starboard Temperature,16:28:25,1672,0,16,7,---,---,
Starboard Temperature,16:29:08,---,---,---,---,---,---,
Starboard Temperature,16:29:49,1677,3,16,0,---,---,
Starboard Temperature,16:30:29,1680,7,---,---,---,---,
Starboard Temperature,16:31:07,1683,0,15,5,---,---,
Starboard Temperature,16:31:45,1684,7,15,1,---,---,
Starboard Temperature,16:32:23,1684,7,15,0,---,---,
Starboard Temperature,16:33:02,1684,8,14,8,---,---,
Starboard Temperature,16:33:39,---,---,---,---,---,---,
Starboard Temperature,16:34:18,1687,2,14,2,---,---,
Starboard Temperature,16:34:55,1683,7,14,2,---,---,
Starboard Temperature,16:35:33,1683,6,14,1,---,---,
Starboard Temperature,16:36:10,1683,7,13,9,---,---,
Starboard Temperature,16:36:47,1683,0,13,7,---,---,
Starboard Temperature,16:37:24,1683,5,13,6,---,---,
Starboard Temperature,16:38:01,1683,0,13,4,---,---,
Starboard Temperature,16:38:39,1680,5,13,2,---,---,
Starboard Temperature,16:39:17,1678,2,13,1,---,---,
Starboard Temperature,16:39:56,1675,8,12,9,---,---,
Starboard Temperature,16:40:33,1673,7,12,9,---,---,
Starboard Temperature,16:41:09,1675,7,12,8,---,---,
Starboard Temperature,16:41:48,1674,4,12,7,---,---,
Starboard Temperature,16:42:28,---,---,---,---,---,---,
Starboard Temperature,16:43:06,1672,4,12,6,---,---,
Starboard Temperature,16:43:45,---,2,6,---,---,---,
Starboard Temperature,16:44:25,---,---,---,---,---,---,
Starboard Temperature,16:45:06,1677,1,12,3,---,---,
Starboard Temperature,16:45:45,---,---,---,---,---,---,
Starboard Temperature,16:46:23,1681,3,12,2,---,---,
Starboard Temperature,16:47:01,1682,4,12,1,---,---,
Starboard Temperature,16:47:40,---,---,---,---,---,---,
Starboard Temperature,16:48:16,1684,1,11,9,---,---,
Starboard Temperature,16:48:53,1683,6,12,0,---,---,
Starboard Temperature,16:49:33,1684,8,11,9,---,---,
Starboard Temperature,16:50:11,1685,7,11,8,---,---,
Starboard Temperature,16:50:48,1685,5,11,8,---,---,
Starboard Temperature,16:51:26,1686,3,11,8,---,---,
Starboard Temperature,16:52:03,1686,9,11,7,---,---,
Starboard Temperature,16:52:40,1687,1,11,7,---,---,
Starboard Temperature,16:53:17,1687,2,11,7,---,---,
Starboard Temperature,16:53:54,1686,6,11,6,---,---,
Starboard Temperature,16:54:31,1687,6,11,6,---,---,
Starboard Temperature,16:55:08,1687,8,11,6,---,---,
Starboard Temperature,16:55:46,1687,9,11,6,---,---,
Starboard Temperature,16:56:23,1687,4,11,6,---,---,
Starboard Temperature,16:57:00,1688,2,11,5,---,---,
Starboard Temperature,16:57:37,1688,1,11,5,---,---,
Starboard Temperature,16:58:16,1687,7,11,5,---,---,
Starboard Temperature,16:58:55,---,---,---,---,---,---,
Starboard Temperature,16:59:31,1687,4,11,5,---,---,
Starboard Temperature,17:00:10,---,---,---,---,---,---,
Starboard Temperature,17:00:50,1687,2,11,4,---,---,
Starboard Temperature,17:01:27,1687,2,11,3,---,---,
Starboard Temperature,17:02:04,1687,4,11,3,---,---,
Starboard Temperature,17:02:43,1687,2,11,3,---,---,
Starboard Temperature,17:03:23,---,---,---,---,---,---,
Starboard Temperature,17:03:59,1687,1,11,3,---,---,
Starboard Temperature,17:04:38,---,---,---,---,---,---,
Starboard Temperature,17:05:15,1686,7,11,3,---,---,
Starboard Temperature,17:05:52,1687,7,11,3,---,---,
Starboard Temperature,17:06:29,1687,8,11,2,---,---,
Starboard Temperature,17:07:07,1687,8,11,2,---,---,
Starboard Temperature,17:07:45,1688,7,11,2,---,---,
Starboard Temperature,17:08:22,1688,4,11,2,---,---,
Starboard Temperature,17:08:59,1688,5,11,1,---,---,
Starboard Temperature,17:09:36,1687,9,11,1,---,---,
Starboard Temperature,17:10:13,1687,1,11,1,---,---,
Starboard Temperature,17:10:50,1686,8,11,1,---,---,
Starboard Temperature,17:11:27,1686,6,11,1,---,---,
Starboard Temperature,17:12:05,1685,9,11,1,---,---,
Starboard Temperature,17:12:43,1687,3,11,0,---,---,
Starboard Temperature,17:13:20,1686,3,11,1,---,---,
Starboard Temperature,17:14:01,1685,9,11,1,---,---,
Starboard Temperature,17:14:41,1687,3,11,0,---,---,
Starboard Temperature,17:15:18,1687,1,11,0,---,---,
Starboard Temperature,17:15:55,1687,4,11,0,---,---,
Starboard Temperature,17:16:31,1687,8,11,0,---,---,
Starboard Temperature,17:17:09,1688,4,10,9,---,---,
Starboard Temperature,17:17:48,1688,1,11,0,---,---,
Starboard Temperature,17:18:29,---,---,---,---,---,---,
Starboard Temperature,17:19:07,1688,6,10,9,---,---,
Starboard Temperature,17:19:45,1688,8,10,9,---,---,
Starboard Temperature,17:20:22,1688,5,10,9,---,---,
Starboard Temperature,17:20:59,1688,2,10,9,---,---,
Starboard Temperature,17:21:37,1688,5,10,9,---,---,
Starboard Temperature,17:22:17,---,---,---,---,---,---,
Starboard Temperature,17:22:54,1687,9,10,9,---,---,
Starboard Temperature,17:23:31,1688,1,10,9,---,---,
Starboard Temperature,17:24:10,1688,6,10,9,---,---,
Starboard Temperature,17:24:48,1688,5,10,9,---,---,
Starboard Temperature,17:25:27,1688,7,10,9,---,---,
Starboard Temperature,17:26:04,1688,0,10,9,---,---,
Starboard Temperature,17:26:41,1687,7,10,8,---,---,
Starboard Temperature,17:27:20,1688,0,10,8,---,---,
Starboard Temperature,17:27:57,1688,1,10,8,---,---,
Starboard Temperature,17:28:37,---,---,---,---,---,---,
Starboard Temperature,17:29:14,1688,8,10,9,---,---,
Starboard Temperature,17:29:52,1688,5,10,8,---,---,
Starboard Temperature,17:30:29,1688,0,10,8,---,---,
Starboard Temperature,17:31:09,1688,2,10,8,---,---,
Starboard Temperature,17:31:46,1688,1,10,8,---,---,
Starboard Temperature,17:32:23,1688,0,10,7,---,---,
Starboard Temperature,17:33:01,1687,8,10,8,---,---,
Starboard Temperature,17:33:41,1686,1,---,---,---,---,
Starboard Temperature,17:34:19,1687,9,10,8,---,---,
Starboard Temperature,17:34:58,1687,1,10,8,---,---,
Starboard Temperature,17:35:37,1687,6,10,7,---,---,
Starboard Temperature,17:36:14,1687,5,10,8,---,---,
Starboard Temperature,17:36:51,1687,7,10,7,---,---,
