Code,Tiempo,Escalas(m),Datos1(),Datos2(m),Latitude,Longitude,Sonda(m),Comment
Capturas 1,05:05:17,727,0,---,---,---,---,
Capturas 1,05:05:44,---,---,---,---,---,---,
Capturas 1,05:06:05,724,7,Off,---,---,---,
Capturas 1,05:06:28,725,9,Off,---,---,---,
Capturas 1,05:06:56,---,---,---,---,---,---,
Capturas 1,05:07:17,726,7,Off,---,---,---,
Capturas 1,05:07:41,727,1,Off,---,---,---,
Capturas 1,05:08:04,726,9,Off,---,---,---,
Capturas 1,05:08:28,726,4,Off,---,---,---,
Capturas 1,05:08:52,728,2,Off,---,---,---,
Capturas 1,05:09:15,726,6,Off,---,---,---,
Capturas 1,05:09:39,732,4,Off,---,---,---,
Capturas 1,05:10:03,727,1,Off,---,---,---,
Capturas 1,05:10:26,727,2,Off,---,---,---,
Capturas 1,05:10:51,727,3,---,---,---,---,
Capturas 1,05:11:14,727,1,---,---,---,---,
Capturas 1,05:11:36,726,9,---,---,---,---,
Capturas 1,05:11:58,726,7,Off,---,---,---,
Capturas 1,05:12:23,727,1,---,---,---,---,
Capturas 1,05:12:45,727,9,Off,---,---,---,
Capturas 1,05:13:12,---,---,---,---,---,---,
Capturas 1,05:13:33,728,2,Off,---,---,---,
Capturas 1,05:14:00,---,---,---,---,---,---,
Capturas 1,05:14:22,728,1,---,---,---,---,
Capturas 1,05:14:44,731,4,Off,---,---,---,
Capturas 1,05:15:09,---,---,---,---,---,---,
Capturas 1,05:15:30,727,5,Off,---,---,---,
Capturas 1,05:15:58,---,---,---,---,---,---,
Capturas 1,05:16:19,727,6,Off,---,---,---,
Capturas 1,05:16:43,728,3,Off,---,---,---,
Capturas 1,05:17:06,729,6,Off,---,---,---,
Capturas 1,05:17:30,727,3,Off,---,---,---,
Capturas 1,05:17:57,---,---,---,---,---,---,
Capturas 1,05:18:19,728,4,Off,---,---,---,
Capturas 1,05:18:46,---,---,---,---,---,---,
Capturas 1,05:19:07,727,9,Off,---,---,---,
Capturas 1,05:19:31,727,9,Off,---,---,---,
Capturas 1,05:19:54,727,7,Off,---,---,---,
Capturas 1,05:20:18,727,6,Off,---,---,---,
Capturas 1,05:20:45,---,---,---,---,---,---,
Capturas 1,05:21:10,---,---,---,---,---,---,
Capturas 1,05:21:33,729,1,---,---,---,---,
Capturas 1,05:21:55,727,8,Off,---,---,---,
Capturas 1,05:22:18,727,7,Off,---,---,---,
Capturas 1,05:22:42,727,6,Off,---,---,---,
Capturas 1,05:23:05,728,1,Off,---,---,---,
Capturas 1,05:23:29,728,5,Off,---,---,---,
Capturas 1,05:23:53,727,9,Off,---,---,---,
Capturas 1,05:24:16,728,1,Off,---,---,---,
Capturas 1,05:24:40,727,5,Off,---,---,---,
Capturas 1,05:25:04,727,7,Off,---,---,---,
Capturas 1,05:25:27,727,5,Off,---,---,---,
Capturas 1,05:25:51,727,4,Off,---,---,---,
Capturas 1,05:26:14,727,6,Off,---,---,---,
Capturas 1,05:26:38,727,5,Off,---,---,---,
Capturas 1,05:27:02,727,6,Off,---,---,---,
Capturas 1,05:27:25,728,1,Off,---,---,---,
Capturas 1,05:27:49,728,6,Off,---,---,---,
Capturas 1,05:28:12,728,7,Off,---,---,---,
Capturas 1,05:28:36,729,1,Off,---,---,---,
Capturas 1,05:29:00,728,8,Off,---,---,---,
Capturas 1,05:29:23,728,8,Off,---,---,---,
Capturas 1,05:29:47,729,6,Off,---,---,---,
Capturas 1,05:30:11,728,3,Off,---,---,---,
Capturas 1,05:30:34,728,3,Off,---,---,---,
Capturas 1,05:30:59,728,8,---,---,---,---,
Capturas 1,05:31:21,728,6,Off,---,---,---,
Capturas 1,05:31:44,734,5,---,---,---,---,
Capturas 1,05:32:06,728,7,Off,---,---,---,
Capturas 1,05:32:31,728,4,---,---,---,---,
Capturas 1,05:32:52,728,3,Off,---,---,---,
Capturas 1,05:33:16,728,6,Off,---,---,---,
Capturas 1,05:33:40,732,4,Off,---,---,---,
Capturas 1,05:34:03,727,9,Off,---,---,---,
Capturas 1,05:34:27,728,6,Off,---,---,---,
Capturas 1,05:34:51,729,9,Off,---,---,---,
Capturas 1,05:35:14,728,8,Off,---,---,---,
Capturas 1,05:35:38,728,7,Off,---,---,---,
Capturas 1,05:36:01,728,6,Off,---,---,---,
Capturas 1,05:36:25,728,3,Off,---,---,---,
Capturas 1,05:36:49,729,0,Off,---,---,---,
Capturas 1,05:37:12,729,0,Off,---,---,---,
Capturas 1,05:37:36,728,9,Off,---,---,---,
Capturas 1,05:37:59,729,1,Off,---,---,---,
Capturas 1,05:38:23,728,7,Off,---,---,---,
Capturas 1,05:38:47,728,6,Off,---,---,---,
Capturas 1,05:39:10,729,0,Off,---,---,---,
Capturas 1,05:39:34,728,8,Off,---,---,---,
Capturas 1,05:39:57,728,8,Off,---,---,---,
Capturas 1,05:40:21,728,7,Off,---,---,---,
Capturas 1,05:40:46,729,4,---,---,---,---,
Capturas 1,05:41:07,731,5,Off,---,---,---,
Capturas 1,05:41:31,728,8,Off,---,---,---,
Capturas 1,05:41:55,728,9,Off,---,---,---,
Capturas 1,05:42:22,---,---,---,---,---,---,
Capturas 1,05:42:42,729,0,Off,---,---,---,
Capturas 1,05:43:10,---,---,---,---,---,---,
Capturas 1,05:43:32,729,1,Off,---,---,---,
Capturas 1,05:43:56,729,1,Off,---,---,---,
Capturas 1,05:44:20,729,3,Off,---,---,---,
Capturas 1,05:44:43,729,0,Off,---,---,---,
Capturas 1,05:45:07,729,1,Off,---,---,---,
Capturas 1,05:45:30,729,3,Off,---,---,---,
Capturas 1,05:45:54,729,0,Off,---,---,---,
Capturas 1,05:46:18,730,6,Off,---,---,---,
Capturas 1,05:46:41,729,6,Off,---,---,---,
Capturas 1,05:47:05,729,2,Off,---,---,---,
Capturas 1,05:47:28,728,9,Off,---,---,---,
Capturas 1,05:47:52,728,9,Off,---,---,---,
Capturas 1,05:48:16,729,1,Off,---,---,---,
Capturas 1,05:48:39,728,8,Off,---,---,---,
Capturas 1,05:49:03,728,7,Off,---,---,---,
Capturas 1,05:49:27,730,7,Off,---,---,---,
Capturas 1,05:49:50,728,9,Off,---,---,---,
Capturas 1,05:50:14,728,7,Off,---,---,---,
Capturas 1,05:50:37,728,5,Off,---,---,---,
Capturas 1,05:51:01,728,7,Off,---,---,---,
Capturas 1,05:51:25,731,4,Off,---,---,---,
Capturas 1,05:51:48,728,7,Off,---,---,---,
Capturas 1,05:52:12,729,0,Off,---,---,---,
Capturas 1,05:52:35,730,2,Off,---,---,---,
Capturas 1,05:52:59,729,1,Off,---,---,---,
Capturas 1,05:53:23,729,2,Off,---,---,---,
Capturas 1,05:53:46,729,2,Off,---,---,---,
Capturas 1,05:54:10,728,7,Off,---,---,---,
Capturas 1,05:54:33,728,7,Off,---,---,---,
Capturas 1,05:54:57,729,0,Off,---,---,---,
Capturas 1,05:55:21,729,5,Off,---,---,---,
Capturas 1,05:55:44,729,2,Off,---,---,---,
Capturas 1,05:56:08,729,2,Off,---,---,---,
Capturas 1,05:56:30,728,8,Off,---,---,---,
Capturas 1,05:56:54,728,9,Off,---,---,---,
Capturas 1,05:57:18,728,7,Off,---,---,---,
Capturas 1,05:57:41,728,7,Off,---,---,---,
Capturas 1,05:58:05,728,6,Off,---,---,---,
Capturas 1,05:58:29,728,7,Off,---,---,---,
Capturas 1,05:58:52,728,9,Off,---,---,---,
Capturas 1,05:59:16,729,5,Off,---,---,---,
Capturas 1,05:59:39,728,8,Off,---,---,---,
