Code,Tiempo,Escalas(m),Datos1(m),Datos2(m),Latitude,Longitude,Sonda(m),Comment
Babor,03:19:23,---,---,---,---,---,---,
Babor,03:19:45,1183,6,50,2,---,---,
Babor,03:20:12,---,---,---,---,---,---,
Babor,03:20:35,1184,0,49,4,---,---,
Babor,03:21:03,---,---,---,---,---,---,
Babor,03:21:29,---,---,---,---,---,---,
Babor,03:21:55,---,---,---,---,---,---,
Babor,03:22:21,---,---,---,---,---,---,
Babor,03:22:45,1184,3,50,4,---,---,
Babor,03:23:10,1183,7,49,6,---,---,
Babor,03:23:34,1184,2,50,2,---,---,
Babor,03:23:58,1183,9,52,0,---,---,
Babor,03:24:25,---,---,---,---,---,---,
Babor,03:24:48,1184,9,52,5,---,---,
Babor,03:25:12,1183,3,54,1,---,---,
Babor,03:25:36,1183,9,51,7,---,---,
Babor,03:26:00,1183,1,52,4,---,---,
Babor,03:26:26,---,---,---,---,---,---,
Babor,03:26:48,1183,7,53,9,---,---,
Babor,03:27:11,1189,3,47,4,---,---,
Babor,03:27:38,---,---,---,---,---,---,
Babor,03:28:02,1183,4,49,7,---,---,
Babor,03:28:25,1184,3,48,7,---,---,
Babor,03:28:50,1183,7,48,9,---,---,
Babor,03:29:15,1183,5,48,4,---,---,
Babor,03:29:43,---,---,---,---,---,---,
Babor,03:30:06,1183,7,49,9,---,---,
Babor,03:30:29,1183,6,51,2,---,---,
Babor,03:30:53,1183,6,51,9,---,---,
Babor,03:31:17,1183,6,53,7,---,---,
Babor,03:31:40,1183,6,56,0,---,---,
Babor,03:32:05,1184,8,56,6,---,---,
Babor,03:32:29,1183,5,54,1,---,---,
Babor,03:32:52,1183,6,52,2,---,---,
Babor,03:33:15,1191,8,54,9,---,---,
Babor,03:33:43,---,---,---,---,---,---,
Babor,03:34:08,---,---,---,---,---,---,
Babor,03:34:34,---,---,---,---,---,---,
Babor,03:34:59,889,5,---,---,---,---,
Babor,03:35:24,---,---,---,---,---,---,
Babor,03:35:48,751,3,---,---,---,---,
Babor,03:36:10,715,5,57,0,---,---,
Babor,03:36:34,698,3,56,5,---,---,
Babor,03:36:57,700,6,56,7,---,---,
Babor,03:37:21,715,2,56,6,---,---,
Babor,03:37:43,728,8,56,7,---,---,
Babor,03:38:06,749,0,56,5,---,---,
Babor,03:38:28,770,0,57,1,---,---,
Babor,03:38:53,799,4,61,9,---,---,
Babor,03:39:17,838,1,72,6,---,---,
Babor,03:39:39,878,0,80,7,---,---,
Babor,03:40:03,919,2,90,2,---,---,
Babor,03:40:25,961,5,101,6,---,---,
Babor,03:40:49,1005,9,121,5,---,---,
Babor,03:41:15,---,---,---,---,---,---,
Babor,03:41:39,1091,0,108,9,---,---,
Babor,03:42:03,1115,3,96,2,---,---,
Babor,03:42:28,1131,8,85,9,---,---,
Babor,03:42:51,1142,6,80,8,---,---,
Babor,03:43:15,1151,0,74,6,---,---,
Babor,03:43:39,1157,3,77,3,---,---,
Babor,03:44:02,1163,0,63,4,---,---,
Babor,03:44:26,1167,8,58,2,---,---,
Babor,03:44:49,1171,6,48,4,---,---,
Babor,03:45:13,1174,4,51,4,---,---,
Babor,03:45:37,1176,0,44,6,---,---,
Babor,03:46:00,1178,4,41,0,---,---,
Babor,03:46:24,1179,6,36,8,---,---,
Babor,03:46:47,1180,3,39,1,---,---,
Babor,03:47:11,1180,5,42,5,---,---,
Babor,03:47:35,1181,8,45,1,---,---,
Babor,03:47:58,1181,6,44,5,---,---,
Babor,03:48:22,1182,9,46,7,---,---,
Babor,03:48:46,1185,5,51,2,---,---,
Babor,03:49:09,1182,9,50,2,---,---,
Babor,03:49:32,1183,3,46,0,---,---,
Babor,03:49:56,1183,2,50,4,---,---,
Babor,03:50:20,1183,3,45,2,---,---,
Babor,03:50:43,1183,6,44,5,---,---,
Babor,03:51:07,1183,9,43,5,---,---,
Babor,03:51:30,1183,7,44,2,---,---,
Babor,03:51:54,1183,9,44,9,---,---,
Babor,03:52:18,1183,8,45,2,---,---,
Babor,03:52:41,1184,0,45,1,---,---,
Babor,03:53:05,1184,1,45,0,---,---,
Babor,03:53:29,1184,3,45,4,---,---,
Babor,03:53:52,1185,2,44,5,---,---,
Babor,03:54:16,1184,7,45,4,---,---,
Babor,03:54:40,1186,2,44,1,---,---,
Babor,03:55:03,1186,6,44,6,---,---,
Babor,03:55:27,1188,4,42,5,---,---,
Babor,03:55:51,1190,2,41,3,---,---,
Babor,03:56:14,1185,0,46,4,---,---,
Babor,03:56:38,1184,9,47,3,---,---,
Babor,03:57:01,1185,9,45,9,---,---,
Babor,03:57:24,1184,8,46,6,---,---,
Babor,03:57:47,1185,1,47,9,---,---,
Babor,03:58:11,1184,6,48,2,---,---,
Babor,03:58:34,1184,4,47,7,---,---,
Babor,03:58:58,1185,5,47,7,---,---,
Babor,03:59:22,1184,3,49,0,---,---,
