Code,Tiempo,Escalas(m),Datos1(Fa),Datos2(m),Latitude,Longitude,Sonda(m),Comment
Estribor,03:16:51,1187,3,304,2,---,---,
Estribor,03:17:14,1184,1,311,2,---,---,
Estribor,03:17:39,1184,1,---,---,---,---,
Estribor,03:18:01,1183,7,313,6,---,---,
Estribor,03:18:24,1187,2,311,7,---,---,
Estribor,03:18:51,1184,3,310,4,---,---,
Estribor,03:19:14,1184,0,309,1,---,---,
Estribor,03:19:39,1183,9,309,9,---,---,
Estribor,03:20:03,1184,3,311,3,---,---,
Estribor,03:20:30,1184,3,---,---,---,---,
Estribor,03:20:54,1184,1,311,6,---,---,
Estribor,03:21:21,1184,3,310,2,---,---,
Estribor,03:21:46,1184,2,310,5,---,---,
Estribor,03:22:12,1184,3,310,1,---,---,
Estribor,03:22:39,1184,2,316,5,---,---,
Estribor,03:23:04,1183,4,311,6,---,---,
Estribor,03:23:30,1183,7,---,---,---,---,
Estribor,03:23:52,1184,2,310,7,---,---,
Estribor,03:24:16,1184,2,311,9,---,---,
Estribor,03:24:42,1185,6,309,2,---,---,
Estribor,03:25:06,1184,3,310,1,---,---,
Estribor,03:25:30,1184,1,310,5,---,---,
Estribor,03:25:56,1184,4,---,---,---,---,
Estribor,03:26:19,1184,1,---,---,---,---,
Estribor,03:26:42,1184,1,310,8,---,---,
Estribor,03:27:06,1184,3,315,7,---,---,
Estribor,03:27:29,1185,2,311,5,---,---,
Estribor,03:27:56,1184,3,312,3,---,---,
Estribor,03:28:20,1184,4,314,9,---,---,
Estribor,03:28:45,1184,3,312,2,---,---,
Estribor,03:29:10,1183,9,313,2,---,---,
Estribor,03:29:35,1183,9,311,5,---,---,
Estribor,03:30:00,1184,2,309,9,---,---,
Estribor,03:30:24,1184,2,312,0,---,---,
Estribor,03:30:47,1183,7,313,7,---,---,
Estribor,03:31:11,1184,0,312,0,---,---,
Estribor,03:31:35,1184,4,---,---,---,---,
Estribor,03:32:00,---,---,---,---,---,---,
Estribor,03:32:23,1184,1,313,0,---,---,
Estribor,03:32:47,1184,3,---,---,---,---,
Estribor,03:33:10,1185,0,311,8,---,---,
Estribor,03:33:35,---,---,---,---,---,---,
Estribor,03:34:03,---,---,---,---,---,---,
Estribor,03:34:27,---,---,---,---,---,---,
Estribor,03:34:54,---,---,---,---,---,---,
Estribor,03:35:19,---,---,---,---,---,---,
Estribor,03:35:41,746,4,311,5,---,---,
Estribor,03:36:06,---,---,---,---,---,---,
Estribor,03:36:30,---,---,---,---,---,---,
Estribor,03:36:53,669,0,---,---,---,---,
Estribor,03:37:15,---,314,2,---,---,---,
Estribor,03:37:38,690,2,---,---,---,---,
Estribor,03:38:01,710,3,---,---,---,---,
Estribor,03:38:23,731,2,313,6,---,---,
Estribor,03:38:49,---,---,---,---,---,---,
Estribor,03:39:11,798,9,314,5,---,---,
Estribor,03:39:34,842,6,314,6,---,---,
Estribor,03:39:57,886,7,314,6,---,---,
Estribor,03:40:20,925,1,314,0,---,---,
Estribor,03:40:43,959,4,311,1,---,---,
Estribor,03:41:06,986,3,305,9,---,---,
Estribor,03:41:33,1010,4,301,7,---,---,
Estribor,03:41:57,1028,4,296,8,---,---,
Estribor,03:42:22,1044,0,292,2,---,---,
Estribor,03:42:45,1057,6,288,3,---,---,
Estribor,03:43:09,1069,1,285,7,---,---,
Estribor,03:43:33,1078,6,284,8,---,---,
Estribor,03:43:56,1094,1,290,7,---,---,
Estribor,03:44:20,1112,4,294,4,---,---,
Estribor,03:44:43,1123,3,295,1,---,---,
Estribor,03:45:07,1132,8,297,1,---,---,
Estribor,03:45:31,1138,0,301,3,---,---,
Estribor,03:45:54,1154,2,308,1,---,---,
Estribor,03:46:18,1161,6,314,1,---,---,
Estribor,03:46:42,1165,7,315,0,---,---,
Estribor,03:47:05,1166,0,317,4,---,---,
Estribor,03:47:29,1171,6,317,9,---,---,
Estribor,03:47:52,1173,0,318,3,---,---,
Estribor,03:48:16,1178,3,318,5,---,---,
Estribor,03:48:40,1179,5,318,5,---,---,
Estribor,03:49:03,1180,1,---,---,---,---,
Estribor,03:49:26,1180,1,319,7,---,---,
Estribor,03:49:50,1180,1,319,8,---,---,
Estribor,03:50:14,1180,5,318,7,---,---,
Estribor,03:50:37,1181,0,318,5,---,---,
Estribor,03:51:01,1181,0,319,8,---,---,
Estribor,03:51:25,1181,3,---,---,---,---,
Estribor,03:51:48,1181,5,317,3,---,---,
Estribor,03:52:12,1181,6,317,4,---,---,
Estribor,03:52:36,---,---,---,---,---,---,
Estribor,03:52:59,1182,0,317,3,---,---,
Estribor,03:53:23,1182,2,317,7,---,---,
Estribor,03:53:46,1182,9,316,1,---,---,
Estribor,03:54:10,1182,7,314,8,---,---,
Estribor,03:54:34,1182,6,315,0,---,---,
Estribor,03:54:57,1182,9,314,9,---,---,
Estribor,03:55:21,1183,3,313,7,---,---,
Estribor,03:55:45,1183,7,313,5,---,---,
Estribor,03:56:08,1184,0,313,7,---,---,
Estribor,03:56:32,1184,1,312,8,---,---,
Estribor,03:56:56,1184,3,---,---,---,---,
Estribor,03:57:19,1184,3,---,---,---,---,
Estribor,03:57:43,1184,4,---,---,---,---,
Estribor,03:58:05,1184,8,310,3,---,---,
Estribor,03:58:29,1184,4,309,1,---,---,
Estribor,03:58:52,1184,4,313,0,---,---,
Estribor,03:59:16,1184,3,307,8,---,---,
Estribor,03:59:40,1184,4,310,5,---,---,
Estribor,04:00:03,1184,4,309,7,---,---,
Estribor,04:00:27,1184,5,306,6,---,---,
Estribor,04:00:51,1184,1,306,7,---,---,
Estribor,04:01:14,1184,8,305,3,---,---,
Estribor,04:01:38,1184,4,303,6,---,---,
Estribor,04:02:04,---,---,---,---,---,---,
Estribor,04:02:26,1184,3,304,3,---,---,
Estribor,04:02:50,1184,2,305,6,---,---,
Estribor,04:03:14,1187,9,298,0,---,---,
Estribor,04:03:38,1184,3,---,---,---,---,
Estribor,04:04:01,1184,2,---,---,---,---,
Estribor,04:04:24,1185,2,302,3,---,---,
Estribor,04:04:47,1186,3,298,6,---,---,
Estribor,04:05:14,---,---,---,---,---,---,
Estribor,04:05:36,1184,2,300,8,---,---,
Estribor,04:06:00,1183,6,297,6,---,---,
Estribor,04:06:23,1183,7,297,8,---,---,
Estribor,04:06:47,1184,3,296,8,---,---,
Estribor,04:07:10,1184,4,296,9,---,---,
Estribor,04:07:37,---,---,---,---,---,---,
Estribor,04:08:00,1184,9,---,---,---,---,
Estribor,04:08:23,1185,2,---,---,---,---,
Estribor,04:08:45,1189,5,283,1,---,---,
Estribor,04:09:09,1184,4,287,3,---,---,
Estribor,04:09:33,1187,4,---,---,---,---,
Estribor,04:09:56,1184,4,---,---,---,---,
Estribor,04:10:20,---,283,3,---,---,---,
Estribor,04:10:45,---,---,---,---,---,---,
Estribor,04:11:10,---,---,---,---,---,---,
Estribor,04:11:32,1186,2,280,8,---,---,
Estribor,04:11:56,1186,2,278,3,---,---,
Estribor,04:12:20,1184,9,275,8,---,---,
Estribor,04:12:43,1184,4,276,5,---,---,
Estribor,04:13:07,1184,8,275,3,---,---,
Estribor,04:13:30,1184,9,274,8,---,---,
Estribor,04:13:54,1184,8,273,8,---,---,
Estribor,04:14:17,1185,3,272,5,---,---,
Estribor,04:14:41,1184,8,272,5,---,---,
Estribor,04:15:05,1185,7,270,9,---,---,
Estribor,04:15:28,1185,4,270,9,---,---,
Estribor,04:15:52,1185,1,268,3,---,---,
Estribor,04:16:15,1185,0,267,9,---,---,
Estribor,04:16:39,1184,9,268,3,---,---,
Estribor,04:17:03,1184,8,267,0,---,---,
Estribor,04:17:26,1185,0,266,5,---,---,
Estribor,04:17:50,1185,0,265,7,---,---,
Estribor,04:18:14,1184,8,264,5,---,---,
Estribor,04:18:37,1186,0,264,5,---,---,
Estribor,04:19:04,---,---,---,---,---,---,
Estribor,04:19:29,---,---,---,---,---,---,
Estribor,04:19:51,1185,7,261,8,---,---,
Estribor,04:20:15,1189,3,255,6,---,---,
Estribor,04:20:38,1185,6,257,6,---,---,
Estribor,04:21:02,1191,2,254,2,---,---,
Estribor,04:21:28,---,---,---,---,---,---,
Estribor,04:21:54,---,---,---,---,---,---,
Estribor,04:22:19,---,---,---,---,---,---,
Estribor,04:22:44,---,---,---,---,---,---,
Estribor,04:23:09,---,---,---,---,---,---,
Estribor,04:23:31,1186,1,252,3,---,---,
Estribor,04:23:55,1187,9,249,9,---,---,
Estribor,04:24:19,1186,5,251,3,---,---,
Estribor,04:24:45,---,---,---,---,---,---,
Estribor,04:25:10,---,---,---,---,---,---,
Estribor,04:25:33,1186,1,247,8,---,---,
Estribor,04:25:56,---,---,---,---,---,---,
Estribor,04:26:27,---,---,---,---,---,---,
Estribor,04:26:50,1037,0,---,---,---,---,
Estribor,04:27:13,---,---,---,---,---,---,
Estribor,04:27:39,---,---,---,---,---,---,
Estribor,04:28:04,---,---,---,---,---,---,
Estribor,04:28:26,666,0,---,---,---,---,
Estribor,04:28:54,---,---,---,---,---,---,
Estribor,04:29:23,---,---,---,---,---,---,
Estribor,04:29:45,536,7,---,---,---,---,
Estribor,04:30:07,---,---,---,---,---,---,
Estribor,04:30:28,584,1,249,1,---,---,
Estribor,04:30:50,---,253,9,---,---,---,
Estribor,04:31:14,691,7,---,---,---,---,
Estribor,04:31:37,---,250,1,---,---,---,
Estribor,04:32:01,791,7,249,6,---,---,
Estribor,04:32:31,---,---,---,---,---,---,
Estribor,04:32:56,---,248,7,---,---,---,
Estribor,04:33:19,966,4,248,9,---,---,
Estribor,04:33:43,1001,6,248,6,---,---,
Estribor,04:34:07,1023,9,249,2,---,---,
Estribor,04:34:30,1036,7,248,4,---,---,
Estribor,04:34:54,1048,0,244,6,---,---,
Estribor,04:35:19,1059,0,242,2,---,---,
Estribor,04:35:43,1068,1,239,7,---,---,
Estribor,04:36:06,1076,8,238,8,---,---,
Estribor,04:36:31,1084,1,237,4,---,---,
Estribor,04:36:55,1089,8,239,0,---,---,
Estribor,04:37:18,1111,3,249,5,---,---,
Estribor,04:37:42,1119,2,248,5,---,---,
Estribor,04:38:06,1137,4,253,4,---,---,
Estribor,04:38:31,1143,7,259,0,---,---,
Estribor,04:38:54,1159,2,253,9,---,---,
Estribor,04:39:18,1160,9,253,5,---,---,
Estribor,04:39:42,1169,7,254,1,---,---,
Estribor,04:40:06,1178,2,---,---,---,---,
Estribor,04:40:29,1181,6,254,8,---,---,
Estribor,04:40:54,1182,1,255,1,---,---,
Estribor,04:41:17,1183,3,256,1,---,---,
Estribor,04:41:41,1183,3,257,5,---,---,
Estribor,04:42:05,1184,3,256,7,---,---,
Estribor,04:42:29,1184,6,257,2,---,---,
Estribor,04:42:52,1184,1,258,5,---,---,
Estribor,04:43:16,1184,3,259,7,---,---,
Estribor,04:43:40,1184,3,259,7,---,---,
Estribor,04:44:03,1184,4,260,7,---,---,
Estribor,04:44:28,1184,8,261,8,---,---,
Estribor,04:44:52,1184,6,263,0,---,---,
Estribor,04:45:16,1185,1,262,9,---,---,
Estribor,04:45:41,1184,7,263,0,---,---,
Estribor,04:46:04,1184,7,264,1,---,---,
Estribor,04:46:28,1184,7,264,3,---,---,
Estribor,04:46:52,1184,8,265,4,---,---,
Estribor,04:47:15,1185,4,263,9,---,---,
Estribor,04:47:39,1184,7,266,5,---,---,
Estribor,04:48:03,1184,5,267,6,---,---,
Estribor,04:48:26,1184,4,267,7,---,---,
Estribor,04:48:50,1184,7,268,7,---,---,
Estribor,04:49:14,1184,4,270,1,---,---,
Estribor,04:49:37,1184,3,272,5,---,---,
Estribor,04:50:01,1184,4,272,4,---,---,
Estribor,04:50:24,1184,4,272,6,---,---,
Estribor,04:50:48,1184,4,274,9,---,---,
Estribor,04:51:11,1184,8,275,8,---,---,
Estribor,04:51:35,1185,4,275,0,---,---,
Estribor,04:51:59,1184,2,277,2,---,---,
Estribor,04:52:24,1184,4,279,5,---,---,
Estribor,04:52:47,1184,3,280,8,---,---,
Estribor,04:53:11,1185,0,280,6,---,---,
Estribor,04:53:34,1184,3,282,9,---,---,
Estribor,04:53:58,1184,3,282,8,---,---,
Estribor,04:54:22,1184,2,285,5,---,---,
Estribor,04:54:45,1184,1,286,7,---,---,
Estribor,04:55:09,1184,4,286,4,---,---,
Estribor,04:55:32,1184,2,290,6,---,---,
Estribor,04:55:56,1184,9,290,8,---,---,
Estribor,04:56:19,1184,4,292,0,---,---,
Estribor,04:56:43,1184,3,293,7,---,---,
Estribor,04:57:06,1184,2,293,6,---,---,
Estribor,04:57:29,1184,1,294,7,---,---,
Estribor,04:57:53,1184,9,295,4,---,---,
Estribor,04:58:19,---,---,---,---,---,---,
Estribor,04:58:41,1184,1,295,9,---,---,
Estribor,04:59:04,1184,2,296,9,---,---,
Estribor,04:59:28,1184,2,297,1,---,---,
Estribor,04:59:52,1183,9,299,5,---,---,
Estribor,05:00:15,1184,0,299,3,---,---,
Estribor,05:00:38,1183,9,300,9,---,---,
Estribor,05:01:02,1184,3,302,3,---,---,
Estribor,05:01:25,1183,9,300,7,---,---,
Estribor,05:01:49,1183,8,301,6,---,---,
Estribor,05:02:12,1184,4,301,3,---,---,
Estribor,05:02:36,1183,7,303,1,---,---,
Estribor,05:03:00,1184,4,303,0,---,---,
Estribor,05:03:23,1183,7,303,1,---,---,
Estribor,05:03:47,1184,3,304,2,---,---,
Estribor,05:04:10,1184,1,304,1,---,---,
Estribor,05:04:34,1184,0,305,4,---,---,
Estribor,05:04:57,1184,0,304,4,---,---,
Estribor,05:05:22,1184,3,304,4,---,---,
Estribor,05:05:47,1183,9,305,3,---,---,
Estribor,05:06:11,1184,1,305,4,---,---,
Estribor,05:06:34,1183,8,306,4,---,---,
Estribor,05:06:59,1183,9,306,6,---,---,
Estribor,05:07:25,1183,9,305,6,---,---,
Estribor,05:07:50,1184,0,305,2,---,---,
Estribor,05:08:15,1183,7,305,2,---,---,
Estribor,05:08:38,1183,8,305,3,---,---,
Estribor,05:09:02,1183,7,304,0,---,---,
Estribor,05:09:26,1183,7,305,6,---,---,
Estribor,05:09:49,1183,4,306,0,---,---,
Estribor,05:10:13,1183,7,305,5,---,---,
Estribor,05:10:37,1183,7,306,6,---,---,
Estribor,05:11:00,1183,6,306,7,---,---,
Estribor,05:11:24,1183,6,306,9,---,---,
Estribor,05:11:47,1183,9,306,4,---,---,
Estribor,05:12:11,1183,5,306,7,---,---,
Estribor,05:12:35,1183,6,306,0,---,---,
Estribor,05:12:58,1183,4,306,6,---,---,
Estribor,05:13:22,1183,6,306,6,---,---,
Estribor,05:13:46,1183,4,307,2,---,---,
Estribor,05:14:09,1182,7,307,2,---,---,
Estribor,05:14:33,1183,7,306,9,---,---,
Estribor,05:14:57,1183,6,307,8,---,---,
Estribor,05:15:20,1188,0,303,8,---,---,
Estribor,05:15:44,1184,4,309,8,---,---,
Estribor,05:16:07,1183,7,309,1,---,---,
Estribor,05:16:31,1183,7,308,9,---,---,
Estribor,05:16:55,1183,7,309,1,---,---,
Estribor,05:17:18,1183,1,308,6,---,---,
Estribor,05:17:42,1183,9,307,6,---,---,
Estribor,05:18:06,1183,7,306,7,---,---,
Estribor,05:18:29,1183,6,309,3,---,---,
Estribor,05:18:53,1183,7,306,6,---,---,
Estribor,05:19:17,1183,8,307,9,---,---,
Estribor,05:19:40,1184,2,307,8,---,---,
Estribor,05:20:04,1183,9,307,5,---,---,
Estribor,05:20:28,1183,9,308,9,---,---,
Estribor,05:20:51,1184,0,310,1,---,---,
Estribor,05:21:18,---,---,---,---,---,---,
Estribor,05:21:40,1184,0,308,7,---,---,
Estribor,05:22:04,1184,0,309,9,---,---,
Estribor,05:22:31,---,---,---,---,---,---,
Estribor,05:22:56,---,---,---,---,---,---,
Estribor,05:23:23,---,---,---,---,---,---,
Estribor,05:23:51,---,---,---,---,---,---,
