Code,Tiempo,Escalas(m),Datos1(),Datos2(m),Latitude,Longitude,Sonda(m),Comment
Capturas 1,06:58:10,1089,6,---,---,---,---,
Capturas 1,06:58:34,1092,6,---,---,---,---,
Capturas 1,06:59:00,---,---,---,---,---,---,
Capturas 1,06:59:23,1087,7,Off,---,---,---,
Capturas 1,06:59:48,1086,2,---,---,---,---,
Capturas 1,07:00:12,---,---,---,---,---,---,
Capturas 1,07:00:34,1086,9,Off,---,---,---,
Capturas 1,07:00:59,1087,4,Off,---,---,---,
Capturas 1,07:01:22,1087,9,Off,---,---,---,
Capturas 1,07:01:50,---,---,---,---,---,---,
Capturas 1,07:02:11,1087,7,Off,---,---,---,
Capturas 1,07:02:37,1091,6,---,---,---,---,
Capturas 1,07:03:00,1091,8,Off,---,---,---,
Capturas 1,07:03:27,1089,7,Off,---,---,---,
Capturas 1,07:03:52,1088,3,---,---,---,---,
Capturas 1,07:04:17,1087,4,---,---,---,---,
Capturas 1,07:04:38,1087,2,Off,---,---,---,
Capturas 1,07:05:01,1090,9,Off,---,---,---,
Capturas 1,07:05:24,1089,9,Off,---,---,---,
Capturas 1,07:05:48,1091,7,---,---,---,---,
Capturas 1,07:06:11,1089,0,---,---,---,---,
Capturas 1,07:06:33,1092,7,---,---,---,---,
Capturas 1,07:06:56,1088,3,Off,---,---,---,
Capturas 1,07:07:21,1090,5,---,---,---,---,
Capturas 1,07:07:43,1095,5,Off,---,---,---,
Capturas 1,07:08:06,1105,6,Off,---,---,---,
Capturas 1,07:08:29,1113,0,Off,---,---,---,
Capturas 1,07:08:53,1120,9,---,---,---,---,
Capturas 1,07:09:14,1125,7,Off,---,---,---,
Capturas 1,07:09:37,1125,6,---,---,---,---,
Capturas 1,07:10:02,---,---,---,---,---,---,
Capturas 1,07:10:25,1127,1,Off,---,---,---,
Capturas 1,07:10:51,---,---,---,---,---,---,
Capturas 1,07:11:17,---,---,---,---,---,---,
Capturas 1,07:11:38,1126,9,Off,---,---,---,
Capturas 1,07:12:03,---,---,---,---,---,---,
Capturas 1,07:12:28,1130,1,---,---,---,---,
Capturas 1,07:12:56,---,---,---,---,---,---,
Capturas 1,07:13:18,1127,2,---,---,---,---,
Capturas 1,07:13:40,1128,2,---,---,---,---,
Capturas 1,07:14:07,---,---,---,---,---,---,
Capturas 1,07:14:32,---,---,---,---,---,---,
Capturas 1,07:14:56,1128,1,---,---,---,---,
Capturas 1,07:15:22,---,---,---,---,---,---,
Capturas 1,07:15:43,1129,2,Off,---,---,---,
Capturas 1,07:16:09,1126,4,---,---,---,---,
Capturas 1,07:16:34,1126,7,Off,---,---,---,
Capturas 1,07:16:58,1131,6,Off,---,---,---,
Capturas 1,07:17:23,---,---,---,---,---,---,
Capturas 1,07:17:46,1127,9,---,---,---,---,
Capturas 1,07:18:07,1126,1,Off,---,---,---,
Capturas 1,07:18:32,1125,9,Off,---,---,---,
Capturas 1,07:18:55,1128,1,Off,---,---,---,
Capturas 1,07:19:20,1126,0,Off,---,---,---,
Capturas 1,07:19:46,1131,2,---,---,---,---,
Capturas 1,07:20:10,1126,9,---,---,---,---,
Capturas 1,07:20:34,---,---,---,---,---,---,
Capturas 1,07:20:59,---,---,---,---,---,---,
Capturas 1,07:21:20,1125,5,Off,---,---,---,
Capturas 1,07:21:43,1126,3,Off,---,---,---,
Capturas 1,07:22:09,---,---,---,---,---,---,
Capturas 1,07:22:35,---,---,---,---,---,---,
Capturas 1,07:23:02,---,---,---,---,---,---,
Capturas 1,07:23:24,1127,6,---,---,---,---,
Capturas 1,07:23:46,1126,0,---,---,---,---,
Capturas 1,07:24:06,1127,6,Off,---,---,---,
Capturas 1,07:24:30,1128,6,---,---,---,---,
Capturas 1,07:24:51,1126,4,Off,---,---,---,
Capturas 1,07:25:14,1129,9,---,---,---,---,
Capturas 1,07:25:35,1127,1,Off,---,---,---,
Capturas 1,07:26:02,---,---,---,---,---,---,
Capturas 1,07:26:24,1126,4,---,---,---,---,
Capturas 1,07:26:46,1126,1,Off,---,---,---,
Capturas 1,07:27:11,1130,8,Off,---,---,---,
