Tiempo,Escalas(m),Datos1(°)
2019-11-28 21:15:55,1691.9,-0.3
2019-11-28 21:19:34,1617.9,23.2
2019-11-28 21:21:27,1392.4,99.3
2019-11-28 21:25:44,1691.3,94.1
2019-11-28 21:29:24,1692.7,1.6
2019-11-28 21:33:21,1692.0,0.5
2019-11-28 21:35:46,1692.1,-1.6
2019-11-28 21:38:11,1692.1,-2.0
2019-11-28 21:40:17,1691.7,0.1
2019-11-28 21:45:28,711.3,0.7499999999999999
2019-11-28 21:49:26,1691.5,1.4
2019-11-28 21:53:24,1103.8,47.8
2019-11-28 21:57:41,1693.2,94.2
2019-11-28 21:59:31,1692.4,93.9
2019-11-28 22:01:56,1692.1,94.1
2019-11-28 22:05:53,1110.2,46.599999999999994
2019-11-28 22:10:26,1691.2,-0.9
2019-11-28 22:14:41,1466.0,-0.5
2019-11-28 22:18:05,1691.1,-0.1
2019-11-28 22:20:31,1552.9,-0.30000000000000004
2019-11-28 22:24:08,1691.3,-0.5
2019-11-28 22:29:37,1691.6,-1.1
2019-11-28 22:31:45,1691.6,0.0
2019-11-28 22:35:41,1692.1,0.2
2019-11-28 22:37:47,1589.6,34.0
2019-11-28 22:42:05,1446.8,81.4
2019-11-28 22:44:30,1692.4,1.4
2019-11-28 22:48:08,1692.7,-1.5
