Tiempo,Escalas(m),Datos1(Fa)
2019-11-28 08:33:54,424.7,10.9
2019-11-28 08:35:14,640.1,3.8
2019-11-28 08:36:27,763.2,4.7
2019-11-28 08:36:52,763.5,5.6
2019-11-28 08:37:16,762.8,12.1
2019-11-28 08:37:40,762.4,22.6
2019-11-28 08:38:05,762.0,26.3
2019-11-28 08:38:31,761.7,28.7
2019-11-28 08:39:22,762.0,31.6
2019-11-28 08:39:45,765.2,32.1
2019-11-28 08:40:34,761.8,36.5
2019-11-28 08:40:58,762.9,42.5
2019-11-28 08:41:22,762.1,37.7
2019-11-28 08:41:46,762.0,37.6
2019-11-28 08:42:09,761.9,37.2
2019-11-28 08:42:34,762.0,37.1
2019-11-28 08:42:57,762.7,37.6
2019-11-28 08:43:19,763.2,37.0
2019-11-28 08:43:43,763.3,37.7
2019-11-28 08:44:06,763.0,37.8
2019-11-28 08:44:30,762.2,37.3
2019-11-28 08:44:54,762.5,37.8
2019-11-28 08:45:18,762.8,37.3
2019-11-28 08:45:41,762.7,36.8
2019-11-28 08:46:31,761.8,37.4
2019-11-28 08:46:55,762.7,37.7
2019-11-28 08:47:18,768.9,37.2
2019-11-28 08:47:42,771.9,36.0
2019-11-28 08:48:06,771.4,37.0
2019-11-28 08:48:32,771.0,36.86666666666667
2019-11-28 08:48:55,771.4,36.733333333333334
2019-11-28 08:49:18,771.0,36.6
2019-11-28 08:49:43,770.7,36.55
2019-11-28 08:51:19,771.9,36.5
2019-11-28 08:51:44,771.2,36.8
2019-11-28 08:52:08,770.6,36.5
2019-11-28 08:52:30,771.7,36.9
2019-11-28 08:52:54,770.8,35.6
2019-11-28 08:53:19,771.8,36.9
2019-11-28 08:53:43,771.5,36.5
2019-11-28 08:54:07,771.9,35.6
2019-11-28 08:54:30,771.9,36.5
2019-11-28 08:54:55,771.3,37.0
2019-11-28 08:55:19,771.8,36.4
2019-11-28 08:56:08,771.5,35.2
2019-11-28 08:56:33,771.9,36.1
2019-11-28 08:56:57,771.4,35.2
2019-11-28 08:57:22,771.9,35.0
2019-11-28 08:57:46,771.7,35.6
2019-11-28 08:58:08,771.3,35.2
2019-11-28 08:58:31,771.6,34.8
2019-11-28 08:58:55,771.6,34.6
2019-11-28 08:59:18,773.3,33.7
2019-11-28 08:59:41,771.9,34.1
2019-11-28 09:00:29,771.6,34.1
2019-11-28 09:00:53,771.2,34.9
2019-11-28 09:01:17,771.9,34.7
2019-11-28 09:01:40,771.6,34.5
2019-11-28 09:02:02,771.6,32.9
2019-11-28 09:02:27,771.5,33.4
2019-11-28 09:03:15,771.1,33.6
2019-11-28 09:03:38,771.0,33.3
2019-11-28 09:04:02,771.9,32.4
2019-11-28 09:04:27,771.1,33.1
2019-11-28 09:05:40,771.5,33.5
2019-11-28 09:06:04,771.5,33.0
2019-11-28 09:06:28,771.1,33.6
2019-11-28 09:06:52,771.8,34.2
2019-11-28 09:07:14,771.5,34.4
2019-11-28 09:07:38,771.6,34.7
2019-11-28 09:08:01,771.8,36.0
2019-11-28 09:08:25,771.7,34.95
2019-11-28 09:08:49,772.6,33.9
2019-11-28 09:09:13,774.1,34.06666666666666
2019-11-28 09:09:35,771.6,34.233333333333334
2019-11-28 09:09:57,771.5,34.4
2019-11-28 09:10:22,771.6,34.36666666666667
2019-11-28 09:10:45,771.5,34.33333333333333
2019-11-28 09:11:07,772.3,34.3
2019-11-28 09:11:30,771.4,34.2
2019-11-28 09:11:54,771.9,34.2
2019-11-28 09:12:17,771.9,33.7
2019-11-28 09:12:41,771.8,33.7
2019-11-28 09:13:04,771.7,32.3
2019-11-28 09:13:27,771.6,33.3
2019-11-28 09:13:51,771.9,32.9
2019-11-28 09:14:14,772.4,32.6
2019-11-28 09:14:38,771.7,33.1
2019-11-28 09:15:01,772.2,33.7
2019-11-28 09:15:24,771.9,34.4
2019-11-28 09:15:47,781.1,36.3
2019-11-28 09:17:00,807.2,36.5
2019-11-28 09:17:23,807.0,35.5
2019-11-28 09:17:46,808.5,36.2
2019-11-28 09:18:10,807.2,36.8
2019-11-28 09:18:35,808.4,36.1
2019-11-28 09:18:59,808.4,35.2
2019-11-28 09:19:22,808.7,35.1
2019-11-28 09:19:45,807.9,34.8
2019-11-28 09:20:09,808.2,35.3
2019-11-28 09:20:32,808.5,35.8
2019-11-28 09:20:56,809.3,35.9
2019-11-28 09:21:20,807.7,35.3
2019-11-28 09:21:43,808.1,35.9
2019-11-28 09:22:05,808.2,35.1
2019-11-28 09:22:29,808.4,35.0
2019-11-28 09:22:50,808.3,34.9
2019-11-28 09:23:12,808.5,34.8
2019-11-28 09:23:35,808.6,35.3
2019-11-28 09:23:58,808.1,35.6
2019-11-28 09:24:22,808.4,34.0
2019-11-28 09:24:46,808.2,34.1
2019-11-28 09:25:35,809.4,33.7
2019-11-28 09:25:58,808.3,34.7
2019-11-28 09:26:23,809.1,34.0
2019-11-28 09:26:46,808.4,33.9
2019-11-28 09:27:11,808.4,34.6
2019-11-28 09:27:34,808.1,33.8
2019-11-28 09:27:57,808.3,33.4
2019-11-28 09:28:20,808.6,32.2
2019-11-28 09:28:44,808.9,32.7
2019-11-28 09:29:06,808.9,33.4
2019-11-28 09:29:30,808.7,34.1
2019-11-28 09:29:55,808.2,33.8
2019-11-28 09:30:19,808.2,33.8
2019-11-28 09:30:41,808.9,34.0
2019-11-28 09:31:04,810.8,33.7
2019-11-28 09:31:28,808.7,34.4
2019-11-28 09:31:52,808.4,33.65
2019-11-28 09:32:14,808.9,32.9
2019-11-28 09:32:36,809.4,33.9
2019-11-28 09:32:59,808.9,33.8
2019-11-28 09:33:47,808.5,34.5
2019-11-28 09:34:13,810.4,34.1
2019-11-28 09:35:00,808.4,33.7
2019-11-28 09:35:24,808.5,34.45
2019-11-28 09:36:13,808.2,35.2
2019-11-28 09:36:35,808.5,34.8
2019-11-28 09:36:59,808.4,33.5
2019-11-28 09:37:23,808.4,33.8
2019-11-28 09:37:46,809.8,33.3
2019-11-28 09:38:10,808.5,34.3
2019-11-28 09:38:35,809.5,34.4
2019-11-28 09:39:22,809.0,34.5
2019-11-28 09:39:44,808.2,34.7
2019-11-28 09:40:08,809.4,34.3
2019-11-28 09:40:56,809.0,33.0
2019-11-28 09:41:18,808.5,33.1
2019-11-28 09:41:42,808.7,32.5
2019-11-28 09:42:32,808.9,31.75
2019-11-28 09:42:54,812.6,31.0
2019-11-28 09:43:16,808.9,33.6
2019-11-28 09:43:39,808.6,32.1
2019-11-28 09:44:02,808.6,32.3
2019-11-28 09:44:26,808.9,32.166666666666664
2019-11-28 09:45:13,809.6,32.03333333333333
2019-11-28 09:45:34,808.6,31.9
2019-11-28 09:45:58,808.2,31.5
2019-11-28 09:46:22,809.0,32.2
2019-11-28 09:46:45,808.6,34.1
2019-11-28 09:47:09,808.4,31.7
2019-11-28 09:47:32,808.3,32.4
2019-11-28 09:47:56,808.6,32.6
2019-11-28 09:48:18,808.4,32.0
2019-11-28 09:48:41,808.6,33.2
2019-11-28 09:49:04,809.0,33.0
2019-11-28 09:49:27,808.4,33.0
2019-11-28 09:49:50,808.6,31.7
2019-11-28 09:50:13,808.4,31.5
2019-11-28 09:50:37,816.9,33.7
2019-11-28 09:51:00,824.3,33.5
2019-11-28 09:51:23,830.5,36.0
2019-11-28 09:51:47,837.9,34.6
2019-11-28 09:52:11,843.8,34.8
2019-11-28 09:52:34,843.6,34.0
2019-11-28 09:52:55,844.3,34.0
2019-11-28 09:53:17,843.9,32.3
2019-11-28 09:53:41,843.3,32.4
2019-11-28 09:54:04,844.3,33.5
2019-11-28 09:54:27,844.2,33.6
2019-11-28 09:54:51,843.4,32.7
2019-11-28 09:55:14,844.2,32.6
2019-11-28 09:55:38,844.1,32.3
2019-11-28 09:56:01,844.3,32.6
2019-11-28 09:56:25,843.4,32.7
2019-11-28 09:56:49,844.1,32.9
2019-11-28 09:57:12,843.0,32.7
2019-11-28 09:57:36,843.9,33.2
2019-11-28 09:58:00,842.9,33.3
2019-11-28 09:58:26,843.4,32.8
2019-11-28 09:58:48,844.1,32.3
2019-11-28 09:59:11,843.6,32.6
2019-11-28 09:59:33,843.9,32.4
2019-11-28 09:59:57,843.3,32.45
2019-11-28 10:00:21,843.2,32.5
2019-11-28 10:00:46,843.6,32.4
2019-11-28 10:01:09,844.0,32.5
2019-11-28 10:01:34,843.6,32.2
2019-11-28 10:01:59,843.1,34.4
2019-11-28 10:02:23,844.2,34.3
2019-11-28 10:02:46,843.5,31.8
2019-11-28 10:03:09,843.6,31.6
2019-11-28 10:03:33,844.7,31.9
2019-11-28 10:03:58,843.4,32.4
2019-11-28 10:04:23,844.6,32.6
2019-11-28 10:04:49,843.8,32.400000000000006
2019-11-28 10:05:10,843.8,32.2
2019-11-28 10:06:02,843.7,32.0
2019-11-28 10:06:25,844.0,32.2
2019-11-28 10:06:49,843.1,32.1
2019-11-28 10:07:15,843.5,32.2
2019-11-28 10:07:37,843.7,32.3
2019-11-28 10:08:00,843.8,33.2
2019-11-28 10:08:24,843.8,32.2
2019-11-28 10:08:47,846.9,35.7
