Tiempo,Escalas(m),Datos1(m)
2019-11-28 04:53:48,1796.9,114.6
2019-11-28 04:54:43,1797.0,113.6
2019-11-28 04:55:08,1796.4,113.7
2019-11-28 04:56:28,1796.8,115.7
2019-11-28 04:56:54,1796.7,116.1
2019-11-28 04:57:19,1796.8,114.9
2019-11-28 04:58:13,1797.1,114.7
2019-11-28 04:58:38,1796.9,114.1
2019-11-28 04:59:58,1796.6,113.8
2019-11-28 05:00:24,1797.1,113.9
2019-11-28 05:00:50,1796.9,114.2
2019-11-28 05:01:15,1801.5,113.55000000000001
2019-11-28 05:02:06,1797.0,112.9
2019-11-28 05:02:31,1796.7,114.3
2019-11-28 05:03:25,1796.8,118.0
2019-11-28 05:03:52,1797.1,113.7
2019-11-28 05:04:18,1796.8,114.6
2019-11-28 05:05:10,1796.7,120.8
2019-11-28 05:05:35,1796.4,120.2
2019-11-28 05:06:00,1795.8,118.4
2019-11-28 05:06:25,1796.4,119.3
2019-11-28 05:07:18,1795.1,120.1
2019-11-28 05:07:43,1795.4,120.9
2019-11-28 05:08:36,1795.3,118.2
2019-11-28 05:09:01,1796.3,119.4
2019-11-28 05:09:27,1795.6,118.9
2019-11-28 05:09:52,1795.9,117.7
2019-11-28 05:10:18,1795.8,118.6
2019-11-28 05:12:04,1797.0,116.6
2019-11-28 05:12:29,1796.1,116.3
2019-11-28 05:12:54,1796.2,117.2
2019-11-28 05:13:19,1796.1,116.8
2019-11-28 05:14:11,1796.2,118.5
2019-11-28 05:15:02,1796.4,117.6
2019-11-28 05:15:27,1796.1,119.2
2019-11-28 05:15:52,1796.3,120.2
2019-11-28 05:16:19,1797.2,118.5
2019-11-28 05:16:44,1796.2,118.2
2019-11-28 05:17:09,1796.9,118.2
2019-11-28 05:17:35,1796.4,118.3
2019-11-28 05:18:00,1797.6,114.5
2019-11-28 05:18:51,1797.1,116.1
2019-11-28 05:19:19,1797.1,116.5
2019-11-28 05:19:45,1796.7,116.6
2019-11-28 05:20:10,1796.4,115.7
2019-11-28 05:20:37,1796.4,115.5
2019-11-28 05:21:03,1796.9,116.8
2019-11-28 05:21:28,1796.4,116.0
2019-11-28 05:23:42,1796.7,116.8
2019-11-28 05:24:07,1796.7,116.7
2019-11-28 05:24:34,1796.8,119.6
2019-11-28 05:25:27,1796.3,115.1
2019-11-28 05:25:54,1796.9,116.4
2019-11-28 05:26:20,1796.3,116.5
2019-11-28 05:26:45,1796.2,118.3
2019-11-28 05:27:41,1796.2,116.6
2019-11-28 05:28:09,1796.3,117.9
2019-11-28 05:28:34,1796.4,115.1
2019-11-28 05:29:02,1802.4,110.2
2019-11-28 05:29:27,1796.5,116.8
2019-11-28 05:31:47,1797.1,113.8
2019-11-28 05:32:13,1796.8,113.1
2019-11-28 05:32:39,1796.2,113.5
2019-11-28 05:33:35,1796.4,116.7
2019-11-28 05:34:00,1796.3,116.4
2019-11-28 05:34:28,1796.5,116.2
2019-11-28 05:34:54,1796.7,115.6
2019-11-28 05:36:14,1795.9,115.0
2019-11-28 05:37:09,1795.7,113.8
2019-11-28 05:41:04,1795.9,112.6
2019-11-28 05:43:12,1796.1,115.0
2019-11-28 05:45:22,1796.7,115.6
2019-11-28 05:49:37,1796.4,116.2
2019-11-28 05:50:45,1796.0,114.8
2019-11-28 05:51:53,1796.2,115.2
2019-11-28 05:55:53,1796.0,116.1
2019-11-28 05:57:01,1795.7,114.5
2019-11-28 05:58:02,1795.9,113.73333333333333
2019-11-28 06:00:16,1796.0,112.96666666666667
2019-11-28 06:01:25,1796.5,112.2
2019-11-28 06:03:41,1796.3,113.0
2019-11-28 06:04:49,1795.3,114.2
2019-11-28 06:05:49,1795.6,116.4
2019-11-28 06:09:13,1795.7,115.0
2019-11-28 06:12:13,1795.1,118.2
2019-11-28 06:14:14,1795.4,116.2
2019-11-28 06:15:13,1795.9,115.7
2019-11-28 06:18:06,1795.7,116.4
2019-11-28 06:20:13,1796.0,117.9
2019-11-28 06:21:21,1795.5,116.6
2019-11-28 06:22:30,1795.5,114.8
2019-11-28 06:23:37,1795.7,114.2
2019-11-28 06:24:46,1795.2,112.93333333333334
2019-11-28 06:27:31,2018.2,111.66666666666667
2019-11-28 06:30:38,1795.6,110.4
2019-11-28 06:32:46,1795.6,106.2
2019-11-28 06:34:02,1795.9,107.2
2019-11-28 06:38:02,1794.5,109.1
2019-11-28 06:43:02,1794.5,114.1
2019-11-28 06:44:26,1794.8,114.6
2019-11-28 06:46:18,1794.6,111.5
2019-11-28 06:53:26,1794.8,111.9
2019-11-28 06:54:26,1795.6,112.6
2019-11-28 06:56:25,1794.9,112.1
2019-11-28 07:04:55,2018.8,113.5
2019-11-28 07:10:48,1796.1,114.9
2019-11-28 07:16:57,2018.1,116.65
2019-11-28 07:25:50,1794.7,118.4
2019-11-28 07:26:58,1794.5,116.1
2019-11-28 07:31:42,1794.2,116.9
2019-11-28 07:32:42,1793.8,120.7
2019-11-28 07:36:50,1794.4,117.8
2019-11-28 07:37:51,1794.1,120.2
2019-11-28 07:41:43,1794.2,121.9
2019-11-28 07:46:29,1794.5,114.7
2019-11-28 07:50:14,1794.6,116.6
2019-11-28 07:51:30,1794.7,114.6
2019-11-28 07:54:23,1793.9,115.6
2019-11-28 07:55:31,1794.0,116.9
2019-11-28 07:57:38,1793.3,117.45
2019-11-28 07:58:39,1793.8,118.0
2019-11-28 07:59:47,1794.7,116.8
2019-11-28 08:00:48,1794.4,116.19999999999999
2019-11-28 08:03:47,1794.9,115.6
2019-11-28 08:07:32,1794.8,114.7
2019-11-28 08:09:48,1794.1,114.0
2019-11-28 08:12:48,1794.2,118.5
2019-11-28 08:17:04,1794.4,112.5
2019-11-28 08:21:14,1794.0,114.1
2019-11-28 08:26:13,1793.4,117.0
2019-11-28 08:29:13,1794.1,113.4
2019-11-28 08:30:22,1794.0,112.84
2019-11-28 08:31:30,1793.7,112.28
