Tiempo,Escalas(m),Datos1(°)
2019-11-28 01:59:50,1805.6,0.9
2019-11-28 02:00:13,1805.4,0.5
2019-11-28 02:01:01,1805.4,0.6
2019-11-28 02:01:22,1805.0,-0.3
2019-11-28 02:01:44,1805.4,0.2
2019-11-28 02:02:10,1804.4,-0.6
2019-11-28 02:02:32,1804.4,-0.3
2019-11-28 02:02:57,1804.4,-0.4
2019-11-28 02:03:17,1804.1,-0.6
2019-11-28 02:03:40,1804.2,-0.8
2019-11-28 02:04:05,1803.5,-1.1
2019-11-28 02:04:29,1804.0,0.2
2019-11-28 02:04:51,1803.8,0.6
2019-11-28 02:05:13,1803.5,-0.6
2019-11-28 02:06:04,1803.8,-0.8
2019-11-28 02:06:51,1650.6,50.2
2019-11-28 02:07:38,1803.7,24.450000000000003
2019-11-28 02:08:00,1803.8,-1.3
2019-11-28 02:08:24,1803.6,-0.6
2019-11-28 02:09:36,1803.4,-0.9
2019-11-28 02:10:00,1803.6,-0.4
2019-11-28 02:10:24,1804.5,-1.3
2019-11-28 02:11:12,1803.1,-0.3
2019-11-28 02:11:35,1803.4,-0.6
2019-11-28 02:11:59,1803.8,-0.6
2019-11-28 02:12:24,1803.9,-0.9
2019-11-28 02:12:49,1804.1,-0.6
