Tiempo,Escalas(m),Datos1(°)
2019-11-28 04:50:47,1723.4,0.0
2019-11-28 05:23:06,1723.5,5.2
2019-11-28 05:34:34,1722.6,-0.6
2019-11-28 05:36:26,1722.7,-1.2
2019-11-28 05:37:26,1722.8,-0.7
2019-11-28 05:39:18,1723.0,0.4
2019-11-28 07:46:30,1725.0,5.0
2019-11-28 07:50:07,1725.1,1.2
2019-11-28 07:52:07,1724.9,-0.2
2019-11-28 08:07:55,1724.0,-0.8
2019-11-28 08:10:31,1723.3,-1.4
2019-11-28 08:14:08,1725.0,-0.1
2019-11-28 08:18:36,1726.5,7.1
2019-11-28 08:45:42,1724.8,0.0
2019-11-28 08:56:16,1724.8,-0.3
2019-11-28 09:02:29,1724.0,0.9
2019-11-28 09:07:59,1728.2,2.8
2019-11-28 09:08:59,1728.1,-0.1
2019-11-28 09:26:30,1780.9,-0.9
2019-11-28 09:29:15,1723.1,6.9
2019-11-28 09:31:15,1724.2,-2.0
2019-11-28 09:34:07,1724.2,-1.7
2019-11-28 09:36:07,1723.9,-0.7
2019-11-28 09:38:07,1724.4,-1.2
2019-11-28 09:39:08,1724.6,-0.8
2019-11-28 09:43:00,1724.0,-1.2
