Tiempo,Escalas(m),Datos1(Fa)
2019-11-28 07:47:05,662.5,26.3
2019-11-28 07:47:32,662.9,28.1
2019-11-28 07:47:57,664.3,28.2
2019-11-28 07:48:22,663.5,30.0
2019-11-28 07:48:46,662.8,28.6
2019-11-28 07:49:11,663.4,28.3
2019-11-28 07:49:34,663.0,28.0
2019-11-28 07:49:58,663.2,28.6
2019-11-28 07:50:49,662.8,27.2
2019-11-28 07:51:15,663.8,27.1
2019-11-28 07:51:38,663.3,27.0
2019-11-28 07:52:04,666.2,27.125
2019-11-28 07:52:28,663.5,27.25
2019-11-28 07:52:52,663.0,27.375
2019-11-28 07:54:07,663.1,27.5
2019-11-28 07:54:33,662.7,27.1
2019-11-28 07:55:25,662.7,26.8
2019-11-28 07:55:50,663.1,26.9
2019-11-28 07:56:18,663.1,26.75
2019-11-28 07:56:43,664.6,26.6
2019-11-28 07:57:09,663.7,26.066666666666666
2019-11-28 07:57:33,663.6,25.533333333333335
2019-11-28 07:57:56,667.3,25.0
2019-11-28 07:58:22,663.0,25.525
2019-11-28 07:58:46,664.1,26.05
2019-11-28 07:59:10,664.0,26.575000000000003
2019-11-28 07:59:59,665.2,27.1
2019-11-28 08:00:25,662.9,28.6
2019-11-28 08:00:49,662.8,27.9
2019-11-28 08:01:15,662.9,27.75
2019-11-28 08:02:06,662.9,27.6
2019-11-28 08:02:31,662.7,25.8
2019-11-28 08:02:57,663.2,25.933333333333334
2019-11-28 08:03:21,664.9,26.066666666666666
2019-11-28 08:03:45,664.2,26.200000000000003
2019-11-28 08:04:09,662.3,26.333333333333336
2019-11-28 08:05:26,663.4,26.46666666666667
2019-11-28 08:05:50,662.7,26.6
2019-11-28 08:06:18,664.0,26.3
2019-11-28 08:07:09,662.7,26.0
2019-11-28 08:07:35,663.4,26.9
2019-11-28 08:08:25,663.9,26.4
2019-11-28 08:08:50,663.2,26.5
2019-11-28 08:09:15,663.8,26.7
2019-11-28 08:09:41,663.9,27.0
2019-11-28 08:10:07,663.2,27.3
2019-11-28 08:10:34,663.1,28.3
2019-11-28 08:11:00,662.8,27.6
2019-11-28 08:11:24,666.1,26.9
2019-11-28 08:11:46,662.9,26.2
2019-11-28 08:12:13,662.9,26.0
2019-11-28 08:12:38,665.0,25.8
