Tiempo,Escalas(m),Datos1(°)
2019-11-28 17:54:08,1739.7,91.6
2019-11-28 18:28:07,1738.4,92.5
2019-11-28 19:12:20,1743.9,93.3
2019-11-28 19:40:38,1741.7,0.8
2019-11-28 19:43:18,1742.0,1.4
2019-11-28 20:02:20,1741.9,0.6
2019-11-28 20:34:35,1742.1,0.7
2019-11-28 20:37:15,1741.9,0.5
2019-11-28 20:42:35,1741.9,0.8
2019-11-28 21:16:35,1740.1,0.1
2019-11-28 21:21:28,1740.9,-0.05000000000000002
2019-11-28 21:23:40,1740.8,-0.2
2019-11-28 21:28:32,1739.9,-0.5
2019-11-28 22:11:47,1740.4,11.6
2019-11-28 22:14:27,1739.8,-0.3
2019-11-28 22:28:15,1741.2,0.0
2019-11-28 22:31:23,1741.6,-1.2
2019-11-28 22:34:31,1742.1,-1.1
2019-11-28 22:37:39,1742.7,-1.2
2019-11-28 22:40:20,1742.7,-0.975
2019-11-28 22:44:45,1743.5,-0.75
2019-11-28 22:46:58,1742.6,-0.525
2019-11-28 22:49:37,1742.7,-0.3
2019-11-28 22:52:17,1741.9,97.7
2019-11-28 22:57:09,1741.6,-0.2
2019-11-28 22:59:49,1742.1,-0.3
2019-11-28 23:06:54,1742.3,-0.5
2019-11-28 23:09:34,1742.3,0.4
2019-11-28 23:18:30,1742.4,-1.1
