Tiempo,Escalas(m),Datos1(Fa)
2019-11-28 07:24:23,381.4,25.08
2019-11-28 07:27:10,674.3,26.119999999999997
2019-11-28 07:28:03,677.6,27.16
2019-11-28 07:28:52,674.4,28.2
2019-11-28 07:29:45,749.9,29.65
2019-11-28 07:30:35,674.1,31.1
2019-11-28 07:31:01,673.9,31.9
2019-11-28 07:31:26,673.8,32.7
2019-11-28 07:31:53,673.2,33.1
2019-11-28 07:32:18,674.3,33.7
2019-11-28 07:32:44,673.6,33.6
2019-11-28 07:33:09,674.9,32.4
2019-11-28 07:34:01,674.2,31.8
2019-11-28 07:34:28,674.2,31.5
2019-11-28 07:34:54,674.4,31.1
2019-11-28 07:35:19,674.6,31.4
2019-11-28 07:35:47,674.2,31.56
2019-11-28 07:36:10,674.1,31.72
2019-11-28 07:36:36,674.1,31.880000000000003
2019-11-28 07:37:00,674.4,32.04
2019-11-28 07:37:23,674.2,32.2
2019-11-28 07:37:50,674.0,32.1
2019-11-28 07:38:15,674.4,32.0
2019-11-28 07:38:40,674.1,29.8
2019-11-28 07:39:07,675.6,28.2
2019-11-28 07:39:33,673.5,29.5
2019-11-28 07:39:59,674.7,29.25
2019-11-28 07:40:24,674.7,29.0
2019-11-28 07:40:48,674.3,29.0
2019-11-28 07:41:40,673.9,31.1
2019-11-28 07:42:06,674.4,30.75
2019-11-28 07:42:29,674.3,30.4
2019-11-28 07:43:21,673.9,29.5
2019-11-28 07:43:47,674.3,28.6
2019-11-28 07:44:14,674.6,28.450000000000003
2019-11-28 07:44:37,674.4,28.3
2019-11-28 07:45:02,674.0,29.0
2019-11-28 07:45:27,673.9,28.5
2019-11-28 07:46:20,674.5,27.7
2019-11-28 07:46:46,673.4,28.0
2019-11-28 07:47:12,672.2,28.35
2019-11-28 07:47:36,672.5,28.7
2019-11-28 07:48:01,672.6,28.3
2019-11-28 07:48:25,672.5,27.8
2019-11-28 07:48:50,672.9,28.7
2019-11-28 07:49:15,673.1,29.9
2019-11-28 07:49:40,672.8,28.6
2019-11-28 07:50:06,672.9,27.9
2019-11-28 07:50:56,672.1,27.2
2019-11-28 07:51:21,672.4,27.0
2019-11-28 07:51:47,673.1,26.85
2019-11-28 07:52:12,674.2,26.7
2019-11-28 07:52:37,674.1,26.6
2019-11-28 07:53:02,674.3,27.1
2019-11-28 07:53:27,675.0,27.5
2019-11-28 07:53:52,674.2,28.2
2019-11-28 07:54:19,673.9,28.2
2019-11-28 07:54:45,673.7,27.6
2019-11-28 07:55:09,674.5,29.3
2019-11-28 07:55:35,674.2,26.9
2019-11-28 07:56:00,674.3,27.3
2019-11-28 07:56:24,679.9,25.4
2019-11-28 07:56:51,675.1,25.441666666666666
2019-11-28 07:57:39,672.5,25.48333333333333
2019-11-28 07:58:04,672.5,25.525
2019-11-28 07:58:55,672.6,25.566666666666666
2019-11-28 07:59:18,673.9,25.60833333333333
2019-11-28 07:59:41,673.3,25.65
2019-11-28 08:00:04,672.8,25.691666666666666
2019-11-28 08:00:31,672.5,25.73333333333333
2019-11-28 08:01:23,673.5,25.775
2019-11-28 08:01:46,673.6,25.816666666666666
2019-11-28 08:02:11,673.6,25.85833333333333
2019-11-28 08:02:35,674.8,25.9
2019-11-28 08:03:01,677.4,26.03333333333333
2019-11-28 08:03:26,673.4,26.166666666666668
2019-11-28 08:03:50,673.9,26.3
2019-11-28 08:04:16,674.0,26.2
2019-11-28 08:04:39,674.2,26.1
2019-11-28 08:05:03,674.3,26.0
2019-11-28 08:05:26,674.3,25.9
2019-11-28 08:05:51,675.1,25.8
2019-11-28 08:06:14,674.2,25.7
2019-11-28 08:06:39,674.1,25.759999999999998
2019-11-28 08:07:03,673.9,25.82
2019-11-28 08:07:30,673.4,25.88
2019-11-28 08:07:57,673.6,25.94
2019-11-28 08:08:22,674.1,26.0
2019-11-28 08:08:48,674.1,26.55
2019-11-28 08:09:37,673.7,27.1
2019-11-28 08:10:02,673.5,27.05
2019-11-28 08:10:26,675.0,27.0
2019-11-28 08:10:54,679.4,26.75
2019-11-28 08:11:17,674.9,26.5
2019-11-28 08:11:44,673.6,27.033333333333335
2019-11-28 08:12:09,673.3,27.566666666666666
2019-11-28 08:12:32,674.9,28.1
2019-11-28 08:12:56,674.0,26.7
2019-11-28 08:13:22,674.1,27.0
