Tiempo,Escalas(m),Datos1(°)
2019-11-28 01:09:36,1803.0,35.83333333333333
2019-11-28 01:12:12,1802.2,1.7
2019-11-28 01:14:03,1802.5,47.0
2019-11-28 01:17:41,1523.3,92.3
2019-11-28 01:20:08,1803.2,4.6
2019-11-28 01:25:52,1667.1,3.6999999999999997
2019-11-28 01:27:08,1803.3,2.8
2019-11-28 01:28:26,1801.1,1.9
2019-11-28 01:29:17,1802.2,3.2
2019-11-28 01:30:08,1802.7,2.2
2019-11-28 01:31:29,1803.2,100.3
2019-11-28 01:31:55,1803.6,76.35
2019-11-28 01:32:43,1803.1,52.4
2019-11-28 01:33:07,1804.1,28.450000000000003
