Tiempo,Escalas(m),Datos1(m)
2019-11-28 01:22:24,1738.1,119.2
2019-11-28 01:23:08,1452.6,119.53333333333333
2019-11-28 01:23:31,1430.4,119.86666666666667
2019-11-28 01:24:18,1737.1,120.2
2019-11-28 01:24:41,1737.2,117.2
2019-11-28 01:25:25,1737.2,115.3
2019-11-28 01:26:07,914.2,112.85
2019-11-28 01:26:54,1737.1,110.4
2019-11-28 01:28:09,1736.1,109.03333333333333
2019-11-28 01:28:34,1736.7,107.66666666666667
2019-11-28 01:29:20,1736.1,106.3
2019-11-28 01:30:04,1735.5,106.3
2019-11-28 01:30:29,1736.1,106.3
2019-11-28 01:30:56,1734.9,106.3
2019-11-28 01:31:18,1738.4,106.3
2019-11-28 01:31:45,1735.5,102.0
2019-11-28 01:32:09,1736.1,97.7
2019-11-28 01:32:34,1735.1,100.6
2019-11-28 01:33:00,1735.3,103.8
2019-11-28 01:33:26,1734.8,107.0
2019-11-28 01:33:50,1734.8,110.2
2019-11-28 01:34:13,1736.8,107.9
2019-11-28 01:35:01,587.1,109.1
2019-11-28 01:35:50,1734.6,110.3
2019-11-28 01:36:11,1735.7,107.6
2019-11-28 01:36:33,1734.5,106.0
2019-11-28 01:36:59,1734.8,106.5
2019-11-28 01:37:45,942.1,107.0
2019-11-28 01:39:13,1734.7,107.5
2019-11-28 01:43:10,1736.1,109.9
2019-11-28 01:45:18,1738.1,106.9
2019-11-28 01:50:46,1736.8,109.1
2019-11-28 01:53:12,1736.8,110.6
2019-11-28 01:55:38,1737.7,109.55
2019-11-28 01:59:54,1738.0,108.5
2019-11-28 02:02:02,1739.2,109.5
2019-11-28 02:06:17,1739.4,108.4
2019-11-28 02:08:43,1739.8,109.2
2019-11-28 02:11:08,1739.4,107.1
2019-11-28 02:13:34,1739.4,112.7
2019-11-28 02:18:26,1739.1,114.2
2019-11-28 02:20:16,1738.7,107.8
2019-11-28 02:22:41,1739.0,107.0
2019-11-28 02:26:37,1738.6,110.6
2019-11-28 02:32:40,1738.3,108.4
2019-11-28 02:34:47,1739.1,104.6
