Code,Tiempo,Escalas(m),Datos1(),Datos2(m),Latitude,Longitude,Sonda(m),Comment
Capturas 1,09:53:08,667,9,---,---,---,---,
Capturas 1,09:53:34,---,---,---,---,---,---,
Capturas 1,09:53:56,584,0,Off,---,---,---,
Capturas 1,09:54:24,---,---,---,---,---,---,
Capturas 1,09:54:49,---,---,---,---,---,---,
Capturas 1,09:55:14,662,7,---,---,---,---,
Capturas 1,09:55:42,---,---,---,---,---,---,
Capturas 1,09:56:10,---,---,---,---,---,---,
Capturas 1,09:56:33,---,---,---,---,---,---,
Capturas 1,09:56:56,709,3,---,---,---,---,
Capturas 1,09:57:21,---,On,---,---,---,---,
Capturas 1,09:57:48,---,---,---,---,---,---,
Capturas 1,09:58:15,---,---,---,---,---,---,
Capturas 1,09:58:40,---,---,---,---,---,---,
Capturas 1,09:59:07,667,5,---,---,---,---,
Capturas 1,09:59:33,---,---,---,---,---,---,
Capturas 1,09:59:56,663,2,---,---,---,---,
Capturas 1,10:00:23,---,---,---,---,---,---,
Capturas 1,10:00:51,---,---,---,---,---,---,
Capturas 1,10:01:17,663,8,---,---,---,---,
Capturas 1,10:01:43,---,---,---,---,---,---,
Capturas 1,10:02:11,---,---,---,---,---,---,
Capturas 1,10:02:36,---,---,---,---,---,---,
Capturas 1,10:02:59,664,3,---,---,---,---,
Capturas 1,10:03:26,---,---,---,---,---,---,
Capturas 1,10:03:52,---,---,---,---,---,---,
Capturas 1,10:04:19,---,---,---,---,---,---,
Capturas 1,10:04:46,---,---,---,---,---,---,
Capturas 1,10:05:12,---,---,---,---,---,---,
Capturas 1,10:05:38,---,---,---,---,---,---,
Capturas 1,10:06:04,---,---,---,---,---,---,
Capturas 1,10:06:31,---,---,---,---,---,---,
Capturas 1,10:06:56,663,8,---,---,---,---,
Capturas 1,10:07:24,---,---,---,---,---,---,
Capturas 1,10:07:51,---,---,---,---,---,---,
Capturas 1,10:08:17,---,---,---,---,---,---,
Capturas 1,10:08:42,---,---,---,---,---,---,
Capturas 1,10:09:08,---,---,---,---,---,---,
Capturas 1,10:09:33,---,---,---,---,---,---,
Capturas 1,10:10:00,666,7,---,---,---,---,
Capturas 1,10:10:25,---,---,---,---,---,---,
Capturas 1,10:10:51,---,---,---,---,---,---,
Capturas 1,10:11:17,---,---,---,---,---,---,
Capturas 1,10:11:43,---,---,---,---,---,---,
Capturas 1,10:12:09,---,---,---,---,---,---,
Capturas 1,10:12:32,663,7,---,---,---,---,
Capturas 1,10:12:59,---,---,---,---,---,---,
Capturas 1,10:13:27,---,---,---,---,---,---,
Capturas 1,10:13:49,523,6,On,---,---,---,
Capturas 1,10:14:17,---,---,---,---,---,---,
Capturas 1,10:14:43,---,---,---,---,---,---,
Capturas 1,10:15:10,---,---,---,---,---,---,
Capturas 1,10:15:38,---,---,---,---,---,---,
Capturas 1,10:16:03,---,---,---,---,---,---,
Capturas 1,10:16:32,---,---,---,---,---,---,
Capturas 1,10:17:00,---,---,---,---,---,---,
Capturas 1,10:17:22,589,0,Off,---,---,---,
Capturas 1,10:17:51,---,---,---,---,---,---,
Capturas 1,10:18:19,---,---,---,---,---,---,
Capturas 1,10:18:46,---,---,---,---,---,---,
Capturas 1,10:19:11,---,---,---,---,---,---,
Capturas 1,10:19:36,---,---,---,---,---,---,
Capturas 1,10:20:04,---,---,---,---,---,---,
Capturas 1,10:20:32,---,---,---,---,---,---,
Capturas 1,10:20:59,---,---,---,---,---,---,
Capturas 1,10:21:26,---,---,---,---,---,---,
Capturas 1,10:21:51,---,---,---,---,---,---,
Capturas 1,10:22:18,---,---,---,---,---,---,
Capturas 1,10:22:42,---,---,---,---,---,---,
Capturas 1,10:23:09,---,---,---,---,---,---,
Capturas 1,10:23:35,---,---,---,---,---,---,
Capturas 1,10:24:00,---,---,---,---,---,---,
Capturas 1,10:24:24,---,---,---,---,---,---,
Capturas 1,10:24:51,---,---,---,---,---,---,
Capturas 1,10:25:16,---,---,---,---,---,---,
Capturas 1,10:25:44,---,---,---,---,---,---,
Capturas 1,10:26:09,---,---,---,---,---,---,
Capturas 1,10:26:38,---,---,---,---,---,---,
Capturas 1,10:27:05,---,---,---,---,---,---,
Capturas 1,10:27:30,---,---,---,---,---,---,
Capturas 1,10:27:56,---,---,---,---,---,---,
Capturas 1,10:28:21,---,---,---,---,---,---,
