Code,Tiempo,Escalas(m),Datos1(),Datos2(m),Latitude,Longitude,Sonda(m),Comment
Capturas 1,07:02:51,---,---,---,---,---,---,
Capturas 1,07:03:21,---,---,---,---,---,---,
Capturas 1,07:03:47,---,---,---,---,---,---,
Capturas 1,07:04:12,---,---,---,---,---,---,
Capturas 1,07:04:36,---,---,---,---,---,---,
Capturas 1,07:05:02,---,---,---,---,---,---,
Capturas 1,07:05:28,---,---,---,---,---,---,
Capturas 1,07:05:52,---,---,---,---,---,---,
Capturas 1,07:06:16,1133,0,---,---,---,---,
Capturas 1,07:06:40,1134,0,Off,---,---,---,
Capturas 1,07:07:04,1135,7,---,---,---,---,
Capturas 1,07:07:28,1132,9,---,---,---,---,
Capturas 1,07:07:54,---,---,---,---,---,---,
Capturas 1,07:08:18,---,---,---,---,---,---,
Capturas 1,07:08:46,---,---,---,---,---,---,
Capturas 1,07:09:12,---,---,---,---,---,---,
Capturas 1,07:09:35,1135,6,---,---,---,---,
Capturas 1,07:09:59,---,---,---,---,---,---,
Capturas 1,07:10:25,1135,5,---,---,---,---,
Capturas 1,07:10:51,---,---,---,---,---,---,
Capturas 1,07:11:16,---,---,---,---,---,---,
Capturas 1,07:11:44,---,---,---,---,---,---,
Capturas 1,07:12:09,1136,0,---,---,---,---,
Capturas 1,07:12:32,1134,1,Off,---,---,---,
Capturas 1,07:12:57,---,---,---,---,---,---,
Capturas 1,07:13:21,1136,3,---,---,---,---,
Capturas 1,07:13:47,---,---,---,---,---,---,
Capturas 1,07:14:11,1135,5,---,---,---,---,
Capturas 1,07:14:34,1135,9,Off,---,---,---,
Capturas 1,07:15:03,---,---,---,---,---,---,
Capturas 1,07:15:26,---,---,---,---,---,---,
Capturas 1,07:15:50,---,---,---,---,---,---,
Capturas 1,07:16:15,1135,9,---,---,---,---,
Capturas 1,07:16:41,---,---,---,---,---,---,
Capturas 1,07:17:08,---,---,---,---,---,---,
Capturas 1,07:17:31,---,---,---,---,---,---,
Capturas 1,07:17:53,1135,7,---,---,---,---,
Capturas 1,07:18:16,---,---,---,---,---,---,
Capturas 1,07:18:37,1136,9,Off,---,---,---,
Capturas 1,07:19:07,---,---,---,---,---,---,
Capturas 1,07:19:37,---,---,---,---,---,---,
Capturas 1,07:20:01,---,---,---,---,---,---,
Capturas 1,07:20:28,---,---,---,---,---,---,
Capturas 1,07:20:54,---,---,---,---,---,---,
Capturas 1,07:21:20,---,---,---,---,---,---,
Capturas 1,07:21:49,---,---,---,---,---,---,
Capturas 1,07:22:15,---,---,---,---,---,---,
Capturas 1,07:22:40,---,---,---,---,---,---,
Capturas 1,07:23:05,---,---,---,---,---,---,
Capturas 1,07:23:32,---,---,---,---,---,---,
Capturas 1,07:23:58,1135,8,---,---,---,---,
Capturas 1,07:24:24,---,---,---,---,---,---,
Capturas 1,07:24:49,---,---,---,---,---,---,
Capturas 1,07:25:13,1135,1,---,---,---,---,
Capturas 1,07:25:38,---,---,---,---,---,---,
Capturas 1,07:25:59,1136,0,---,---,---,---,
Capturas 1,07:26:26,---,---,---,---,---,---,
Capturas 1,07:26:52,---,---,---,---,---,---,
Capturas 1,07:27:17,---,---,---,---,---,---,
Capturas 1,07:27:41,1140,7,---,---,---,---,
Capturas 1,07:28:07,1137,5,---,---,---,---,
Capturas 1,07:28:31,1136,4,---,---,---,---,
Capturas 1,07:28:55,---,---,---,---,---,---,
Capturas 1,07:29:23,---,---,---,---,---,---,
Capturas 1,07:29:46,1136,7,---,---,---,---,
Capturas 1,07:30:14,---,---,---,---,---,---,
Capturas 1,07:30:39,---,---,---,---,---,---,
Capturas 1,07:31:05,---,---,---,---,---,---,
Capturas 1,07:31:29,---,---,---,---,---,---,
Capturas 1,07:31:52,---,---,---,---,---,---,
Capturas 1,07:32:18,---,---,---,---,---,---,
Capturas 1,07:32:44,---,---,---,---,---,---,
Capturas 1,07:33:11,---,---,---,---,---,---,
Capturas 1,07:33:35,1136,6,---,---,---,---,
Capturas 1,07:33:58,1136,8,---,---,---,---,
Capturas 1,07:34:23,---,---,---,---,---,---,
Capturas 1,07:34:46,---,---,---,---,---,---,
Capturas 1,07:35:14,---,---,---,---,---,---,
Capturas 1,07:35:36,1134,0,---,---,---,---,
Capturas 1,07:36:04,---,---,---,---,---,---,
Capturas 1,07:36:30,1135,4,---,---,---,---,
Capturas 1,07:36:52,1136,7,---,---,---,---,
Capturas 1,07:37:15,1137,9,Off,---,---,---,
Capturas 1,07:37:43,---,---,---,---,---,---,
Capturas 1,07:38:05,---,---,---,---,---,---,
Capturas 1,07:38:29,---,---,---,---,---,---,
Capturas 1,07:38:56,---,---,---,---,---,---,
Capturas 1,07:39:21,1135,2,---,---,---,---,
Capturas 1,07:39:47,---,---,---,---,---,---,
Capturas 1,07:40:15,---,---,---,---,---,---,
Capturas 1,07:40:41,1134,5,---,---,---,---,
Capturas 1,07:41:09,---,---,---,---,---,---,
Capturas 1,07:41:34,1135,2,---,---,---,---,
Capturas 1,07:41:59,---,---,---,---,---,---,
Capturas 1,07:42:22,1139,6,---,---,---,---,
Capturas 1,07:42:48,1140,4,---,---,---,---,
Capturas 1,07:43:13,---,---,---,---,---,---,
Capturas 1,07:43:37,1136,1,---,---,---,---,
Capturas 1,07:44:03,1135,7,---,---,---,---,
Capturas 1,07:44:29,---,---,---,---,---,---,
Capturas 1,07:44:53,1135,4,---,---,---,---,
Capturas 1,07:45:21,---,---,---,---,---,---,
Capturas 1,07:45:46,---,---,---,---,---,---,
Capturas 1,07:46:12,---,---,---,---,---,---,
Capturas 1,07:46:38,---,---,---,---,---,---,
Capturas 1,07:47:01,1137,6,---,---,---,---,
Capturas 1,07:47:27,---,---,---,---,---,---,
Capturas 1,07:47:52,1135,1,---,---,---,---,
Capturas 1,07:48:18,---,---,---,---,---,---,
Capturas 1,07:48:46,---,---,---,---,---,---,
Capturas 1,07:49:11,---,---,---,---,---,---,
Capturas 1,07:49:37,---,---,---,---,---,---,
Capturas 1,07:50:03,---,---,---,---,---,---,
Capturas 1,07:50:29,---,---,---,---,---,---,
Capturas 1,07:50:55,---,---,---,---,---,---,
Capturas 1,07:51:20,---,---,---,---,---,---,
Capturas 1,07:51:48,---,---,---,---,---,---,
Capturas 1,07:52:14,---,---,---,---,---,---,
Capturas 1,07:52:39,1134,5,---,---,---,---,
Capturas 1,07:53:02,1135,2,---,---,---,---,
Capturas 1,07:53:28,1134,7,---,---,---,---,
Capturas 1,07:53:53,---,---,---,---,---,---,
Capturas 1,07:54:17,---,---,---,---,---,---,
Capturas 1,07:54:42,---,---,---,---,---,---,
Capturas 1,07:55:06,1137,1,---,---,---,---,
Capturas 1,07:55:31,1134,9,---,---,---,---,
Capturas 1,07:55:54,1135,4,---,---,---,---,
Capturas 1,07:56:18,1134,5,Off,---,---,---,
Capturas 1,07:56:46,---,---,---,---,---,---,
Capturas 1,07:57:13,1135,2,---,---,---,---,
Capturas 1,07:57:39,---,---,---,---,---,---,
Capturas 1,07:58:04,---,---,---,---,---,---,
Capturas 1,07:58:29,---,---,---,---,---,---,
Capturas 1,07:58:59,---,---,---,---,---,---,
Capturas 1,07:59:28,---,---,---,---,---,---,
Capturas 1,07:59:57,---,---,---,---,---,---,
Capturas 1,08:00:27,---,---,---,---,---,---,
Capturas 1,08:00:56,---,---,---,---,---,---,
Capturas 1,08:01:26,---,---,---,---,---,---,
Capturas 1,08:01:55,---,---,---,---,---,---,
Capturas 1,08:02:24,---,---,---,---,---,---,
Capturas 1,08:02:54,---,---,---,---,---,---,
Capturas 1,08:03:23,---,---,---,---,---,---,
Capturas 1,08:03:52,---,---,---,---,---,---,
Capturas 1,08:04:22,---,---,---,---,---,---,
Capturas 1,08:04:51,---,---,---,---,---,---,
Capturas 1,08:05:21,---,---,---,---,---,---,
