Code,Tiempo,Escalas(m),Datos1(Fa),Datos2(m),Latitude,Longitude,Sonda(m),Comment
Estribor,07:07:17,---,---,---,---,---,---,
Estribor,07:07:40,993,5,33,7,---,---,
Estribor,07:08:03,993,2,34,1,---,---,
Estribor,07:08:31,---,---,---,---,---,---,
Estribor,07:08:56,994,2,34,7,---,---,
Estribor,07:09:23,993,5,---,---,---,---,
Estribor,07:09:47,995,8,---,---,---,---,
Estribor,07:10:11,993,5,33,6,---,---,
Estribor,07:10:37,993,5,34,8,---,---,
Estribor,07:11:04,---,---,---,---,---,---,
Estribor,07:11:28,993,0,32,1,---,---,
Estribor,07:11:55,993,8,32,1,---,---,
Estribor,07:12:20,993,9,---,---,---,---,
Estribor,07:12:43,992,5,32,9,---,---,
Estribor,07:13:07,994,3,33,5,---,---,
Estribor,07:13:34,---,---,---,---,---,---,
Estribor,07:13:59,993,4,34,2,---,---,
Estribor,07:14:24,---,---,---,---,---,---,
Estribor,07:14:48,---,---,---,---,---,---,
Estribor,07:15:15,---,---,---,---,---,---,
Estribor,07:15:37,993,9,---,---,---,---,
Estribor,07:16:03,---,---,---,---,---,---,
Estribor,07:16:25,993,2,34,4,---,---,
Estribor,07:16:52,993,6,34,7,---,---,
Estribor,07:17:18,993,0,---,---,---,---,
Estribor,07:17:41,994,5,32,2,---,---,
Estribor,07:18:03,994,0,---,---,---,---,
Estribor,07:18:26,994,3,32,6,---,---,
Estribor,07:18:51,994,0,32,2,---,---,
Estribor,07:19:22,---,---,---,---,---,---,
Estribor,07:19:47,993,7,31,2,---,---,
Estribor,07:20:14,---,---,---,---,---,---,
Estribor,07:20:40,993,2,32,4,---,---,
Estribor,07:21:05,994,4,---,---,---,---,
Estribor,07:21:35,---,---,---,---,---,---,
Estribor,07:22:02,---,---,---,---,---,---,
Estribor,07:22:25,993,5,---,---,---,---,
Estribor,07:22:50,996,1,---,---,---,---,
Estribor,07:23:18,995,4,---,---,---,---,
Estribor,07:23:45,---,---,---,---,---,---,
Estribor,07:24:09,994,6,30,3,---,---,
Estribor,07:24:37,---,---,---,---,---,---,
Estribor,07:25:03,---,---,---,---,---,---,
Estribor,07:25:23,993,7,32,5,---,---,
Estribor,07:25:47,996,0,32,9,---,---,
Estribor,07:26:10,996,2,32,1,---,---,
Estribor,07:26:37,996,6,---,---,---,---,
Estribor,07:27:04,996,8,---,---,---,---,
Estribor,07:27:27,994,4,32,3,---,---,
Estribor,07:27:54,994,6,---,---,---,---,
Estribor,07:28:16,993,1,34,0,---,---,
Estribor,07:28:40,996,1,32,6,---,---,
Estribor,07:29:07,994,4,33,9,---,---,
Estribor,07:29:36,---,---,---,---,---,---,
Estribor,07:29:59,---,---,---,---,---,---,
Estribor,07:30:26,994,6,---,---,---,---,
Estribor,07:30:48,994,2,35,2,---,---,
Estribor,07:31:16,994,0,---,---,---,---,
Estribor,07:31:38,993,0,32,0,---,---,
Estribor,07:32:04,992,3,34,5,---,---,
Estribor,07:32:31,---,---,---,---,---,---,
Estribor,07:32:57,---,---,---,---,---,---,
Estribor,07:33:21,994,4,33,2,---,---,
Estribor,07:33:45,994,5,33,3,---,---,
Estribor,07:34:08,994,0,---,---,---,---,
Estribor,07:34:33,992,8,---,---,---,---,
Estribor,07:34:59,---,---,---,---,---,---,
Estribor,07:35:25,994,2,---,---,---,---,
Estribor,07:35:49,---,---,---,---,---,---,
Estribor,07:36:17,---,---,---,---,---,---,
Estribor,07:36:40,992,8,32,0,---,---,
Estribor,07:37:02,994,2,33,1,---,---,
Estribor,07:37:30,---,---,---,---,---,---,
Estribor,07:37:53,994,1,---,---,---,---,
Estribor,07:38:16,994,5,---,---,---,---,
Estribor,07:38:39,993,5,32,1,---,---,
Estribor,07:39:09,---,---,---,---,---,---,
Estribor,07:39:34,---,---,---,---,---,---,
Estribor,07:40:01,---,---,---,---,---,---,
Estribor,07:40:26,993,1,33,7,---,---,
Estribor,07:40:54,---,---,---,---,---,---,
Estribor,07:41:23,---,---,---,---,---,---,
Estribor,07:41:47,993,9,---,---,---,---,
Estribor,07:42:10,1002,9,---,---,---,---,
Estribor,07:42:36,---,---,---,---,---,---,
Estribor,07:42:59,994,5,33,2,---,---,
Estribor,07:43:23,994,3,31,0,---,---,
Estribor,07:43:51,---,---,---,---,---,---,
Estribor,07:44:13,993,6,33,0,---,---,
Estribor,07:44:41,995,0,33,6,---,---,
Estribor,07:45:06,---,---,---,---,---,---,
Estribor,07:45:32,993,2,---,---,---,---,
Estribor,07:45:58,993,5,32,1,---,---,
Estribor,07:46:23,992,8,---,---,---,---,
Estribor,07:46:48,993,6,---,---,---,---,
Estribor,07:47:14,---,---,---,---,---,---,
Estribor,07:47:37,993,7,32,0,---,---,
Estribor,07:48:01,993,8,31,7,---,---,
Estribor,07:48:31,---,---,---,---,---,---,
Estribor,07:48:58,994,3,---,---,---,---,
Estribor,07:49:24,---,---,---,---,---,---,
Estribor,07:49:48,994,5,---,---,---,---,
Estribor,07:50:13,994,6,31,0,---,---,
