Code,Tiempo,Escalas(m),Datos1(m),Datos2(m),Latitude,Longitude,Sonda(m),Comment
Cabecera altura,04:27:50,---,---,---,---,---,---,
Cabecera altura,04:28:15,---,---,---,---,---,---,
Cabecera altura,04:28:39,---,---,---,---,---,---,
Cabecera altura,04:29:04,---,---,---,---,---,---,
Cabecera altura,04:29:29,---,---,---,---,---,---,
Cabecera altura,04:29:54,---,---,---,---,---,---,
Cabecera altura,04:30:19,---,---,---,---,---,---,
Cabecera altura,04:30:44,---,---,---,---,---,---,
Cabecera altura,04:31:09,---,---,---,---,---,---,
Cabecera altura,04:31:34,---,---,---,---,---,---,
Cabecera altura,04:31:59,---,---,---,---,---,---,
Cabecera altura,04:32:24,---,---,---,---,---,---,
Cabecera altura,04:32:46,427,1,---,---,---,---,
Cabecera altura,04:33:12,---,---,---,---,---,---,
Cabecera altura,04:33:37,---,---,---,---,---,---,
Cabecera altura,04:34:03,---,---,---,---,---,---,
Cabecera altura,04:34:28,---,---,---,---,---,---,
Cabecera altura,04:34:55,---,---,---,---,---,---,
Cabecera altura,04:35:22,---,---,---,---,---,---,
Cabecera altura,04:35:49,---,---,---,---,---,---,
Cabecera altura,04:36:17,---,---,---,---,---,---,
Cabecera altura,04:36:42,---,---,---,---,---,---,
Cabecera altura,04:37:10,---,---,---,---,---,---,
Cabecera altura,04:37:35,---,---,---,---,---,---,
Cabecera altura,04:38:00,---,---,---,---,---,---,
Cabecera altura,04:38:25,---,---,---,---,---,---,
Cabecera altura,04:38:50,---,---,---,---,---,---,
Cabecera altura,04:39:15,---,---,---,---,---,---,
Cabecera altura,04:39:40,---,---,---,---,---,---,
Cabecera altura,04:40:09,---,---,---,---,---,---,
Cabecera altura,04:40:34,---,---,---,---,---,---,
Cabecera altura,04:40:59,---,---,---,---,---,---,
Cabecera altura,04:41:28,---,---,---,---,---,---,
Cabecera altura,04:41:53,---,---,---,---,---,---,
Cabecera altura,04:42:18,---,---,---,---,---,---,
Cabecera altura,04:42:43,---,---,---,---,---,---,
Cabecera altura,04:43:09,---,---,---,---,---,---,
Cabecera altura,04:43:34,---,---,---,---,---,---,
Cabecera altura,04:44:00,---,---,---,---,---,---,
Cabecera altura,04:44:27,---,---,---,---,---,---,
Cabecera altura,04:44:53,---,---,---,---,---,---,
Cabecera altura,04:45:19,---,---,---,---,---,---,
Cabecera altura,04:45:45,---,---,---,---,---,---,
Cabecera altura,04:46:12,---,---,---,---,---,---,
Cabecera altura,04:46:38,---,---,---,---,---,---,
Cabecera altura,04:47:03,---,---,---,---,---,---,
Cabecera altura,04:47:28,---,---,---,---,---,---,
Cabecera altura,04:47:53,---,---,---,---,---,---,
Cabecera altura,04:48:18,---,---,---,---,---,---,
Cabecera altura,04:48:43,---,---,---,---,---,---,
Cabecera altura,04:49:09,---,---,---,---,---,---,
Cabecera altura,04:49:34,---,---,---,---,---,---,
Cabecera altura,04:49:59,---,---,---,---,---,---,
Cabecera altura,04:50:22,1859,7,26,0,---,---,
Cabecera altura,04:50:48,---,---,---,---,---,---,
Cabecera altura,04:51:13,---,---,---,---,---,---,
Cabecera altura,04:51:38,---,---,---,---,---,---,
Cabecera altura,04:52:03,---,---,---,---,---,---,
Cabecera altura,04:52:29,---,---,---,---,---,---,
Cabecera altura,04:52:54,---,---,---,---,---,---,
Cabecera altura,04:53:19,---,---,---,---,---,---,
Cabecera altura,04:53:44,---,---,---,---,---,---,
Cabecera altura,04:54:10,---,---,---,---,---,---,
Cabecera altura,04:54:35,---,---,---,---,---,---,
Cabecera altura,04:55:00,---,---,---,---,---,---,
Cabecera altura,04:55:26,---,---,---,---,---,---,
Cabecera altura,04:55:53,---,---,---,---,---,---,
Cabecera altura,04:56:21,---,---,---,---,---,---,
Cabecera altura,04:56:46,---,---,---,---,---,---,
