Code,Tiempo,Escalas(m),Datos1(),Datos2(m),Latitude,Longitude,Sonda(m),Comment
Capturas 1,05:58:02,893,2,---,---,---,---,
Capturas 1,05:58:25,893,3,Off,---,---,---,
Capturas 1,05:58:54,893,7,---,---,---,---,
Capturas 1,05:59:20,---,---,---,---,---,---,
Capturas 1,05:59:43,893,1,Off,---,---,---,
Capturas 1,06:00:09,893,1,Off,---,---,---,
Capturas 1,06:00:34,893,5,Off,---,---,---,
Capturas 1,06:00:59,893,7,Off,---,---,---,
Capturas 1,06:01:24,895,8,Off,---,---,---,
Capturas 1,06:01:51,893,5,Off,---,---,---,
Capturas 1,06:02:21,---,---,---,---,---,---,
Capturas 1,06:02:50,---,---,---,---,---,---,
Capturas 1,06:03:17,---,---,---,---,---,---,
Capturas 1,06:03:40,893,3,Off,---,---,---,
Capturas 1,06:04:07,896,1,---,---,---,---,
Capturas 1,06:04:32,893,1,Off,---,---,---,
Capturas 1,06:04:58,893,6,---,---,---,---,
Capturas 1,06:05:22,893,2,Off,---,---,---,
Capturas 1,06:05:51,---,---,---,---,---,---,
Capturas 1,06:06:18,---,---,---,---,---,---,
Capturas 1,06:06:45,894,1,---,---,---,---,
Capturas 1,06:07:12,---,---,---,---,---,---,
Capturas 1,06:07:38,---,---,---,---,---,---,
Capturas 1,06:08:05,---,---,---,---,---,---,
Capturas 1,06:08:32,894,0,---,---,---,---,
Capturas 1,06:09:00,---,---,---,---,---,---,
Capturas 1,06:09:27,---,---,---,---,---,---,
Capturas 1,06:09:51,893,3,---,---,---,---,
Capturas 1,06:10:21,---,---,---,---,---,---,
Capturas 1,06:10:48,---,---,---,---,---,---,
Capturas 1,06:11:16,---,---,---,---,---,---,
Capturas 1,06:11:41,897,2,Off,---,---,---,
Capturas 1,06:12:07,895,7,Off,---,---,---,
Capturas 1,06:12:34,---,---,---,---,---,---,
Capturas 1,06:13:03,---,---,---,---,---,---,
Capturas 1,06:13:27,893,1,Off,---,---,---,
Capturas 1,06:13:53,893,2,---,---,---,---,
Capturas 1,06:14:18,894,8,Off,---,---,---,
Capturas 1,06:14:43,893,1,---,---,---,---,
Capturas 1,06:15:09,893,4,Off,---,---,---,
Capturas 1,06:15:38,899,2,---,---,---,---,
Capturas 1,06:16:05,---,---,---,---,---,---,
Capturas 1,06:16:35,---,---,---,---,---,---,
Capturas 1,06:17:04,---,---,---,---,---,---,
Capturas 1,06:17:32,---,---,---,---,---,---,
Capturas 1,06:17:57,---,---,---,---,---,---,
Capturas 1,06:18:19,893,7,Off,---,---,---,
Capturas 1,06:18:43,892,4,Off,---,---,---,
Capturas 1,06:19:14,---,---,---,---,---,---,
Capturas 1,06:19:41,893,0,---,---,---,---,
Capturas 1,06:20:06,893,8,---,---,---,---,
Capturas 1,06:20:30,893,6,Off,---,---,---,
Capturas 1,06:20:59,894,9,---,---,---,---,
Capturas 1,06:21:24,895,4,---,---,---,---,
Capturas 1,06:21:47,893,4,Off,---,---,---,
Capturas 1,06:22:17,---,---,---,---,---,---,
Capturas 1,06:22:46,---,---,---,---,---,---,
Capturas 1,06:23:16,---,---,---,---,---,---,
Capturas 1,06:23:44,---,---,---,---,---,---,
Capturas 1,06:24:13,---,---,---,---,---,---,
Capturas 1,06:24:40,---,---,---,---,---,---,
Capturas 1,06:25:06,893,7,Off,---,---,---,
Capturas 1,06:25:37,---,---,---,---,---,---,
Capturas 1,06:26:03,893,3,Off,---,---,---,
Capturas 1,06:26:33,---,---,---,---,---,---,
Capturas 1,06:26:58,893,8,Off,---,---,---,
Capturas 1,06:27:24,893,1,Off,---,---,---,
Capturas 1,06:27:51,893,1,Off,---,---,---,
Capturas 1,06:28:19,894,1,Off,---,---,---,
Capturas 1,06:28:48,896,8,---,---,---,---,
Capturas 1,06:29:15,---,---,---,---,---,---,
Capturas 1,06:29:41,893,1,---,---,---,---,
Capturas 1,06:30:08,895,7,---,---,---,---,
Capturas 1,06:30:38,---,---,---,---,---,---,
Capturas 1,06:31:07,---,---,---,---,---,---,
Capturas 1,06:31:34,893,7,---,---,---,---,
Capturas 1,06:31:58,892,7,Off,---,---,---,
Capturas 1,06:32:25,894,0,---,---,---,---,
Capturas 1,06:32:53,---,---,---,---,---,---,
Capturas 1,06:33:18,893,2,Off,---,---,---,
Capturas 1,06:33:44,893,2,---,---,---,---,
Capturas 1,06:34:10,892,9,---,---,---,---,
Capturas 1,06:34:35,892,3,Off,---,---,---,
Capturas 1,06:35:04,---,---,---,---,---,---,
Capturas 1,06:35:34,---,---,---,---,---,---,
Capturas 1,06:35:59,---,---,---,---,---,---,
Capturas 1,06:36:27,---,---,---,---,---,---,
Capturas 1,06:36:51,893,7,Off,---,---,---,
Capturas 1,06:37:22,---,---,---,---,---,---,
Capturas 1,06:37:50,---,---,---,---,---,---,
Capturas 1,06:38:16,893,0,Off,---,---,---,
Capturas 1,06:38:48,---,---,---,---,---,---,
Capturas 1,06:39:17,---,---,---,---,---,---,
Capturas 1,06:39:46,---,---,---,---,---,---,
Capturas 1,06:40:10,895,2,---,---,---,---,
Capturas 1,06:40:38,---,---,---,---,---,---,
Capturas 1,06:41:06,---,---,---,---,---,---,
Capturas 1,06:41:28,893,0,Off,---,---,---,
Capturas 1,06:42:00,---,---,---,---,---,---,
Capturas 1,06:42:23,894,6,Off,---,---,---,
Capturas 1,06:42:49,894,7,Off,---,---,---,
Capturas 1,06:43:19,---,---,---,---,---,---,
Capturas 1,06:43:43,893,0,Off,---,---,---,
Capturas 1,06:44:07,893,9,Off,---,---,---,
Capturas 1,06:44:39,---,---,---,---,---,---,
Capturas 1,06:45:06,893,8,---,---,---,---,
Capturas 1,06:45:34,---,---,---,---,---,---,
Capturas 1,06:45:59,893,6,---,---,---,---,
Capturas 1,06:46:22,893,4,Off,---,---,---,
Capturas 1,06:46:52,---,---,---,---,---,---,
Capturas 1,06:47:19,896,2,---,---,---,---,
Capturas 1,06:47:48,---,---,---,---,---,---,
Capturas 1,06:48:14,894,5,Off,---,---,---,
Capturas 1,06:48:39,---,---,---,---,---,---,
Capturas 1,06:49:08,---,---,---,---,---,---,
Capturas 1,06:49:37,---,---,---,---,---,---,
Capturas 1,06:50:05,---,---,---,---,---,---,
Capturas 1,06:50:33,---,---,---,---,---,---,
Capturas 1,06:50:57,684,8,Off,---,---,---,
Capturas 1,06:51:22,657,5,Off,---,---,---,
Capturas 1,06:51:47,627,9,Off,---,---,---,
Capturas 1,06:52:12,597,7,Off,---,---,---,
Capturas 1,06:52:38,566,7,Off,---,---,---,
Capturas 1,06:53:03,535,4,Off,---,---,---,
Capturas 1,06:53:28,503,9,Off,---,---,---,
Capturas 1,06:53:53,473,0,Off,---,---,---,
Capturas 1,06:54:18,439,2,Off,---,---,---,
Capturas 1,06:54:45,405,2,---,---,---,---,
Capturas 1,06:55:08,371,4,Off,---,---,---,
Capturas 1,06:55:33,335,7,Off,---,---,---,
Capturas 1,06:56:00,296,2,Off,---,---,---,
Capturas 1,06:56:25,262,2,Off,---,---,---,
Capturas 1,06:56:51,234,7,Off,---,---,---,
Capturas 1,06:57:16,214,6,Off,---,---,---,
Capturas 1,06:57:41,198,7,Off,---,---,---,
Capturas 1,06:58:06,179,8,Off,---,---,---,
Capturas 1,06:58:31,157,4,Off,---,---,---,
Capturas 1,06:58:56,142,9,Off,---,---,---,
Capturas 1,06:59:24,144,1,Off,---,---,---,
Capturas 1,06:59:52,143,7,Off,---,---,---,
Capturas 1,07:00:21,126,6,---,---,---,---,
Capturas 1,07:00:47,107,8,Off,---,---,---,
Capturas 1,07:01:15,108,6,Off,---,---,---,
Capturas 1,07:01:43,89,1,Off,---,---,---,
Capturas 1,07:02:11,64,2,Off,---,---,---,
Capturas 1,07:02:39,68,6,Off,---,---,---,
Capturas 1,07:03:07,65,0,Off,---,---,---,
Capturas 1,07:03:35,60,6,Off,---,---,---,
Capturas 1,07:04:02,42,4,Off,---,---,---,
Capturas 1,07:04:35,---,---,---,---,---,---,
Capturas 1,07:05:04,---,---,---,---,---,---,
Capturas 1,07:05:34,---,---,---,---,---,---,
Capturas 1,07:06:03,---,---,---,---,---,---,
Capturas 1,07:06:33,---,---,---,---,---,---,
Capturas 1,07:07:02,---,---,---,---,---,---,
Capturas 1,07:07:31,---,---,---,---,---,---,
Capturas 1,07:08:01,---,---,---,---,---,---,
Capturas 1,07:08:30,---,---,---,---,---,---,
Capturas 1,07:08:59,---,---,---,---,---,---,
Capturas 1,07:09:29,---,---,---,---,---,---,
Capturas 1,07:09:58,---,---,---,---,---,---,
Capturas 1,07:10:28,---,---,---,---,---,---,
Capturas 1,07:10:57,---,---,---,---,---,---,
Capturas 1,07:11:26,---,---,---,---,---,---,
Capturas 1,07:11:56,---,---,---,---,---,---,
Capturas 1,07:12:25,---,---,---,---,---,---,
Capturas 1,07:12:54,---,---,---,---,---,---,
Capturas 1,07:13:24,---,---,---,---,---,---,
Capturas 1,07:13:53,---,---,---,---,---,---,
Capturas 1,07:14:23,---,---,---,---,---,---,
Capturas 1,07:14:52,---,---,---,---,---,---,
Capturas 1,07:15:21,---,---,---,---,---,---,
Capturas 1,07:15:51,---,---,---,---,---,---,
Capturas 1,07:16:20,---,---,---,---,---,---,
Capturas 1,07:16:50,---,---,---,---,---,---,
Capturas 1,07:17:19,---,---,---,---,---,---,
Capturas 1,07:17:44,44,1,Off,---,---,---,
Capturas 1,07:18:12,60,1,Off,---,---,---,
Capturas 1,07:18:38,65,4,Off,---,---,---,
Capturas 1,07:19:06,66,0,Off,---,---,---,
Capturas 1,07:19:34,65,7,Off,---,---,---,
Capturas 1,07:20:07,---,---,---,---,---,---,
Capturas 1,07:20:31,123,7,Off,---,---,---,
Capturas 1,07:20:59,151,6,Off,---,---,---,
Capturas 1,07:21:32,---,---,---,---,---,---,
Capturas 1,07:21:58,---,---,---,---,---,---,
Capturas 1,07:22:25,---,---,---,---,---,---,
Capturas 1,07:22:51,---,---,---,---,---,---,
Capturas 1,07:23:18,---,---,---,---,---,---,
Capturas 1,07:23:47,---,---,---,---,---,---,
Capturas 1,07:24:12,---,---,---,---,---,---,
Capturas 1,07:24:39,---,---,---,---,---,---,
Capturas 1,07:25:05,---,---,---,---,---,---,
Capturas 1,07:25:35,---,---,---,---,---,---,
Capturas 1,07:26:04,---,---,---,---,---,---,
Capturas 1,07:26:32,---,---,---,---,---,---,
Capturas 1,07:26:59,812,4,---,---,---,---,
Capturas 1,07:27:25,---,---,---,---,---,---,
Capturas 1,07:27:51,---,---,---,---,---,---,
Capturas 1,07:28:18,---,---,---,---,---,---,
Capturas 1,07:28:41,810,9,Off,---,---,---,
Capturas 1,07:29:06,809,4,Off,---,---,---,
Capturas 1,07:29:33,810,4,Off,---,---,---,
Capturas 1,07:29:59,810,7,Off,---,---,---,
Capturas 1,07:30:23,811,0,Off,---,---,---,
Capturas 1,07:30:48,812,2,Off,---,---,---,
Capturas 1,07:31:14,812,0,Off,---,---,---,
Capturas 1,07:31:43,---,---,---,---,---,---,
Capturas 1,07:32:06,811,1,Off,---,---,---,
Capturas 1,07:32:35,---,---,---,---,---,---,
Capturas 1,07:32:59,810,9,---,---,---,---,
Capturas 1,07:33:22,811,3,Off,---,---,---,
Capturas 1,07:33:49,812,0,Off,---,---,---,
Capturas 1,07:34:17,---,---,---,---,---,---,
Capturas 1,07:34:45,---,---,---,---,---,---,
Capturas 1,07:35:07,---,---,---,---,---,---,
Capturas 1,07:35:36,---,---,---,---,---,---,
Capturas 1,07:35:59,812,2,---,---,---,---,
Capturas 1,07:36:25,---,---,---,---,---,---,
Capturas 1,07:36:47,812,3,Off,---,---,---,
Capturas 1,07:37:12,811,9,Off,---,---,---,
Capturas 1,07:37:39,---,---,---,---,---,---,
Capturas 1,07:38:05,---,---,---,---,---,---,
Capturas 1,07:38:28,812,3,Off,---,---,---,
Capturas 1,07:38:53,814,9,Off,---,---,---,
Capturas 1,07:39:23,---,---,---,---,---,---,
Capturas 1,07:39:46,812,9,Off,---,---,---,
Capturas 1,07:40:14,---,---,---,---,---,---,
Capturas 1,07:40:37,814,5,Off,---,---,---,
Capturas 1,07:41:01,812,9,Off,---,---,---,
Capturas 1,07:41:28,812,9,Off,---,---,---,
Capturas 1,07:41:53,812,9,Off,---,---,---,
Capturas 1,07:42:17,815,4,Off,---,---,---,
Capturas 1,07:42:42,813,1,Off,---,---,---,
Capturas 1,07:43:08,813,0,Off,---,---,---,
Capturas 1,07:43:35,813,3,Off,---,---,---,
Capturas 1,07:44:00,813,2,Off,---,---,---,
Capturas 1,07:44:25,813,1,Off,---,---,---,
Capturas 1,07:44:52,812,8,---,---,---,---,
Capturas 1,07:45:15,813,4,Off,---,---,---,
Capturas 1,07:45:44,---,---,---,---,---,---,
Capturas 1,07:46:08,811,4,Off,---,---,---,
Capturas 1,07:46:33,811,3,Off,---,---,---,
Capturas 1,07:47:00,810,7,Off,---,---,---,
Capturas 1,07:47:24,810,4,Off,---,---,---,
Capturas 1,07:47:49,813,2,Off,---,---,---,
Capturas 1,07:48:14,810,9,Off,---,---,---,
Capturas 1,07:48:38,811,0,Off,---,---,---,
Capturas 1,07:49:03,810,9,Off,---,---,---,
Capturas 1,07:49:29,810,8,Off,---,---,---,
Capturas 1,07:49:54,811,5,Off,---,---,---,
Capturas 1,07:50:19,810,6,Off,---,---,---,
Capturas 1,07:50:45,811,7,Off,---,---,---,
Capturas 1,07:51:09,810,7,Off,---,---,---,
Capturas 1,07:51:35,813,4,Off,---,---,---,
Capturas 1,07:52:00,813,6,Off,---,---,---,
Capturas 1,07:52:25,813,7,Off,---,---,---,
Capturas 1,07:52:50,813,8,Off,---,---,---,
Capturas 1,07:53:15,813,6,Off,---,---,---,
Capturas 1,07:53:40,813,9,Off,---,---,---,
Capturas 1,07:54:05,813,6,Off,---,---,---,
Capturas 1,07:54:35,---,---,---,---,---,---,
Capturas 1,07:54:59,814,4,---,---,---,---,
Capturas 1,07:55:23,814,3,Off,---,---,---,
Capturas 1,07:55:48,813,6,Off,---,---,---,
Capturas 1,07:56:14,814,1,---,---,---,---,
Capturas 1,07:56:41,---,---,---,---,---,---,
Capturas 1,07:57:06,---,---,---,---,---,---,
Capturas 1,07:57:29,813,6,---,---,---,---,
Capturas 1,07:57:54,---,---,---,---,---,---,
Capturas 1,07:58:16,813,2,Off,---,---,---,
Capturas 1,07:58:45,---,---,---,---,---,---,
Capturas 1,07:59:07,816,0,---,---,---,---,
Capturas 1,07:59:31,816,6,---,---,---,---,
Capturas 1,07:59:54,813,6,---,---,---,---,
Capturas 1,08:00:19,---,---,---,---,---,---,
Capturas 1,08:00:46,---,---,---,---,---,---,
Capturas 1,08:01:13,---,---,---,---,---,---,
Capturas 1,08:01:34,819,2,Off,---,---,---,
Capturas 1,08:02:01,---,---,---,---,---,---,
Capturas 1,08:02:26,---,---,---,---,---,---,
Capturas 1,08:02:52,---,---,---,---,---,---,
Capturas 1,08:03:13,813,4,Off,---,---,---,
Capturas 1,08:03:41,---,---,---,---,---,---,
Capturas 1,08:04:06,---,---,---,---,---,---,
Capturas 1,08:04:29,817,5,---,---,---,---,
