Tiempo,Escalas(m)Babor,Datos1(°)Babor,Escalas(m)Starboard Door Heel,Datos1(°)Starboard Door Heel,Escalas(m)Estribor,Datos1(Fa)Estribor,Escalas(m)Capturas 1,Datos1()Capturas 1
2019-11-27 07:36:00,842.6199999999999,48.568571428571424,841.2,46.675,842.1666666666669,31.580000000000002,979.2999999999998,0.0
2019-11-27 07:40:00,841.7714285714285,49.873877551020406,840.2714285714285,44.4,842.2428571428571,28.985714285714284,979.188888888889,0.0
2019-11-27 07:44:00,841.8833333333333,49.315,841.3,42.721428571428575,842.3375,27.0375,982.0374999999999,0.0
2019-11-27 07:48:00,842.05,49.828125,842.8444444444444,47.022222222222226,842.8799999999999,29.055,981.3090909090911,0.0
2019-11-27 07:52:00,842.3555555555554,49.39166666666667,841.4250000000001,44.73749999999999,843.1875,30.481250000000003,981.05,0.0
2019-11-27 07:56:00,842.4200000000001,49.35,842.7750000000001,43.8725,843.1,28.980000000000008,981.2199999999999,0.0
2019-11-27 08:00:00,849.5857142857143,48.16428571428571,860.825,47.230000000000004,854.3,29.3,996.6,0.0
2019-11-27 08:04:00,878.8166666666666,51.55357142857142,878.4857142857144,47.464285714285715,879.3625,31.687500000000004,1017.9000000000001,0.0
2019-11-27 08:08:00,878.8333333333334,50.66984126984127,878.4090909090908,47.372727272727275,879.72,30.325,1017.5888888888888,0.0
2019-11-27 08:12:00,878.8,48.17777777777778,877.9625,44.1,879.7454545454547,30.220454545454547,1017.0699999999999,0.0
2019-11-27 08:16:00,879.2363636363636,48.945454545454545,878.1375000000002,41.325,879.3571428571429,28.673809523809524,1018.0000000000001,0.0
2019-11-27 08:20:00,879.325,50.475,878.3199999999999,41.06,879.342857142857,26.854761904761904,1018.325,0.0
2019-11-27 08:24:00,879.1888888888889,51.50000000000001,878.9499999999999,42.31666666666666,879.9333333333334,25.133333333333336,1022.5799999999999,0.24000000000000005
2019-11-27 08:28:00,879.2249999999999,51.60000000000001,878.1142857142858,42.142857142857146,880.4800000000001,26.130000000000003,1019.2428571428571,0.6857142857142857
2019-11-27 08:32:00,879.25,51.6,878.3000000000001,44.166666666666664,879.8666666666667,26.63333333333333,1021.5,0.0
