Tiempo,Escalas(m)Babor,Datos1(°)Babor,Datos2(m)Babor,Escalas(m)Starboard Door Heel,Datos1(°)Starboard Door Heel,Datos2(m)Starboard Door Heel,Escalas(m)Estribor,Datos1(Fa)Estribor,Datos2(m)Estribor,Escalas(m)Capturas 1,Datos1()Capturas 1,Datos2(m)Capturas 1
2019-11-06 08:21:00,16.62264150943396,3.933962264150943,39.52970297029702,423.125,2.7045454545454546,48.184782608695656,885.4795918367347,2.183673469387755,5.403846153846154,40.0,8.5,0.0
2019-11-06 08:22:00,16.69811320754717,4.047169811320755,39.39108910891089,396.25,2.5909090909090904,48.2391304347826,1005.6836734693877,2.346938775510204,5.326923076923077,29.5,2.5,0.0
2019-11-06 08:23:00,16.77358490566038,4.160377358490566,39.25247524752476,369.375,2.4772727272727275,48.29347826086956,1125.887755102041,2.510204081632653,5.25,23.5,6.0,0.0
2019-11-06 08:24:00,16.849056603773583,4.273584905660377,39.11386138613861,347.875,2.3863636363636367,48.33695652173913,1276.142857142857,2.714285714285714,5.153846153846154,13.5,4.5,0.0
2019-11-06 08:25:00,16.92452830188679,4.386792452830189,38.975247524752476,326.375,2.2954545454545454,48.380434782608695,1426.3979591836733,2.9183673469387754,5.0576923076923075,296.8846153846154,5.115384615384615,0.0
2019-11-06 08:26:00,17.0,4.5,38.83663366336634,304.875,2.2045454545454546,48.42391304347826,1546.6020408163263,3.0816326530612246,4.980769230769231,676.7307692307693,5.269230769230769,0.0
2019-11-06 08:27:00,17.07547169811321,4.613207547169812,38.698019801980195,283.375,2.1136363636363633,48.46739130434783,1666.8061224489797,3.2448979591836733,4.903846153846154,1056.576923076923,5.423076923076923,0.0
2019-11-06 08:28:00,17.150943396226417,4.726415094339623,38.55940594059406,261.875,2.0227272727272725,48.51086956521739,1787.0102040816328,3.408163265306122,4.826923076923077,1436.4230769230771,5.576923076923077,0.0
2019-11-06 08:29:00,17.22641509433962,4.839622641509434,38.42079207920792,240.375,1.9318181818181819,48.55434782608695,1907.2142857142858,3.571428571428571,4.75,1816.269230769231,5.730769230769231,0.0
2019-11-06 08:30:00,17.32075471698113,4.981132075471698,38.24752475247524,218.875,1.8409090909090908,48.59782608695652,2027.4183673469386,3.7346938775510203,4.673076923076923,2196.1153846153848,5.884615384615385,0.0
2019-11-06 08:31:00,17.41509433962264,5.122641509433962,38.07425742574257,197.375,1.75,48.641304347826086,2147.622448979592,3.897959183673469,4.596153846153846,2387.423076923077,5.923076923076923,0.0
2019-11-06 08:32:00,17.49056603773585,5.235849056603773,37.93564356435644,175.875,1.6590909090909092,48.684782608695656,2267.826530612245,4.061224489795919,4.519230769230769,2013.1153846153845,5.615384615384615,0.0
2019-11-06 08:33:00,17.566037735849058,5.349056603773585,37.79702970297029,154.375,1.5681818181818181,48.72826086956522,2388.030612244898,4.224489795918367,4.4423076923076925,1638.8076923076922,5.307692307692308,0.0
2019-11-06 08:34:00,17.641509433962263,5.462264150943397,37.65841584158416,132.875,1.4772727272727273,48.77173913043478,2508.234693877551,4.387755102040816,4.365384615384615,1264.5,5.0,0.0
2019-11-06 08:35:00,17.71698113207547,5.5754716981132075,37.519801980198025,111.375,1.3863636363636362,48.815217391304344,2628.4387755102043,4.551020408163264,4.288461538461538,796.6153846153844,4.615384615384615,0.0
2019-11-06 08:36:00,17.79245283018868,5.688679245283019,37.38118811881188,89.875,1.2954545454545454,48.858695652173914,2748.642857142857,4.7142857142857135,4.211538461538462,328.7307692307693,4.23076923076923,0.0
2019-11-06 08:37:00,17.867924528301884,5.80188679245283,37.242574257425744,68.375,1.2045454545454546,48.90217391304348,2868.8469387755104,4.877551020408163,4.134615384615384,75.0,2.0,0.0
