Tiempo,Escalas(m)Babor,Datos1(°)Babor,Escalas(m)Cabecera altura,Datos1(m)Cabecera altura,Escalas(m)Estribor,Datos1(°)Estribor,Escalas(m)Alineamiento de Estribor,Datos1(m)Alineamiento de Estribor,Escalas(m)Abertura,Datos1(m)Abertura,Escalas(m)Starboard Temperature,Datos1(°C)Starboard Temperature
2019-11-27 09:00:00,1317.5607142857143,21.73616071428571,1290.8061728395062,30.674074074074074,1211.60625,25.9734375,1370.6946666666668,1.0106666666666668,1329.4053097345131,122.84402654867256,1359.701793721973,14.668161434977577
2019-11-27 09:04:00,1314.3214285714284,21.922321428571426,1294.535390946502,30.658024691358026,1207.4125,26.121875,1367.9244444444444,1.017777777777778,1326.30796460177,122.7202064896755,1356.8053811659192,14.704484304932734
2019-11-27 09:08:00,1311.0821428571428,22.108482142857138,1298.264609053498,30.641975308641975,1203.21875,26.2703125,1365.1542222222222,1.024888888888889,1323.2106194690266,122.59638643067845,1353.9089686098655,14.740807174887891
2019-11-27 09:12:00,1307.8428571428572,22.294642857142854,1301.9938271604938,30.625925925925927,1199.025,26.41875,1362.384,1.032,1320.1132743362832,122.47256637168141,1351.0125560538117,14.777130044843048
2019-11-27 09:16:00,1304.6035714285713,22.480803571428567,1305.7230452674896,30.60987654320988,1194.8312500000002,26.5671875,1359.6137777777778,1.039111111111111,1317.0159292035398,122.34874631268436,1348.1161434977578,14.813452914798205
2019-11-27 09:20:00,1301.3642857142856,22.666964285714283,1309.4522633744855,30.593827160493827,1190.6375,26.715625,1356.8435555555557,1.0462222222222222,1313.9185840707964,122.2249262536873,1345.219730941704,14.849775784753362
2019-11-27 09:24:00,1298.125,22.853124999999995,1313.1814814814816,30.57777777777778,1186.44375,26.8640625,1354.0733333333333,1.0533333333333335,1310.821238938053,122.10110619469026,1342.32331838565,14.886098654708519
2019-11-27 09:28:00,1294.8857142857141,23.03928571428571,1316.9106995884774,30.561728395061728,1182.25,27.0125,1351.303111111111,1.0604444444444445,1307.7238938053097,121.9772861356932,1339.4269058295963,14.922421524663676
2019-11-27 09:32:00,1291.6464285714285,23.225446428571423,1320.6399176954733,30.54567901234568,1178.05625,27.1609375,1348.532888888889,1.0675555555555556,1304.6265486725663,121.85346607669615,1336.5304932735426,14.958744394618833
2019-11-27 09:36:00,1288.4071428571428,23.41160714285714,1324.3691358024691,30.529629629629632,1173.8625000000002,27.309375,1345.7626666666667,1.0746666666666667,1301.529203539823,121.72964601769911,1333.6340807174888,14.99506726457399
2019-11-27 09:40:00,1285.167857142857,23.597767857142852,1328.098353909465,30.51358024691358,1169.66875,27.4578125,1342.9924444444446,1.0817777777777777,1298.4318584070797,121.60582595870206,1330.737668161435,15.031390134529147
2019-11-27 09:44:00,1281.9285714285713,23.783928571428568,1331.8275720164609,30.497530864197532,1165.475,27.60625,1340.2222222222222,1.088888888888889,1295.3345132743361,121.482005899705,1327.841255605381,15.067713004484304
2019-11-27 09:48:00,1278.6892857142857,23.97008928571428,1335.5567901234567,30.48148148148148,1161.28125,27.7546875,1337.452,1.096,1292.237168141593,121.35818584070795,1324.9448430493273,15.104035874439461
2019-11-27 09:52:00,1275.4499999999998,24.156249999999996,1339.2860082304526,30.465432098765433,1157.0875,27.903125,1334.6817777777778,1.1031111111111112,1289.1398230088496,121.2343657817109,1322.0484304932734,15.140358744394618
2019-11-27 09:56:00,1272.2107142857142,24.34241071428571,1343.0152263374484,30.44938271604938,1152.8937500000002,28.0515625,1331.9115555555557,1.1102222222222222,1286.0424778761062,121.11054572271385,1319.1520179372196,15.176681614349775
2019-11-27 10:00:00,1268.9714285714285,24.528571428571425,1346.7444444444445,30.433333333333334,1148.7,28.2,1329.1413333333335,1.1173333333333333,1282.9451327433628,120.98672566371681,1316.2556053811659,15.213004484304932
2019-11-27 10:04:00,1265.732142857143,24.71473214285714,1350.4736625514404,30.417283950617286,1144.50625,28.3484375,1326.371111111111,1.1244444444444446,1279.8477876106194,120.86290560471976,1313.3591928251121,15.249327354260089
2019-11-27 10:08:00,1262.4928571428572,24.900892857142853,1354.2028806584362,30.401234567901234,1140.3125,28.496875,1323.600888888889,1.1315555555555556,1276.750442477876,120.7390855457227,1310.4627802690584,15.285650224215246
2019-11-27 10:12:00,1259.2535714285714,25.08705357142857,1357.932098765432,30.385185185185186,1136.11875,28.6453125,1320.8306666666667,1.1386666666666667,1273.6530973451327,120.61526548672565,1307.5663677130044,15.321973094170403
2019-11-27 10:16:00,1256.0142857142857,25.273214285714282,1361.661316872428,30.369135802469135,1131.9250000000002,28.79375,1318.0604444444446,1.1457777777777778,1270.5557522123893,120.4914454277286,1304.6699551569507,15.35829596412556
2019-11-27 10:20:00,1252.775,25.459374999999998,1365.3905349794238,30.353086419753087,1127.73125,28.9421875,1315.2902222222224,1.1528888888888889,1267.458407079646,120.36762536873155,1301.7735426008967,15.394618834080717
2019-11-27 10:24:00,1249.5357142857142,25.64553571428571,1369.1197530864197,30.33703703703704,1123.5375,29.090625,1312.52,1.1600000000000001,1264.3610619469027,120.2438053097345,1298.877130044843,15.430941704035874
2019-11-27 10:28:00,1246.2964285714286,25.831696428571426,1372.8489711934158,30.320987654320987,1119.34375,29.2390625,1309.7497777777778,1.1671111111111112,1261.2637168141594,120.11998525073744,1295.9807174887892,15.46726457399103
2019-11-27 10:32:00,1243.057142857143,26.01785714285714,1376.5781893004114,30.30493827160494,1115.15,29.3875,1306.9795555555556,1.1742222222222223,1258.166371681416,119.9961651917404,1293.0843049327354,15.503587443946188
2019-11-27 10:36:00,1239.817857142857,26.204017857142855,1380.3074074074075,30.288888888888888,1110.9562500000002,29.5359375,1304.2093333333332,1.1813333333333333,1255.0690265486726,119.87234513274335,1290.1878923766817,15.539910313901345
2019-11-27 10:40:00,1236.5785714285714,26.390178571428567,1384.036625514403,30.27283950617284,1106.7625,29.684375,1301.4391111111113,1.1884444444444444,1251.9716814159292,119.7485250737463,1287.2914798206277,15.576233183856502
2019-11-27 10:44:00,1233.3392857142858,26.576339285714283,1387.7658436213992,30.25679012345679,1102.56875,29.8328125,1298.668888888889,1.1955555555555557,1248.8743362831858,119.62470501474925,1284.395067264574,15.612556053811659
2019-11-27 10:48:00,1230.1,26.762499999999996,1391.495061728395,30.24074074074074,1098.375,29.98125,1295.8986666666667,1.2026666666666668,1245.7769911504424,119.5008849557522,1281.4986547085202,15.648878923766816
2019-11-27 10:52:00,1226.8607142857143,26.94866071428571,1395.224279835391,30.224691358024693,1094.18125,30.1296875,1293.1284444444445,1.2097777777777778,1242.679646017699,119.37706489675514,1278.6022421524663,15.685201793721973
2019-11-27 10:56:00,1223.6214285714286,27.134821428571424,1398.9534979423868,30.20864197530864,1089.9875000000002,30.278125,1290.3582222222221,1.216888888888889,1239.5823008849557,119.2532448377581,1275.7058295964125,15.72152466367713
2019-11-27 11:00:00,1220.3821428571428,27.32098214285714,1402.6827160493826,30.192592592592593,1085.79375,30.4265625,1287.588,1.224,1236.4849557522125,119.12942477876105,1272.8094170403588,15.757847533632287
2019-11-27 11:04:00,1217.142857142857,27.507142857142853,1406.4119341563787,30.17654320987654,1081.6,30.575,1284.8177777777778,1.231111111111111,1233.387610619469,119.005604719764,1269.913004484305,15.794170403587444
