Code,Tiempo,Escalas(m),Datos1(),Datos2(m),Latitude,Longitude,Sonda(m),Comment
Capturas 1,06:33:24,---,---,---,---,---,---,
Capturas 1,06:33:48,1017,0,---,---,---,---,
Capturas 1,06:34:15,---,---,---,---,---,---,
Capturas 1,06:34:42,1019,7,---,---,---,---,
Capturas 1,06:35:03,1020,5,Off,---,---,---,
Capturas 1,06:35:30,1022,4,---,---,---,---,
Capturas 1,06:35:53,1019,2,Off,---,---,---,
Capturas 1,06:36:21,---,---,---,---,---,---,
Capturas 1,06:36:42,1018,2,Off,---,---,---,
Capturas 1,06:37:11,---,---,---,---,---,---,
Capturas 1,06:37:34,1020,0,Off,---,---,---,
Capturas 1,06:37:59,1018,9,Off,---,---,---,
Capturas 1,06:38:23,1021,4,Off,---,---,---,
Capturas 1,06:38:46,1030,7,---,---,---,---,
Capturas 1,06:39:10,1041,0,---,---,---,---,
Capturas 1,06:39:35,---,---,---,---,---,---,
Capturas 1,06:39:59,1044,9,---,---,---,---,
Capturas 1,06:40:24,---,---,---,---,---,---,
Capturas 1,06:40:50,---,---,---,---,---,---,
Capturas 1,06:41:12,1046,3,Off,---,---,---,
Capturas 1,06:41:34,1045,3,Off,---,---,---,
Capturas 1,06:42:01,---,---,---,---,---,---,
Capturas 1,06:42:24,1045,9,---,---,---,---,
Capturas 1,06:42:51,---,---,---,---,---,---,
Capturas 1,06:43:18,---,---,---,---,---,---,
Capturas 1,06:43:43,1046,4,---,---,---,---,
Capturas 1,06:44:08,1045,6,Off,---,---,---,
Capturas 1,06:44:33,---,---,---,---,---,---,
Capturas 1,06:44:56,1045,5,---,---,---,---,
Capturas 1,06:45:21,---,---,---,---,---,---,
Capturas 1,06:45:43,1047,5,Off,---,---,---,
Capturas 1,06:46:07,1046,1,Off,---,---,---,
Capturas 1,06:46:35,---,---,---,---,---,---,
Capturas 1,06:46:59,1048,0,---,---,---,---,
Capturas 1,06:47:22,---,---,---,---,---,---,
Capturas 1,06:47:48,---,---,---,---,---,---,
Capturas 1,06:48:13,1045,7,---,---,---,---,
Capturas 1,06:48:39,1046,6,---,---,---,---,
Capturas 1,06:49:06,---,---,---,---,---,---,
Capturas 1,06:49:32,1045,9,---,---,---,---,
Capturas 1,06:49:56,1046,9,Off,---,---,---,
Capturas 1,06:50:25,1051,5,---,---,---,---,
Capturas 1,06:50:50,1046,1,Off,---,---,---,
Capturas 1,06:51:16,1046,4,Off,---,---,---,
Capturas 1,06:51:40,1045,5,Off,---,---,---,
Capturas 1,06:52:08,---,---,---,---,---,---,
Capturas 1,06:52:31,1045,5,---,---,---,---,
Capturas 1,06:53:01,---,---,---,---,---,---,
Capturas 1,06:53:27,1049,4,---,---,---,---,
Capturas 1,06:53:55,---,---,---,---,---,---,
Capturas 1,06:54:14,1045,6,Off,---,---,---,
Capturas 1,06:54:41,---,---,---,---,---,---,
Capturas 1,06:55:04,1046,3,---,---,---,---,
Capturas 1,06:55:29,---,---,---,---,---,---,
Capturas 1,06:55:53,---,---,---,---,---,---,
Capturas 1,06:56:19,---,---,---,---,---,---,
Capturas 1,06:56:46,---,---,---,---,---,---,
Capturas 1,06:57:10,---,---,---,---,---,---,
Capturas 1,06:57:33,1045,6,Off,---,---,---,
Capturas 1,06:57:58,1049,9,Off,---,---,---,
Capturas 1,06:58:26,---,---,---,---,---,---,
Capturas 1,06:58:51,---,---,---,---,---,---,
Capturas 1,06:59:14,1044,2,---,---,---,---,
Capturas 1,06:59:41,---,---,---,---,---,---,
Capturas 1,07:00:07,1043,6,---,---,---,---,
Capturas 1,07:00:34,---,---,---,---,---,---,
Capturas 1,07:00:59,1044,5,Off,---,---,---,
Capturas 1,07:01:24,1048,2,---,---,---,---,
Capturas 1,07:01:51,1045,3,---,---,---,---,
Capturas 1,07:02:12,1046,4,---,---,---,---,
Capturas 1,07:02:36,1045,7,---,---,---,---,
Capturas 1,07:02:59,---,---,---,---,---,---,
Capturas 1,07:03:24,---,---,---,---,---,---,
Capturas 1,07:03:50,1045,4,Off,---,---,---,
Capturas 1,07:04:14,1044,7,---,---,---,---,
Capturas 1,07:04:35,1044,4,---,---,---,---,
Capturas 1,07:04:59,1043,7,---,---,---,---,
Capturas 1,07:05:21,1045,3,---,---,---,---,
Capturas 1,07:05:43,1045,0,---,---,---,---,
Capturas 1,07:06:09,---,---,---,---,---,---,
Capturas 1,07:06:34,---,---,---,---,---,---,
Capturas 1,07:06:53,1049,8,Off,---,---,---,
Capturas 1,07:07:20,---,---,---,---,---,---,
Capturas 1,07:07:44,1052,9,Off,---,---,---,
Capturas 1,07:08:11,---,---,---,---,---,---,
Capturas 1,07:08:34,---,---,---,---,---,---,
Capturas 1,07:09:00,---,---,---,---,---,---,
Capturas 1,07:09:27,---,---,---,---,---,---,
Capturas 1,07:09:50,1055,2,---,---,---,---,
Capturas 1,07:10:17,---,---,---,---,---,---,
Capturas 1,07:10:42,---,---,---,---,---,---,
Capturas 1,07:11:07,1054,8,Off,---,---,---,
Capturas 1,07:11:32,---,---,---,---,---,---,
Capturas 1,07:11:56,1056,5,Off,---,---,---,
Capturas 1,07:12:21,---,---,---,---,---,---,
Capturas 1,07:12:41,1055,2,Off,---,---,---,
Capturas 1,07:13:05,1055,7,---,---,---,---,
Capturas 1,07:13:29,1055,7,Off,---,---,---,
Capturas 1,07:14:00,---,---,---,---,---,---,
Capturas 1,07:14:27,---,---,---,---,---,---,
Capturas 1,07:14:50,1056,2,Off,---,---,---,
Capturas 1,07:15:13,1055,7,---,---,---,---,
Capturas 1,07:15:38,1056,4,Off,---,---,---,
Capturas 1,07:16:03,1061,0,---,---,---,---,
Capturas 1,07:16:25,1055,1,Off,---,---,---,
Capturas 1,07:16:51,---,---,---,---,---,---,
Capturas 1,07:17:18,---,---,---,---,---,---,
Capturas 1,07:17:42,1055,7,Off,---,---,---,
Capturas 1,07:18:11,---,---,---,---,---,---,
Capturas 1,07:18:37,1057,4,---,---,---,---,
