Code,Tiempo,Escalas(m),Datos1(m),Datos2(m),Latitude,Longitude,Sonda(m),Comment
Abertura,18:45:19,1733,0,117,7,---,---,
Abertura,18:48:27,1732,9,117,2,---,---,
Abertura,18:51:37,---,---,---,---,---,---,
Abertura,18:54:16,1732,6,116,1,---,---,
Abertura,18:56:56,1732,5,116,5,---,---,
Abertura,19:00:31,1732,1,122,3,---,---,
Abertura,19:03:41,---,---,---,---,---,---,
Abertura,19:05:54,---,---,---,---,---,---,
Abertura,19:08:04,1732,4,---,---,---,---,
Abertura,19:11:14,---,---,---,---,---,---,
Abertura,19:13:54,---,---,---,---,---,---,
Abertura,19:16:03,---,---,---,---,---,---,
Abertura,19:18:18,---,---,---,---,---,---,
Abertura,19:21:26,---,---,---,---,---,---,
Abertura,19:24:04,1732,2,120,4,---,---,
Abertura,19:26:44,1733,3,118,2,---,---,
Abertura,19:29:52,1732,9,117,2,---,---,
Abertura,19:33:28,1733,2,114,9,---,---,
Abertura,19:36:10,---,---,---,---,---,---,
Abertura,19:38:50,---,---,---,---,---,---,
Abertura,19:41:02,---,---,---,---,---,---,
Abertura,19:43:15,---,---,---,---,---,---,
Abertura,19:45:27,---,---,---,---,---,---,
Abertura,19:48:05,1734,0,112,4,---,---,
Abertura,19:51:43,---,---,---,---,---,---,
Abertura,19:54:23,---,---,---,---,---,---,
Abertura,19:57:03,---,---,---,---,---,---,
Abertura,19:59:15,---,---,---,---,---,---,
Abertura,20:01:53,1733,8,111,4,---,---,
Abertura,20:05:03,---,---,---,---,---,---,
Abertura,20:07:44,---,---,---,---,---,---,
Abertura,20:10:24,---,---,---,---,---,---,
Abertura,20:13:04,---,---,---,---,---,---,
Abertura,20:15:44,---,---,---,---,---,---,
Abertura,20:18:24,---,---,---,---,---,---,
Abertura,20:21:04,---,---,---,---,---,---,
Abertura,20:23:44,---,---,---,---,---,---,
Abertura,20:26:24,---,---,---,---,---,---,
Abertura,20:28:37,---,---,---,---,---,---,
Abertura,20:31:45,---,---,---,---,---,---,
Abertura,20:34:25,---,---,---,---,---,---,
Abertura,20:36:37,---,---,---,---,---,---,
Abertura,20:39:17,---,---,---,---,---,---,
Abertura,20:41:29,---,---,---,---,---,---,
Abertura,20:43:39,1734,0,108,1,---,---,
Abertura,20:46:47,1734,5,108,8,---,---,
Abertura,20:49:30,---,---,---,---,---,---,
Abertura,20:52:10,---,---,---,---,---,---,
Abertura,20:54:22,---,---,---,---,---,---,
Abertura,20:56:34,---,---,---,---,---,---,
Abertura,20:58:47,---,---,---,---,---,---,
Abertura,21:01:27,---,---,---,---,---,---,
Abertura,21:04:35,---,---,---,---,---,---,
Abertura,21:07:43,---,---,---,---,---,---,
Abertura,21:10:23,---,---,---,---,---,---,
Abertura,21:12:35,---,---,---,---,---,---,
Abertura,21:15:13,1734,2,123,7,---,---,
Abertura,21:18:23,---,---,---,---,---,---,
Abertura,21:21:03,---,---,---,---,---,---,
Abertura,21:24:09,1733,8,121,4,---,---,
Abertura,21:27:19,---,---,---,---,---,---,
Abertura,21:29:59,---,---,---,---,---,---,
Abertura,21:32:12,---,---,---,---,---,---,
Abertura,21:34:52,---,---,---,---,---,---,
Abertura,21:37:04,---,---,---,---,---,---,
Abertura,21:39:42,1734,0,117,1,---,---,
Abertura,21:42:24,---,---,---,---,---,---,
Abertura,21:45:04,---,---,---,---,---,---,
Abertura,21:47:44,---,---,---,---,---,---,
Abertura,21:49:57,---,---,---,---,---,---,
Abertura,21:52:07,1734,5,109,1,---,---,
Abertura,21:54:49,---,---,---,---,---,---,
Abertura,21:57:01,---,---,---,---,---,---,
Abertura,21:59:39,1733,2,107,8,---,---,
Abertura,22:02:21,---,---,---,---,---,---,
Abertura,22:04:34,---,---,---,---,---,---,
Abertura,22:06:46,---,---,---,---,---,---,
Abertura,22:09:24,1733,1,107,1,---,---,
Abertura,22:12:32,1733,8,104,1,---,---,
Abertura,22:15:14,---,---,---,---,---,---,
Abertura,22:17:26,---,---,---,---,---,---,
Abertura,22:20:06,---,---,---,---,---,---,
Abertura,22:22:17,1732,9,112,3,---,---,
Abertura,22:24:59,---,---,---,---,---,---,
Abertura,22:27:39,---,---,---,---,---,---,
Abertura,22:29:51,---,---,---,---,---,---,
Abertura,22:32:03,---,---,---,---,---,---,
Abertura,22:34:15,---,---,---,---,---,---,
Abertura,22:36:56,---,---,---,---,---,---,
Abertura,22:39:08,---,---,---,---,---,---,
Abertura,22:41:20,---,---,---,---,---,---,
Abertura,22:43:32,---,---,---,---,---,---,
Abertura,22:45:45,---,---,---,---,---,---,
Abertura,22:47:57,---,---,---,---,---,---,
Abertura,22:50:09,---,---,---,---,---,---,
Abertura,22:52:21,---,---,---,---,---,---,
Abertura,22:54:33,---,---,---,---,---,---,
Abertura,22:56:46,---,---,---,---,---,---,
Abertura,22:58:58,---,---,---,---,---,---,
Abertura,23:01:10,---,---,---,---,---,---,
Abertura,23:03:22,---,---,---,---,---,---,
Abertura,23:05:35,---,---,---,---,---,---,
Abertura,23:07:45,1732,4,121,9,---,---,
Abertura,23:11:23,---,---,---,---,---,---,
Abertura,23:13:35,---,---,---,---,---,---,
Abertura,23:16:15,---,---,---,---,---,---,
Abertura,23:18:55,---,---,---,---,---,---,
Abertura,23:21:35,---,---,---,---,---,---,
Abertura,23:24:43,---,---,---,---,---,---,
Abertura,23:27:22,1733,0,127,5,---,---,
Abertura,23:30:59,---,---,---,---,---,---,
Abertura,23:33:40,---,---,---,---,---,---,
Abertura,23:36:20,---,---,---,---,---,---,
Abertura,23:39:00,---,---,---,---,---,---,
Abertura,23:42:08,---,---,---,---,---,---,
Abertura,23:44:48,---,---,---,---,---,---,
Abertura,23:47:00,---,---,---,---,---,---,
Abertura,23:49:40,---,---,---,---,---,---,
Abertura,23:52:21,---,---,---,---,---,---,
Abertura,23:55:01,---,---,---,---,---,---,
Abertura,23:57:41,---,---,---,---,---,---,
Abertura,00:00:21,---,---,---,---,---,---,
Abertura,00:03:01,---,---,---,---,---,---,
Abertura,00:05:13,---,---,---,---,---,---,
Abertura,00:07:26,---,---,---,---,---,---,
Abertura,00:10:04,1733,3,111,8,---,---,
Abertura,00:13:14,---,---,---,---,---,---,
Abertura,00:15:54,---,---,---,---,---,---,
Abertura,00:18:34,---,---,---,---,---,---,
Abertura,00:21:14,---,---,---,---,---,---,
Abertura,00:23:26,---,---,---,---,---,---,
Abertura,00:25:38,---,---,---,---,---,---,
Abertura,00:28:17,1733,0,113,0,---,---,
Abertura,00:31:27,---,---,---,---,---,---,
Abertura,00:33:39,---,---,---,---,---,---,
Abertura,00:35:51,---,---,---,---,---,---,
Abertura,00:38:03,---,---,---,---,---,---,
Abertura,00:40:16,---,---,---,---,---,---,
Abertura,00:42:56,---,---,---,---,---,---,
Abertura,00:45:36,---,---,---,---,---,---,
Abertura,00:47:48,---,---,---,---,---,---,
Abertura,00:50:00,---,---,---,---,---,---,
Abertura,00:52:13,---,---,---,---,---,---,
Abertura,00:54:25,---,---,---,---,---,---,
Abertura,00:56:37,---,---,---,---,---,---,
Abertura,00:58:49,---,---,---,---,---,---,
Abertura,01:01:01,---,---,---,---,---,---,
