[NOTUS TEXTFILE V3.3]
File Created: 26-nov-2019 16:17:27
Tow Date: 15-sep-2013 10:39:47


Transponder: C56S
Placement: Estribor

Code,Tiempo,Escalas(m),Datos1(Fa),Datos2(m),Latitude,Longitude,Sonda(m),Comment
C56S,11:27:52,600,4,26,2,---,---,---,---,
C56S,11:28:17,599,9,27,0,---,---,---,---,
C56S,11:28:42,600,0,27,9,---,---,---,---,
C56S,11:29:07,600,7,27,5,---,---,---,---,
C56S,11:29:32,600,3,26,7,---,---,---,---,
C56S,11:29:58,600,0,25,9,---,---,---,---,
C56S,11:30:23,600,1,24,6,---,---,---,---,
C56S,11:30:48,600,3,24,6,---,---,---,---,
C56S,11:31:13,600,7,23,8,---,---,---,---,
C56S,11:31:38,600,0,24,3,---,---,---,---,
C56S,11:32:05,600,5,25,1,---,---,---,---,
C56S,11:32:30,600,3,26,3,---,---,---,---,
C56S,11:32:55,600,4,26,3,---,---,---,---,
C56S,11:33:20,600,7,24,5,---,---,---,---,
C56S,11:33:45,600,5,24,4,---,---,---,---,
C56S,11:34:10,600,1,24,2,---,---,---,---,
C56S,11:34:35,600,5,24,1,---,---,---,---,
C56S,11:35:00,599,9,24,0,---,---,---,---,
C56S,11:35:25,601,2,23,1,---,---,---,---,
C56S,11:35:50,600,1,23,3,---,---,---,---,
C56S,11:36:16,600,8,23,8,---,---,---,---,
C56S,11:36:41,600,5,23,8,---,---,---,---,
C56S,11:37:06,600,5,23,6,---,---,---,---,
C56S,11:37:31,600,4,23,8,---,---,---,---,
C56S,11:37:56,600,4,23,8,---,---,---,---,
C56S,11:38:21,600,5,23,5,---,---,---,---,
C56S,11:38:46,599,9,24,3,---,---,---,---,
C56S,11:39:09,600,6,24,1,---,---,---,---,
C56S,11:39:35,600,2,23,9,---,---,---,---,
C56S,11:40:00,600,7,22,8,---,---,---,---,
C56S,11:40:25,600,1,22,7,---,---,---,---,
C56S,11:40:50,600,6,21,8,---,---,---,---,
C56S,11:41:15,600,3,22,9,---,---,---,---,
C56S,11:41:40,600,9,23,7,---,---,---,---,
C56S,11:42:05,600,6,25,1,---,---,---,---,
C56S,11:42:30,600,8,25,8,---,---,---,---,
C56S,11:42:55,600,6,24,7,---,---,---,---,
C56S,11:43:20,601,0,24,1,---,---,---,---,
C56S,11:43:45,600,9,23,3,---,---,---,---,
C56S,11:44:11,600,5,23,2,---,---,---,---,
C56S,11:44:36,601,0,23,7,---,---,---,---,
C56S,11:45:01,600,7,22,9,---,---,---,---,
C56S,11:45:26,600,4,23,8,---,---,---,---,
C56S,11:45:51,600,5,22,9,---,---,---,---,
C56S,11:46:15,601,2,24,0,---,---,---,---,
C56S,11:46:41,601,0,23,3,---,---,---,---,
C56S,11:47:06,601,0,22,8,---,---,---,---,
C56S,11:47:31,600,9,22,9,---,---,---,---,
C56S,11:47:56,600,4,22,9,---,---,---,---,
C56S,11:48:21,601,0,22,5,---,---,---,---,
C56S,11:48:46,609,5,25,5,---,---,---,---,
C56S,11:49:11,624,2,24,7,---,---,---,---,
C56S,11:49:36,626,1,23,8,---,---,---,---,
C56S,11:50:01,626,6,23,5,---,---,---,---,
C56S,11:50:26,626,5,24,1,---,---,---,---,
C56S,11:50:52,626,3,25,3,---,---,---,---,
C56S,11:51:17,626,9,23,3,---,---,---,---,
C56S,11:51:42,626,7,23,1,---,---,---,---,
C56S,11:52:07,626,8,24,1,---,---,---,---,
