Code,Tiempo,Escalas(m),Datos1(°),Datos2(m),Latitude,Longitude,Sonda(m),Comment
Starboard Door Heel,07:05:18,594,8,---,---,---,---,
Starboard Door Heel,07:05:42,593,1,---,---,---,---,
Starboard Door Heel,07:06:09,593,5,---,---,---,---,
Starboard Door Heel,07:06:33,593,8,---,---,---,---,
Starboard Door Heel,07:06:58,594,7,---,---,---,---,
Starboard Door Heel,07:07:23,594,1,---,---,---,---,
Starboard Door Heel,07:07:48,593,8,---,---,---,---,
Starboard Door Heel,07:08:12,593,2,---,---,---,---,
Starboard Door Heel,07:08:37,593,2,---,---,---,---,
Starboard Door Heel,07:09:02,593,0,---,---,---,---,
Starboard Door Heel,07:09:27,592,6,---,---,---,---,
Starboard Door Heel,07:09:52,592,6,---,---,---,---,
Starboard Door Heel,07:10:17,592,5,---,---,---,---,
Starboard Door Heel,07:10:42,592,2,---,---,---,---,
Starboard Door Heel,07:11:07,593,4,---,---,---,---,
Starboard Door Heel,07:11:35,---,---,---,---,---,---,
Starboard Door Heel,07:11:59,592,5,---,---,---,---,
Starboard Door Heel,07:12:24,593,6,---,---,---,---,
Starboard Door Heel,07:12:49,593,4,---,---,---,---,
Starboard Door Heel,07:13:14,593,7,---,---,---,---,
Starboard Door Heel,07:13:39,593,7,---,---,---,---,
Starboard Door Heel,07:14:02,593,7,---,---,---,---,
Starboard Door Heel,07:14:26,593,4,---,---,---,---,
Starboard Door Heel,07:14:51,594,0,---,---,---,---,
Starboard Door Heel,07:15:17,593,7,---,---,---,---,
Starboard Door Heel,07:15:42,593,5,---,---,---,---,
Starboard Door Heel,07:16:07,593,9,---,---,---,---,
Starboard Door Heel,07:16:32,593,8,---,---,---,---,
Starboard Door Heel,07:16:57,593,4,---,---,---,---,
Starboard Door Heel,07:17:22,593,3,---,---,---,---,
Starboard Door Heel,07:17:47,594,0,---,---,---,---,
Starboard Door Heel,07:18:12,594,0,---,---,---,---,
Starboard Door Heel,07:18:37,593,6,---,---,---,---,
Starboard Door Heel,07:19:04,---,---,---,---,---,---,
Starboard Door Heel,07:19:28,593,7,---,---,---,---,
Starboard Door Heel,07:19:53,593,9,---,---,---,---,
Starboard Door Heel,07:20:18,593,9,---,---,---,---,
Starboard Door Heel,07:20:42,593,8,---,---,---,---,
Starboard Door Heel,07:21:07,593,9,---,---,---,---,
Starboard Door Heel,07:21:33,593,7,---,---,---,---,
Starboard Door Heel,07:21:57,593,8,---,---,---,---,
Starboard Door Heel,07:22:22,594,6,---,---,---,---,
Starboard Door Heel,07:22:47,593,3,---,---,---,---,
Starboard Door Heel,07:23:13,593,6,---,---,---,---,
Starboard Door Heel,07:23:38,593,9,---,---,---,---,
Starboard Door Heel,07:24:03,594,2,---,---,---,---,
Starboard Door Heel,07:24:27,594,0,---,---,---,---,
Starboard Door Heel,07:24:53,593,7,---,---,---,---,
Starboard Door Heel,07:25:18,593,9,---,---,---,---,
Starboard Door Heel,07:25:44,593,9,---,---,---,---,
Starboard Door Heel,07:26:09,594,1,---,---,---,---,
Starboard Door Heel,07:26:34,594,7,---,---,---,---,
Starboard Door Heel,07:26:59,593,7,---,---,---,---,
Starboard Door Heel,07:27:23,593,9,---,---,---,---,
Starboard Door Heel,07:27:46,593,7,---,---,---,---,
