Code,Tiempo,Escalas(m),Datos1(°C),Datos2(m),Latitude,Longitude,Sonda(m),Comment
Starboard Temperature,18:08:59,1696,9,10,6,---,---,
Starboard Temperature,18:09:36,1696,8,10,6,---,---,
Starboard Temperature,18:10:13,1697,2,10,6,---,---,
Starboard Temperature,18:10:50,1696,7,10,7,---,---,
Starboard Temperature,18:11:27,1697,0,10,7,---,---,
Starboard Temperature,18:12:04,1696,9,10,7,---,---,
Starboard Temperature,18:12:41,1696,5,10,6,---,---,
Starboard Temperature,18:13:18,1696,5,10,7,---,---,
Starboard Temperature,18:13:55,1696,5,10,7,---,---,
Starboard Temperature,18:14:32,1697,1,10,6,---,---,
Starboard Temperature,18:15:09,1696,7,10,7,---,---,
Starboard Temperature,18:15:46,1696,7,10,6,---,---,
Starboard Temperature,18:16:22,1696,8,10,7,---,---,
Starboard Temperature,18:16:59,1696,8,10,7,---,---,
Starboard Temperature,18:17:36,1696,4,10,8,---,---,
Starboard Temperature,18:18:13,1696,3,10,7,---,---,
Starboard Temperature,18:18:50,1696,2,10,7,---,---,
Starboard Temperature,18:19:27,1696,5,10,7,---,---,
Starboard Temperature,18:20:05,1696,7,10,7,---,---,
Starboard Temperature,18:20:42,1697,2,10,7,---,---,
Starboard Temperature,18:21:19,1697,1,10,7,---,---,
Starboard Temperature,18:21:56,1697,0,10,7,---,---,
Starboard Temperature,18:22:33,1696,8,10,7,---,---,
Starboard Temperature,18:23:09,1696,7,10,7,---,---,
Starboard Temperature,18:23:46,1696,9,10,7,---,---,
Starboard Temperature,18:24:23,1696,6,10,7,---,---,
Starboard Temperature,18:25:00,1696,4,10,7,---,---,
Starboard Temperature,18:25:37,1696,8,10,7,---,---,
Starboard Temperature,18:26:14,1696,4,10,7,---,---,
Starboard Temperature,18:26:51,1696,8,10,7,---,---,
Starboard Temperature,18:27:31,1696,8,---,---,---,---,
Starboard Temperature,18:28:08,1697,0,10,8,---,---,
Starboard Temperature,18:28:45,1697,4,10,7,---,---,
Starboard Temperature,18:29:24,---,---,---,---,---,---,
Starboard Temperature,18:30:02,1696,8,10,7,---,---,
Starboard Temperature,18:30:39,1696,8,---,---,---,---,
Starboard Temperature,18:31:16,1696,5,10,7,---,---,
Starboard Temperature,18:31:53,1696,6,10,7,---,---,
Starboard Temperature,18:32:30,1696,2,10,7,---,---,
Starboard Temperature,18:33:06,1697,1,10,7,---,---,
Starboard Temperature,18:33:44,1697,4,---,---,---,---,
Starboard Temperature,18:34:20,1696,8,10,7,---,---,
Starboard Temperature,18:34:57,1696,8,10,7,---,---,
Starboard Temperature,18:35:34,1697,2,10,7,---,---,
Starboard Temperature,18:36:11,1697,1,10,7,---,---,
Starboard Temperature,18:36:48,1697,7,10,8,---,---,
Starboard Temperature,18:37:25,1697,0,10,7,---,---,
Starboard Temperature,18:38:02,1697,4,10,7,---,---,
Starboard Temperature,18:38:39,1697,5,10,7,---,---,
Starboard Temperature,18:39:17,1697,6,10,8,---,---,
Starboard Temperature,18:39:54,1697,8,10,7,---,---,
Starboard Temperature,18:40:33,1697,9,10,8,---,---,
Starboard Temperature,18:41:11,1697,6,10,7,---,---,
Starboard Temperature,18:41:48,1697,6,10,7,---,---,
Starboard Temperature,18:42:25,1696,9,10,8,---,---,
Starboard Temperature,18:43:02,1696,9,10,8,---,---,
Starboard Temperature,18:43:39,1696,9,10,7,---,---,
Starboard Temperature,18:44:15,1697,2,10,7,---,---,
Starboard Temperature,18:44:52,1696,4,10,7,---,---,
Starboard Temperature,18:45:29,1696,3,10,7,---,---,
Starboard Temperature,18:46:07,1696,2,10,7,---,---,
Starboard Temperature,18:46:44,1696,1,10,7,---,---,
Starboard Temperature,18:47:21,1696,4,10,8,---,---,
Starboard Temperature,18:47:58,1696,3,10,8,---,---,
Starboard Temperature,18:48:35,1696,3,10,8,---,---,
Starboard Temperature,18:49:12,1696,4,11,1,---,---,
Starboard Temperature,18:49:50,1696,2,10,8,---,---,
Starboard Temperature,18:50:27,1696,6,10,9,---,---,
Starboard Temperature,18:51:04,1697,1,10,9,---,---,
Starboard Temperature,18:51:42,1696,4,---,---,---,---,
Starboard Temperature,18:52:19,1696,2,---,---,---,---,
Starboard Temperature,18:52:57,1696,6,---,---,---,---,
Starboard Temperature,18:53:34,1695,9,---,---,---,---,
Starboard Temperature,18:54:11,1696,5,---,---,---,---,
Starboard Temperature,18:54:48,1696,1,10,9,---,---,
Starboard Temperature,18:55:25,1696,3,11,1,---,---,
Starboard Temperature,18:56:03,1696,4,---,---,---,---,
Starboard Temperature,18:56:40,1696,1,11,0,---,---,
Starboard Temperature,18:57:17,1696,3,11,1,---,---,
Starboard Temperature,18:57:55,1696,2,---,---,---,---,
Starboard Temperature,18:58:32,1695,9,---,---,---,---,
Starboard Temperature,18:59:10,1696,2,---,---,---,---,
Starboard Temperature,18:59:47,1696,0,---,---,---,---,
Starboard Temperature,19:00:24,1695,6,10,9,---,---,
