Code,Tiempo,Escalas(m),Datos1(),Datos2(m),Latitude,Longitude,Sonda(m),Comment
Capturas 1,06:42:47,946,4,---,---,---,---,
Capturas 1,06:43:12,957,5,Off,---,---,---,
Capturas 1,06:43:38,---,---,---,---,---,---,
Capturas 1,06:44:00,975,7,---,---,---,---,
Capturas 1,06:44:25,---,---,---,---,---,---,
Capturas 1,06:44:48,980,2,Off,---,---,---,
Capturas 1,06:45:16,981,2,---,---,---,---,
Capturas 1,06:45:38,978,4,---,---,---,---,
Capturas 1,06:46:01,984,4,Off,---,---,---,
Capturas 1,06:46:27,979,9,---,---,---,---,
Capturas 1,06:46:50,978,7,---,---,---,---,
Capturas 1,06:47:12,978,1,---,---,---,---,
Capturas 1,06:47:38,978,5,---,---,---,---,
Capturas 1,06:48:04,978,5,---,---,---,---,
Capturas 1,06:48:25,982,2,---,---,---,---,
Capturas 1,06:48:47,978,6,Off,---,---,---,
Capturas 1,06:49:10,976,9,Off,---,---,---,
Capturas 1,06:49:33,976,8,Off,---,---,---,
Capturas 1,06:49:57,981,8,Off,---,---,---,
Capturas 1,06:50:26,---,---,---,---,---,---,
Capturas 1,06:50:51,---,---,---,---,---,---,
Capturas 1,06:51:15,---,---,---,---,---,---,
Capturas 1,06:51:42,---,---,---,---,---,---,
Capturas 1,06:52:04,978,4,---,---,---,---,
Capturas 1,06:52:27,978,1,---,---,---,---,
Capturas 1,06:52:48,984,0,---,---,---,---,
Capturas 1,06:53:13,978,5,---,---,---,---,
Capturas 1,06:53:37,983,5,---,---,---,---,
Capturas 1,06:54:00,980,7,---,---,---,---,
Capturas 1,06:54:24,---,---,---,---,---,---,
Capturas 1,06:54:49,---,---,---,---,---,---,
Capturas 1,06:55:11,978,8,---,---,---,---,
Capturas 1,06:55:34,---,Off,---,---,---,---,
Capturas 1,06:55:59,995,1,---,---,---,---,
Capturas 1,06:56:23,---,---,---,---,---,---,
Capturas 1,06:56:48,---,---,---,---,---,---,
Capturas 1,06:57:14,---,---,---,---,---,---,
Capturas 1,06:57:36,1019,8,---,---,---,---,
Capturas 1,06:58:00,---,---,---,---,---,---,
Capturas 1,06:58:24,1019,2,---,---,---,---,
Capturas 1,06:58:49,---,---,---,---,---,---,
Capturas 1,06:59:16,---,---,---,---,---,---,
Capturas 1,06:59:42,---,---,---,---,---,---,
Capturas 1,07:00:09,---,---,---,---,---,---,
Capturas 1,07:00:32,1017,9,---,---,---,---,
Capturas 1,07:01:02,---,---,---,---,---,---,
Capturas 1,07:01:28,---,---,---,---,---,---,
Capturas 1,07:01:53,---,---,---,---,---,---,
Capturas 1,07:02:18,---,---,---,---,---,---,
Capturas 1,07:02:43,---,---,---,---,---,---,
Capturas 1,07:03:10,---,---,---,---,---,---,
Capturas 1,07:03:35,---,---,---,---,---,---,
Capturas 1,07:03:58,---,---,---,---,---,---,
Capturas 1,07:04:22,---,---,---,---,---,---,
Capturas 1,07:04:47,---,---,---,---,---,---,
Capturas 1,07:05:10,---,---,---,---,---,---,
Capturas 1,07:05:33,1263,5,Off,---,---,---,
Capturas 1,07:05:58,---,---,---,---,---,---,
Capturas 1,07:06:23,---,---,---,---,---,---,
Capturas 1,07:06:48,---,---,---,---,---,---,
Capturas 1,07:07:13,---,---,---,---,---,---,
Capturas 1,07:07:36,---,---,---,---,---,---,
Capturas 1,07:08:02,---,---,---,---,---,---,
Capturas 1,07:08:26,---,---,---,---,---,---,
Capturas 1,07:08:51,---,---,---,---,---,---,
Capturas 1,07:09:16,---,---,---,---,---,---,
Capturas 1,07:09:42,---,---,---,---,---,---,
Capturas 1,07:10:06,---,---,---,---,---,---,
Capturas 1,07:10:30,---,---,---,---,---,---,
Capturas 1,07:10:57,---,---,---,---,---,---,
Capturas 1,07:11:23,---,---,---,---,---,---,
Capturas 1,07:11:48,---,---,---,---,---,---,
Capturas 1,07:12:14,---,---,---,---,---,---,
Capturas 1,07:12:41,---,---,---,---,---,---,
Capturas 1,07:13:05,---,---,---,---,---,---,
Capturas 1,07:13:33,---,---,---,---,---,---,
Capturas 1,07:13:58,---,---,---,---,---,---,
Capturas 1,07:14:26,---,---,---,---,---,---,
Capturas 1,07:14:51,---,---,---,---,---,---,
Capturas 1,07:15:15,---,---,---,---,---,---,
Capturas 1,07:15:42,---,---,---,---,---,---,
Capturas 1,07:16:07,---,---,---,---,---,---,
Capturas 1,07:16:34,---,---,---,---,---,---,
Capturas 1,07:16:58,---,---,---,---,---,---,
Capturas 1,07:17:23,---,---,---,---,---,---,
Capturas 1,07:17:49,---,---,---,---,---,---,
Capturas 1,07:18:12,---,---,---,---,---,---,
Capturas 1,07:18:37,---,---,---,---,---,---,
Capturas 1,07:19:01,---,---,---,---,---,---,
Capturas 1,07:19:30,---,---,---,---,---,---,
Capturas 1,07:19:55,---,---,---,---,---,---,
Capturas 1,07:20:21,---,---,---,---,---,---,
Capturas 1,07:20:47,---,---,---,---,---,---,
Capturas 1,07:21:13,---,---,---,---,---,---,
Capturas 1,07:21:38,---,---,---,---,---,---,
Capturas 1,07:22:04,---,---,---,---,---,---,
Capturas 1,07:22:26,1049,7,---,---,---,---,
Capturas 1,07:22:50,---,---,---,---,---,---,
Capturas 1,07:23:18,---,---,---,---,---,---,
Capturas 1,07:23:44,---,---,---,---,---,---,
Capturas 1,07:24:07,---,---,---,---,---,---,
Capturas 1,07:24:31,---,---,---,---,---,---,
Capturas 1,07:24:56,---,---,---,---,---,---,
Capturas 1,07:25:21,---,---,---,---,---,---,
Capturas 1,07:25:46,---,---,---,---,---,---,
Capturas 1,07:26:10,---,---,---,---,---,---,
Capturas 1,07:26:32,1245,6,On,---,---,---,
Capturas 1,07:26:58,---,---,---,---,---,---,
Capturas 1,07:27:23,---,---,---,---,---,---,
Capturas 1,07:27:47,---,---,---,---,---,---,
Capturas 1,07:28:11,---,---,---,---,---,---,
Capturas 1,07:28:38,---,---,---,---,---,---,
Capturas 1,07:29:04,---,---,---,---,---,---,
Capturas 1,07:29:28,---,---,---,---,---,---,
Capturas 1,07:29:52,---,---,---,---,---,---,
Capturas 1,07:30:17,---,---,---,---,---,---,
Capturas 1,07:30:41,---,---,---,---,---,---,
Capturas 1,07:31:05,---,---,---,---,---,---,
Capturas 1,07:31:29,---,---,---,---,---,---,
Capturas 1,07:31:53,---,---,---,---,---,---,
Capturas 1,07:32:21,---,---,---,---,---,---,
Capturas 1,07:32:46,---,---,---,---,---,---,
Capturas 1,07:33:13,---,---,---,---,---,---,
Capturas 1,07:33:37,---,---,---,---,---,---,
Capturas 1,07:33:57,1047,7,Off,---,---,---,
Capturas 1,07:34:24,---,---,---,---,---,---,
Capturas 1,07:34:49,---,---,---,---,---,---,
Capturas 1,07:35:16,---,---,---,---,---,---,
Capturas 1,07:35:41,---,---,---,---,---,---,
Capturas 1,07:36:06,---,---,---,---,---,---,
Capturas 1,07:36:31,---,---,---,---,---,---,
Capturas 1,07:36:56,---,---,---,---,---,---,
