Code,Tiempo,Escalas(m),Datos1(°C),Datos2(m),Latitude,Longitude,Sonda(m),Comment
Starboard Temperature,19:38:24,1697,9,10,7,---,---,
Starboard Temperature,19:39:02,1697,1,10,6,---,---,
Starboard Temperature,19:39:39,1697,7,10,6,---,---,
Starboard Temperature,19:40:17,1697,2,10,6,---,---,
Starboard Temperature,19:40:54,1697,1,10,6,---,---,
Starboard Temperature,19:41:31,1696,9,10,6,---,---,
Starboard Temperature,19:42:08,1696,8,10,6,---,---,
Starboard Temperature,19:42:45,1696,8,10,6,---,---,
Starboard Temperature,19:43:22,1696,8,10,5,---,---,
Starboard Temperature,19:43:59,1697,2,10,5,---,---,
Starboard Temperature,19:44:37,1697,0,10,5,---,---,
Starboard Temperature,19:45:14,1696,3,10,5,---,---,
Starboard Temperature,19:45:51,1696,2,10,6,---,---,
Starboard Temperature,19:46:28,1696,5,10,5,---,---,
Starboard Temperature,19:47:05,1696,5,10,5,---,---,
Starboard Temperature,19:47:43,1696,4,10,5,---,---,
Starboard Temperature,19:48:20,1697,0,10,6,---,---,
Starboard Temperature,19:48:57,1696,3,10,6,---,---,
Starboard Temperature,19:49:35,1696,3,10,5,---,---,
Starboard Temperature,19:50:12,1696,5,10,5,---,---,
Starboard Temperature,19:50:49,1696,4,10,5,---,---,
Starboard Temperature,19:51:26,1696,7,10,6,---,---,
Starboard Temperature,19:52:03,1696,3,10,5,---,---,
Starboard Temperature,19:52:40,1696,6,10,5,---,---,
Starboard Temperature,19:53:17,1696,4,10,5,---,---,
Starboard Temperature,19:53:54,1696,4,10,5,---,---,
Starboard Temperature,19:54:31,1696,2,10,5,---,---,
Starboard Temperature,19:55:08,1696,9,10,5,---,---,
Starboard Temperature,19:55:45,1696,1,10,5,---,---,
Starboard Temperature,19:56:22,1696,3,10,5,---,---,
Starboard Temperature,19:56:59,1696,4,10,5,---,---,
Starboard Temperature,19:57:36,1696,4,10,5,---,---,
Starboard Temperature,19:58:13,1696,9,10,5,---,---,
Starboard Temperature,19:58:50,1696,4,10,6,---,---,
Starboard Temperature,19:59:27,1696,4,10,5,---,---,
Starboard Temperature,20:00:04,1696,4,10,5,---,---,
Starboard Temperature,20:00:40,1696,4,10,5,---,---,
Starboard Temperature,20:01:17,1696,5,10,5,---,---,
Starboard Temperature,20:01:55,1696,1,10,5,---,---,
Starboard Temperature,20:02:32,1696,3,10,5,---,---,
Starboard Temperature,20:03:09,1696,1,10,5,---,---,
Starboard Temperature,20:03:46,1696,3,10,5,---,---,
Starboard Temperature,20:04:23,1696,0,10,5,---,---,
Starboard Temperature,20:04:59,1695,9,10,5,---,---,
Starboard Temperature,20:05:36,1696,0,10,5,---,---,
Starboard Temperature,20:06:13,1696,0,10,5,---,---,
Starboard Temperature,20:06:50,1695,7,10,9,---,---,
Starboard Temperature,20:07:27,1696,4,10,5,---,---,
Starboard Temperature,20:08:04,1695,9,10,5,---,---,
Starboard Temperature,20:08:41,1695,9,10,5,---,---,
Starboard Temperature,20:09:18,1695,7,10,5,---,---,
Starboard Temperature,20:09:55,1695,7,10,5,---,---,
Starboard Temperature,20:10:32,1695,9,10,5,---,---,
Starboard Temperature,20:11:09,1695,4,10,6,---,---,
Starboard Temperature,20:11:46,1695,5,10,5,---,---,
Starboard Temperature,20:12:23,1695,6,10,6,---,---,
Starboard Temperature,20:13:00,1695,7,10,5,---,---,
Starboard Temperature,20:13:37,1695,4,10,6,---,---,
Starboard Temperature,20:14:15,1695,4,10,5,---,---,
Starboard Temperature,20:14:51,1695,7,10,5,---,---,
Starboard Temperature,20:15:28,1696,1,10,5,---,---,
Starboard Temperature,20:16:05,1696,1,10,5,---,---,
Starboard Temperature,20:16:44,1696,1,10,5,---,---,
Starboard Temperature,20:17:21,1696,2,10,5,---,---,
Starboard Temperature,20:17:58,1695,9,10,5,---,---,
Starboard Temperature,20:18:35,1696,1,10,5,---,---,
Starboard Temperature,20:19:12,1696,2,10,5,---,---,
Starboard Temperature,20:19:48,1695,8,10,5,---,---,
Starboard Temperature,20:20:25,1696,4,10,5,---,---,
