[NOTUS TEXTFILE V3.3]
File Created: 22-oct-2019 17:27:34
Tow Date: 25-ago-2013 5:04:58


Transponder: C56S
Placement: Estribor

Code,Tiempo,Escalas(m),Datos1(Fa),Datos2(m),Latitude,Longitude,Sonda(m),Comment
C56S,05:05:07,---,---,---,---,---,---,
C56S,05:05:31,---,---,---,---,---,---,
C56S,05:05:55,587,9,---,---,---,---,---,
C56S,05:50:02,589,3,25,5,---,---,---,---,
C56S,05:50:26,588,8,25,6,---,---,---,---,
C56S,05:50:49,588,8,25,8,---,---,---,---,
C56S,05:51:13,589,2,25,0,---,---,---,---,
C56S,05:51:36,589,2,25,3,---,---,---,---,
C56S,05:52:00,589,6,24,8,---,---,---,---,
C56S,05:52:24,589,6,25,1,---,---,---,---,
C56S,05:52:47,589,4,25,1,---,---,---,---,
C56S,05:53:11,589,2,25,1,---,---,---,---,
C56S,05:53:35,589,5,24,9,---,---,---,---,
C56S,05:53:58,589,3,25,6,---,---,---,---,
C56S,05:54:22,589,0,25,8,---,---,---,---,
C56S,05:54:45,589,3,25,3,---,---,---,---,
C56S,05:55:09,589,7,24,4,---,---,---,---,
C56S,05:55:32,589,1,24,9,---,---,---,---,
C56S,05:55:56,589,3,25,4,---,---,---,---,
C56S,05:56:20,589,2,25,4,---,---,---,---,
C56S,05:56:43,589,6,---,---,---,---,---,
C56S,05:57:06,589,5,---,---,---,---,---,
C56S,05:57:30,589,3,25,5,---,---,---,---,
C56S,05:57:53,589,3,25,7,---,---,---,---,
C56S,05:58:17,589,6,25,8,---,---,---,---,
C56S,05:58:41,589,1,25,9,---,---,---,---,
C56S,05:59:04,589,0,24,5,---,---,---,---,
C56S,05:59:28,589,4,24,1,---,---,---,---,
C56S,05:59:51,589,4,25,0,---,---,---,---,
C56S,06:00:15,589,6,25,3,---,---,---,---,
C56S,06:00:40,589,0,25,7,---,---,---,---,
C56S,06:01:04,589,4,25,6,---,---,---,---,
C56S,06:01:27,589,1,25,0,---,---,---,---,
C56S,06:01:51,588,6,24,8,---,---,---,---,
C56S,06:02:14,588,8,24,8,---,---,---,---,
C56S,06:02:38,589,1,24,7,---,---,---,---,
C56S,06:03:02,589,0,24,4,---,---,---,---,
C56S,06:03:25,589,2,24,3,---,---,---,---,
C56S,06:03:48,589,2,24,9,---,---,---,---,
C56S,06:04:12,589,4,24,9,---,---,---,---,
C56S,06:04:35,588,9,24,5,---,---,---,---,
C56S,06:04:59,588,8,23,8,---,---,---,---,
