Code,Tiempo,Escalas(m),Datos1(m),Datos2(m),Latitude,Longitude,Sonda(m),Comment
Ala Abertura,03:21:07,1431,4,23,1,---,---,
Ala Abertura,03:21:37,1431,6,---,---,---,---,
Ala Abertura,03:22:07,1432,2,18,0,---,---,
Ala Abertura,03:22:37,1433,2,---,---,---,---,
Ala Abertura,03:23:06,1433,6,19,2,---,---,
Ala Abertura,03:23:36,1435,0,---,---,---,---,
Ala Abertura,03:24:07,---,---,---,---,---,---,
Ala Abertura,03:24:36,1436,1,18,0,---,---,
Ala Abertura,03:25:05,1436,4,18,8,---,---,
Ala Abertura,03:25:36,1436,2,---,---,---,---,
Ala Abertura,03:26:07,---,---,---,---,---,---,
Ala Abertura,03:26:36,1434,8,23,0,---,---,
Ala Abertura,03:27:05,1434,7,23,4,---,---,
Ala Abertura,03:27:36,---,---,---,---,---,---,
Ala Abertura,03:28:08,---,---,---,---,---,---,
Ala Abertura,03:28:38,---,---,---,---,---,---,
Ala Abertura,03:29:09,---,---,---,---,---,---,
Ala Abertura,03:29:40,982,1,---,---,---,---,
Ala Abertura,03:30:09,---,---,---,---,---,---,
Ala Abertura,03:30:41,---,---,---,---,---,---,
Ala Abertura,03:31:10,812,7,23,6,---,---,
Ala Abertura,03:31:39,825,2,24,6,---,---,
Ala Abertura,03:32:08,848,3,24,8,---,---,
Ala Abertura,03:32:37,859,9,24,2,---,---,
Ala Abertura,03:33:06,864,6,---,---,---,---,
Ala Abertura,03:33:38,---,---,---,---,---,---,
Ala Abertura,03:34:09,---,---,---,---,---,---,
Ala Abertura,03:34:37,899,6,---,---,---,---,
Ala Abertura,03:35:05,924,4,---,---,---,---,
Ala Abertura,03:35:35,951,2,---,---,---,---,
Ala Abertura,03:36:04,981,2,30,5,---,---,
Ala Abertura,03:36:37,1017,9,---,---,---,---,
Ala Abertura,03:37:07,1053,4,---,---,---,---,
Ala Abertura,03:37:35,1088,4,36,2,---,---,
Ala Abertura,03:38:08,1127,3,34,8,---,---,
Ala Abertura,03:38:37,1159,7,34,6,---,---,
Ala Abertura,03:39:07,1197,5,34,4,---,---,
Ala Abertura,03:39:38,1235,7,34,6,---,---,
Ala Abertura,03:40:08,1268,8,---,---,---,---,
Ala Abertura,03:40:36,1297,5,34,1,---,---,
Ala Abertura,03:41:07,1322,3,---,---,---,---,
Ala Abertura,03:41:38,---,---,---,---,---,---,
