,Tiempo,Escalas(m)Babor,Datos1(°)Babor,Escalas(m)Starboard Door Heel,Datos1(°)Starboard Door Heel,Escalas(m)Estribor,Datos1(Fa)Estribor,Escalas(m)Capturas 1,Datos1()Capturas 1
0,2019-11-14 05:04:00,587.6375,47.275,587.8571428571429,,588.8166666666667,31.640000000000004,726.28,0.0
1,2019-11-14 05:08:00,588.49,46.16,588.0,,589.4499999999998,31.029999999999994,727.5272727272728,0.0
2,2019-11-14 05:12:00,588.0000000000001,47.26499999999999,587.65,,588.8599999999999,29.83,728.3666666666667,0.0
3,2019-11-14 05:16:00,588.29,44.72,588.3199999999998,,589.5199999999999,28.97,728.0875,0.0
4,2019-11-14 05:20:00,588.2499999999999,45.63,588.0727272727273,,589.24,28.56,728.0374999999998,0.0
5,2019-11-14 05:24:00,588.42,43.59,587.9200000000002,,589.1000000000001,28.62,727.7600000000001,0.0
6,2019-11-14 05:28:00,588.52,44.45000000000001,587.7500000000001,,589.1727272727272,26.22727272727273,729.3500000000001,0.0
7,2019-11-14 05:32:00,588.3454545454547,44.29090909090909,588.12,,589.3699999999999,26.53,729.03,0.0
8,2019-11-14 05:36:00,588.3900000000001,42.61,588.36,,589.4999999999999,26.8,728.8000000000002,0.0
9,2019-11-14 05:40:00,588.8888888888888,42.888888888888886,587.95,,589.1300000000001,25.870000000000005,729.3125,0.0
10,2019-11-14 05:44:00,588.5,42.47,588.1090909090909,,589.29,25.25,729.29,0.0
11,2019-11-14 05:48:00,588.3199999999998,42.47,587.98,,589.22,25.21,729.22,0.0
12,2019-11-14 05:52:00,588.6800000000002,42.1,588.3000000000002,,589.3636363636365,25.12727272727273,729.18,0.0
13,2019-11-14 05:56:00,588.4818181818182,42.93636363636364,588.0699999999998,,589.3399999999998,25.28,728.88,0.0
14,2019-11-14 06:00:00,588.58,43.395,587.8599999999999,,589.1,24.95,728.911111111111,0.0
15,2019-11-14 06:04:00,588.36,42.62,587.96,,589.19,24.33,728.9444444444442,0.0
16,2019-11-14 06:08:00,588.5899999999998,43.64,588.9399999999998,,589.6600000000002,25.080000000000005,729.8333333333335,0.0
17,2019-11-14 06:12:00,588.5400000000002,39.935,588.6181818181817,,589.86,24.49,729.6777777777777,0.0
18,2019-11-14 06:16:00,589.1200000000001,42.65,588.29,,589.409090909091,24.8,729.9111111111113,0.0
19,2019-11-14 06:20:00,588.8899999999999,42.72000000000001,588.1600000000002,,589.47,24.05,730.0714285714283,0.0
20,2019-11-14 06:24:00,588.7090909090907,41.63636363636363,588.42,,589.4599999999998,24.15,730.2,0.0
21,2019-11-14 06:28:00,588.4499999999998,41.83,588.55,,590.03,24.03,729.7888888888887,0.0
22,2019-11-14 06:32:00,588.78,42.09,588.5699999999998,,589.8399999999998,24.23,730.1699999999997,0.0
23,2019-11-14 06:36:00,588.7666666666668,39.70000000000001,588.6272727272727,,590.475,22.15625,730.5333333333333,0.0
24,2019-11-14 06:40:00,588.9000000000002,41.98500000000001,588.5909090909091,,589.67,23.23,731.1,0.0
25,2019-11-14 06:44:00,588.73,41.19,588.3399999999998,,589.4,23.08,730.7333333333335,0.0
26,2019-11-14 06:48:00,589.24,42.65500000000001,588.61,,589.5,23.37777777777778,730.0,0.0
27,2019-11-14 06:52:00,589.3800000000001,39.855,589.28,,589.8636363636363,23.072727272727274,730.6857142857143,0.0
28,2019-11-14 06:56:00,588.9454545454546,40.513636363636365,588.8799999999999,,590.3199999999998,23.065,730.8666666666667,0.0
29,2019-11-14 07:00:00,589.6299999999999,41.52499999999999,588.6899999999998,,589.9,22.41,731.1222222222221,0.0
30,2019-11-14 07:04:00,589.7888888888889,42.66111111111111,589.0454545454545,,590.3599999999999,21.59,731.58,0.0
31,2019-11-14 07:08:00,589.95,38.785,588.97,,590.01,22.175,730.9124999999998,0.0
32,2019-11-14 07:12:00,589.0545454545454,41.98181818181818,588.8100000000002,,589.9300000000002,21.9,730.8375,0.0
33,2019-11-14 07:16:00,589.1857142857143,40.40714285714285,588.0,,588.6625,20.9375,730.75,0.0
