Code,Tiempo,Escalas(m),Datos1(),Datos2(m),Latitude,Longitude,Sonda(m),Comment
Capturas 1,06:09:19,800,9,Off,---,---,---,
Capturas 1,06:09:51,---,---,---,---,---,---,
Capturas 1,06:10:17,802,7,Off,---,---,---,
Capturas 1,06:10:47,---,---,---,---,---,---,
Capturas 1,06:11:13,---,---,---,---,---,---,
Capturas 1,06:11:38,801,9,Off,---,---,---,
Capturas 1,06:12:04,802,2,Off,---,---,---,
Capturas 1,06:12:34,---,---,---,---,---,---,
Capturas 1,06:12:59,804,0,---,---,---,---,
Capturas 1,06:13:25,802,1,Off,---,---,---,
Capturas 1,06:13:54,---,---,---,---,---,---,
Capturas 1,06:14:19,803,4,Off,---,---,---,
Capturas 1,06:14:43,804,0,Off,---,---,---,
Capturas 1,06:15:13,---,---,---,---,---,---,
Capturas 1,06:15:36,802,1,---,---,---,---,
Capturas 1,06:16:02,803,3,---,---,---,---,
Capturas 1,06:16:24,801,7,Off,---,---,---,
Capturas 1,06:16:51,803,4,Off,---,---,---,
Capturas 1,06:17:16,804,0,Off,---,---,---,
Capturas 1,06:17:46,---,---,---,---,---,---,
Capturas 1,06:18:10,802,2,Off,---,---,---,
Capturas 1,06:18:40,---,---,---,---,---,---,
Capturas 1,06:19:06,---,---,---,---,---,---,
Capturas 1,06:19:33,---,---,---,---,---,---,
Capturas 1,06:19:57,802,6,Off,---,---,---,
Capturas 1,06:20:26,---,---,---,---,---,---,
Capturas 1,06:20:53,---,---,---,---,---,---,
Capturas 1,06:21:17,804,0,---,---,---,---,
Capturas 1,06:21:40,803,0,Off,---,---,---,
Capturas 1,06:22:06,801,9,Off,---,---,---,
Capturas 1,06:22:31,801,1,Off,---,---,---,
Capturas 1,06:22:57,801,7,Off,---,---,---,
Capturas 1,06:23:23,801,8,Off,---,---,---,
Capturas 1,06:23:49,801,5,Off,---,---,---,
Capturas 1,06:24:13,802,3,Off,---,---,---,
Capturas 1,06:24:39,802,9,Off,---,---,---,
Capturas 1,06:25:04,802,2,Off,---,---,---,
Capturas 1,06:25:28,801,9,Off,---,---,---,
Capturas 1,06:25:53,802,3,Off,---,---,---,
Capturas 1,06:26:22,---,---,---,---,---,---,
Capturas 1,06:26:45,802,6,Off,---,---,---,
Capturas 1,06:27:10,803,1,Off,---,---,---,
