Tiempo,Escalas(m)Babor,Datos1(°)Babor,Escalas(m)Cabecera altura,Datos1(m)Cabecera altura,Escalas(m)Estribor,Datos1(°)Estribor,Escalas(m)Alineamiento de Estribor,Datos1(m)Alineamiento de Estribor,Escalas(m)Abertura,Datos1(m)Abertura,Escalas(m)Starboard Temperature,Datos1(°C)Starboard Temperature
2019-11-27 00:00:00,1496.4,-14.725,2025.1,36.525000000000006,1499.6200000000001,-1.53,1542.08,0.33999999999999997,1044.8666666666666,99.82,1499.3833333333332,12.383333333333333
2019-11-27 00:04:00,1494.2666666666664,-13.466666666666667,1977.525,24.262500000000003,1499.3,-1.1833333333333333,1498.825,0.6125,1358.45,69.33166666666666,1498.8857142857141,12.285714285714288
2019-11-27 00:08:00,1492.8666666666668,-13.0,1929.95,12.0,1469.02,2.713333333333334,1499.0,0.36249999999999993,1298.1750000000002,128.45,1322.75,19.125
2019-11-27 00:12:00,1493.5,-13.15,1660.875,12.0,1498.9,38.33333333333333,1498.78,1.14,1493.2400000000002,124.81999999999998,1507.08,20.369999999999997
2019-11-27 00:16:00,1493.1000000000001,-13.116666666666667,1923.0,11.9,1498.9833333333333,-1.3666666666666665,1498.6666666666667,0.6416666666666667,1495.6,127.8125,1498.84,11.92
2019-11-27 00:20:00,1494.8999999999999,-14.783333333333331,1927.4,10.5,1500.26,9.14,1499.025,0.925,1494.7,128.03333333333333,1499.0,11.908333333333331
2019-11-27 00:24:00,1495.58,-14.113333333333333,1931.8,9.1,1499.4,1.6857142857142853,1499.35,1.25,1495.6999999999998,130.63333333333333,1499.4599999999998,11.790000000000001
2019-11-27 00:28:00,1495.3428571428572,-12.747619047619045,693.0,6.3,1499.4333333333334,-1.1166666666666665,1499.3499999999997,0.3833333333333333,1495.7285714285715,134.56428571428572,1499.32,11.819999999999999
2019-11-27 00:32:00,1496.7749999999999,-12.325,696.7026819923371,6.389655172413793,1499.5000000000002,-0.7916666666666666,1499.2749999999999,0.44999999999999996,1496.9,127.04999999999998,1499.54,11.54
2019-11-27 00:36:00,1497.0,-12.9,700.4053639846743,6.479310344827586,1499.75,-3.5,1499.5514732965007,0.45299263351749536,1497.7,127.3,1499.2,11.5
2019-11-27 00:40:00,1497.2576666666666,-12.873166666666666,704.1080459770114,6.568965517241379,1500.026388888889,-3.4859444444444443,1499.8279465930018,0.45598526703499076,1497.977111111111,127.25083333333333,1499.4153333333334,11.480444444444444
2019-11-27 00:44:00,1497.5153333333333,-12.846333333333334,707.8107279693487,6.658620689655172,1500.3027777777777,-3.471888888888889,1500.1044198895027,0.45897790055248616,1498.2542222222223,127.20166666666667,1499.6306666666667,11.460888888888888
2019-11-27 00:48:00,1497.773,-12.8195,711.5134099616859,6.748275862068965,1500.5791666666667,-3.4578333333333333,1500.3808931860035,0.46197053406998156,1498.5313333333334,127.1525,1499.846,11.441333333333333
2019-11-27 00:52:00,1498.0306666666668,-12.792666666666667,715.216091954023,6.837931034482758,1500.8555555555556,-3.4437777777777776,1500.6573664825044,0.4649631675874769,1498.8084444444444,127.10333333333332,1500.0613333333333,11.421777777777777
2019-11-27 00:56:00,1498.2883333333334,-12.765833333333333,718.9187739463601,6.927586206896551,1501.1319444444443,-3.4297222222222223,1500.9338397790054,0.4679558011049723,1499.0855555555556,127.05416666666666,1500.2766666666666,11.402222222222223
2019-11-27 01:00:00,1498.546,-12.739,722.6214559386973,7.017241379310344,1501.4083333333333,-3.4156666666666666,1501.2103130755063,0.4709484346224677,1499.3626666666667,127.005,1500.492,11.382666666666667
2019-11-27 01:04:00,1498.8036666666667,-12.712166666666667,726.3241379310344,7.106896551724137,1501.6847222222223,-3.401611111111111,1501.4867863720071,0.4739410681399631,1499.639777777778,126.95583333333333,1500.7073333333333,11.363111111111111
2019-11-27 01:08:00,1499.0613333333333,-12.685333333333334,730.0268199233717,7.196551724137931,1501.9611111111112,-3.3875555555555557,1501.7632596685082,0.4769337016574585,1499.916888888889,126.90666666666667,1500.9226666666666,11.343555555555556
2019-11-27 01:12:00,1499.319,-12.6585,733.7295019157089,7.2862068965517235,1502.2375,-3.3735,1502.039732965009,0.4799263351749539,1500.194,126.8575,1501.1380000000001,11.324
2019-11-27 01:16:00,1499.5766666666666,-12.631666666666668,737.432183908046,7.375862068965517,1502.513888888889,-3.3594444444444442,1502.31620626151,0.4829189686924493,1500.4711111111112,126.80833333333334,1501.3533333333335,11.304444444444444
2019-11-27 01:20:00,1499.8343333333332,-12.604833333333334,741.1348659003831,7.46551724137931,1502.7902777777779,-3.345388888888889,1502.592679558011,0.4859116022099447,1500.7482222222222,126.75916666666666,1501.5686666666668,11.284888888888888
2019-11-27 01:24:00,1500.092,-12.578,744.8375478927203,7.555172413793104,1503.0666666666666,-3.3313333333333333,1502.8691528545119,0.48890423572744013,1501.0253333333333,126.71,1501.784,11.265333333333334
2019-11-27 01:28:00,1500.3496666666667,-12.551166666666667,748.5402298850574,7.644827586206897,1503.3430555555556,-3.317277777777778,1503.1456261510127,0.49189686924493553,1501.3024444444445,126.66083333333333,1501.9993333333334,11.245777777777779
2019-11-27 01:32:00,1500.6073333333334,-12.524333333333333,752.2429118773946,7.73448275862069,1503.6194444444445,-3.3032222222222223,1503.4220994475136,0.49488950276243093,1501.5795555555555,126.61166666666666,1502.2146666666667,11.226222222222223
2019-11-27 01:36:00,1500.865,-12.4975,755.9455938697319,7.824137931034483,1503.8958333333333,-3.2891666666666666,1503.6985727440147,0.4978821362799263,1501.8566666666668,126.5625,1502.43,11.206666666666667
