Tiempo,Escalas(m)Babor,Datos1(°)Babor,Escalas(m)Starboard Door Heel,Datos1(°)Starboard Door Heel,Escalas(m)Estribor,Datos1(Fa)Estribor,Escalas(m)Capturas 1,Datos1()Capturas 1
2019-11-27 06:48:00,336.6333333333333,41.295833333333334,430.05,48.35,443.65,7.749999999999999,610.7,0.0
2019-11-27 06:52:00,795.8666666666667,46.84375,796.0500000000001,52.4,797.6666666666666,10.2,929.325,0.0
2019-11-27 06:56:00,797.1333333333333,48.42222222222223,796.325,57.75,797.9,37.849999999999994,932.4199999999998,0.0
2019-11-27 07:00:00,798.4428571428573,48.43714285714286,798.5333333333334,58.699999999999996,798.4625,36.86875,934.2333333333332,0.0
2019-11-27 07:04:00,798.6666666666666,43.47333333333333,798.25,56.150000000000006,798.3,38.25,932.8,0.0
2019-11-27 07:08:00,797.8,43.779999999999994,796.8499999999999,58.8,798.6,36.69,934.8249999999999,0.0
2019-11-27 07:12:00,796.9857142857144,41.51142857142857,797.6,45.349999999999994,801.3,36.36,936.7249999999999,0.0
2019-11-27 07:16:00,798.0166666666668,43.083333333333336,797.6499999999999,49.90625,799.3399999999999,35.652,934.425,0.0
2019-11-27 07:20:00,842.35,38.2,843.45,51.4125,842.2750000000001,33.67142857142858,980.3666666666667,0.0
2019-11-27 07:24:00,844.4000000000001,40.0,842.6666666666666,48.81666666666666,843.575,31.153571428571432,979.6999999999999,0.0
2019-11-27 07:28:00,842.7625,45.525,842.525,42.900000000000006,843.7999999999998,29.655,981.3799999999999,0.0
2019-11-27 07:32:00,843.9555555555555,49.2,843.2125,45.6875,843.1999999999999,31.566666666666666,981.8222222222222,0.0
2019-11-27 07:36:00,843.0285714285714,49.357142857142854,842.3,49.68000000000001,843.7166666666667,31.51666666666667,980.9,0.0
2019-11-27 07:40:00,843.8,48.63333333333334,842.54,51.4,844.1600000000001,30.7,982.1999999999999,0.0
2019-11-27 07:44:00,842.9,49.61875,842.1222222222221,44.855555555555554,843.8666666666668,30.694444444444443,982.5222222222224,0.0
2019-11-27 07:48:00,843.3888888888888,48.23518518518519,842.7222222222223,44.42777777777778,843.45,32.61875,981.7375,0.0
2019-11-27 07:52:00,843.5555555555555,50.22592592592593,842.2571428571428,44.35952380952381,844.088888888889,31.37777777777778,981.6142857142858,0.0
2019-11-27 07:56:00,843.25,49.16944444444445,843.1999999999999,44.208333333333336,843.6833333333334,30.75833333333333,981.2750000000001,0.0
2019-11-27 08:00:00,715.8000000000001,47.330555555555556,702.4125,53.16470588235294,714.95,32.0125,832.0666666666666,0.0
