Tiempo,Escalas(m)Babor,Datos1(°)Babor,Escalas(m)Cabecera altura,Datos1(m)Cabecera altura,Escalas(m)Estribor,Datos1(°)Estribor,Escalas(m)Abertura,Datos1(m)Abertura
2019-11-27 10:56:00,1794.9,-13.0,,,1799.8523809523808,0.5047619047619047,1684.0307692307692,93.65230769230769
2019-11-27 11:00:00,1807.54,-2.4000000000000004,,,1799.904761904762,0.5095238095238095,1664.2384615384615,93.45538461538462
2019-11-27 11:04:00,1820.18,8.2,,,1799.9571428571428,0.5142857142857142,1644.446153846154,93.25846153846155
2019-11-27 11:08:00,1832.82,18.799999999999997,,,1800.009523809524,0.5190476190476191,1624.6538461538462,93.06153846153846
2019-11-27 11:12:00,1845.46,29.4,,,1800.0619047619048,0.5238095238095238,1604.8615384615384,92.86461538461539
2019-11-27 11:16:00,1858.1,40.0,,,1800.1142857142856,0.5285714285714286,1585.0692307692307,92.6676923076923
2019-11-27 11:20:00,1852.03,34.82,,,1800.1666666666667,0.5333333333333333,1565.2769230769231,92.47076923076924
2019-11-27 11:24:00,1845.96,29.64,,,1800.2190476190476,0.5380952380952381,1545.4846153846154,92.27384615384615
2019-11-27 11:28:00,1839.8899999999999,24.46,,,1800.2714285714285,0.5428571428571428,1525.6923076923076,92.07692307692308
2019-11-27 11:32:00,1833.82,19.28,,,1800.3238095238096,0.5476190476190476,1505.9,91.88
2019-11-27 11:36:00,1827.75,14.100000000000001,,,1800.3761904761905,0.5523809523809524,1486.1076923076923,91.68307692307692
2019-11-27 11:40:00,1821.68,8.920000000000002,,,1800.4285714285716,0.5571428571428572,1466.3153846153846,91.48615384615385
2019-11-27 11:44:00,1815.6100000000001,3.740000000000002,,,1800.4809523809524,0.5619047619047619,1446.523076923077,91.28923076923077
2019-11-27 11:48:00,1809.54,-1.4399999999999977,,,1800.5333333333333,0.5666666666666667,1426.7307692307693,91.0923076923077
2019-11-27 11:52:00,1803.47,-6.619999999999997,,,1800.5857142857144,0.5714285714285714,1406.9384615384615,90.89538461538461
2019-11-27 11:56:00,1797.4,-11.8,,,1800.6380952380953,0.5761904761904761,1387.146153846154,90.69846153846154
2019-11-27 12:00:00,1797.76,-11.92,,,1800.6904761904761,0.5809523809523809,1367.3538461538462,90.50153846153846
2019-11-27 12:04:00,1798.1200000000001,-12.040000000000001,,,1800.7428571428572,0.5857142857142856,1347.5615384615385,90.30461538461539
2019-11-27 12:08:00,1798.48,-12.16,,,1800.7952380952381,0.5904761904761905,1327.769230769231,90.1076923076923
2019-11-27 12:12:00,1798.8400000000001,-12.280000000000001,,,1800.8476190476192,0.5952380952380952,1307.976923076923,89.91076923076923
2019-11-27 12:16:00,1799.2,-12.4,,,1800.9,0.6,1288.1846153846154,89.71384615384616
2019-11-27 12:20:00,1790.6571428571428,-12.521428571428572,,,1800.65,17.31666666666667,1268.392307692308,89.51692307692308
2019-11-27 12:24:00,1782.1142857142859,-12.642857142857142,,,1800.4,34.03333333333334,1248.6,89.32000000000001
2019-11-27 12:28:00,1773.5714285714287,-12.764285714285714,,,1800.15,50.75000000000001,1228.8076923076924,89.12307692307692
2019-11-27 12:32:00,1765.0285714285715,-12.885714285714286,,,1799.9,67.46666666666667,1209.0153846153846,88.92615384615385
2019-11-27 12:36:00,1756.4857142857143,-13.007142857142858,1859.5,26.4,1799.65,84.18333333333334,1189.2230769230769,88.72923076923077
2019-11-27 12:40:00,1747.9428571428573,-13.128571428571428,1865.275,26.80909090909091,1799.4,100.9,1169.4307692307693,88.5323076923077
2019-11-27 12:44:00,1739.4,-13.25,1871.05,27.218181818181815,1799.4,2.2,1149.6384615384616,88.33538461538461
2019-11-27 12:48:00,1759.2333333333333,-13.533333333333333,1876.825,27.627272727272725,1798.85,0.8,1129.8461538461538,88.13846153846154
2019-11-27 12:52:00,1779.0666666666668,-13.816666666666666,1882.6,28.036363636363635,1799.275,0.0,1110.0538461538463,87.94153846153847
2019-11-27 12:56:00,1798.9,-14.1,1888.375,28.445454545454545,1799.7,-0.8,1090.2615384615385,87.74461538461539
2019-11-27 13:00:00,1798.7333333333333,-13.633333333333333,1894.15,28.854545454545452,1799.95,0.4,1070.4692307692308,87.54769230769232
2019-11-27 13:04:00,1798.5666666666668,-13.166666666666666,1899.925,29.263636363636362,1798.8,0.2,1050.6769230769232,87.35076923076923
2019-11-27 13:08:00,1798.4,-12.7,1905.7,29.672727272727272,1798.2,0.9,1030.8846153846155,87.15384615384616
2019-11-27 13:12:00,1798.4750000000001,-12.725,1911.475,30.081818181818182,1798.4,0.9,1011.0923076923077,86.95692307692308
2019-11-27 13:16:00,1798.5500000000002,-12.75,1917.25,30.49090909090909,1798.1,1.25,991.3,86.76
2019-11-27 13:20:00,1798.625,-12.775,1923.025,30.9,1797.9,1.2,971.5076923076924,86.56307692307692
2019-11-27 13:24:00,1798.7,-12.8,1928.8,31.30909090909091,1798.15,0.30000000000000004,951.7153846153847,86.36615384615385
2019-11-27 13:28:00,1786.3125,-11.665625,1934.575,31.71818181818182,1798.6,0.7,931.9230769230769,86.16923076923078
2019-11-27 13:32:00,1773.925,-10.53125,1940.35,32.127272727272725,1798.75,0.15,912.1307692307694,85.9723076923077
2019-11-27 13:36:00,1761.5375,-9.396875000000001,1946.125,32.53636363636363,1799.1,1.5,892.3384615384616,85.77538461538462
2019-11-27 13:40:00,1749.15,-8.262500000000001,1951.8999999999999,32.945454545454545,1798.4,0.4,872.5461538461539,85.57846153846154
