,Tiempo,Escalas(m)Babor,Datos1(m)Babor,Escalas(m)Estribor,Datos1(Fa)Estribor,Escalas(m)Abertura Vertical,Datos1(m)Abertura Vertical,Escalas(m)Profundidad 1,Datos1(Fa)Profundidad 1
0,2019-11-14 02:28:00,584.375,48.525,646.2,59.4,536.125,25.475,548.2,48.3
1,2019-11-14 02:32:00,1143.8375,48.125,1174.175,138.2375,1237.5666666666666,25.95833333333333,1146.975,133.16250000000002
2,2019-11-14 02:36:00,1185.525,48.4125,1186.3300000000004,196.63,1246.84,26.32,1179.475,200.8375
3,2019-11-14 02:40:00,1184.9571428571428,50.728571428571435,1184.7142857142858,226.42857142857144,1251.4,26.92,1179.6600000000005,228.68
4,2019-11-14 02:44:00,1187.125,51.85,1185.6111111111113,240.36666666666667,1251.2666666666667,29.08888888888889,1180.35,247.95
5,2019-11-14 02:48:00,1184.99,55.53000000000001,1185.7900000000004,251.05,1252.0400000000004,29.7,1179.2900000000004,257.18999999999994
6,2019-11-14 02:52:00,1184.87,53.21,1185.14,260.97,1251.4636363636364,28.509090909090904,1179.68,265.56
7,2019-11-14 02:56:00,1184.6333333333334,52.62222222222222,1185.02,268.81999999999994,1251.44,28.24,1179.5666666666666,273.1777777777777
8,2019-11-14 03:00:00,1185.34,54.64,1184.77,277.32000000000005,1250.4,29.31,1180.5,279.92857142857144
9,2019-11-14 03:04:00,1184.5888888888887,53.95,1184.45,291.23333333333335,1248.89,28.86,1178.92,293.255
10,2019-11-14 03:08:00,1184.0700000000004,54.46,1184.075,299.5812499999999,1248.7,28.85,1179.15,302.30999999999995
11,2019-11-14 03:12:00,1184.56,54.94,1184.1,304.2444444444445,1248.78,29.49,1178.7454545454545,309.34545454545463
12,2019-11-14 03:16:00,1184.9875000000004,53.2,1184.7199999999998,309.2,1249.09,29.070000000000004,1178.7666666666667,312.12222222222215
13,2019-11-14 03:20:00,1184.02,50.32000000000001,1184.1,311.51,1249.888888888889,27.12222222222222,1178.55,311.85
14,2019-11-14 03:24:00,1184.7,52.0,1184.46,311.33,1249.4499999999996,27.98,1179.042857142857,312.22857142857134
15,2019-11-14 03:28:00,1183.6666666666667,50.93333333333333,1184.111111111111,312.43333333333334,1249.91,27.32,1179.8428571428572,311.27857142857135
16,2019-11-14 03:32:00,1064.0833333333333,54.95000000000001,1074.9499999999996,312.175,1116.15,30.04166666666667,1083.6799999999996,314.5900000000001
17,2019-11-14 03:36:00,759.2900000000002,61.23,761.2714285714285,313.5642857142857,749.1899999999998,36.365,762.8799999999999,316.16
18,2019-11-14 03:40:00,1075.0666666666666,93.0,1025.3000000000004,297.12,1070.6857142857143,48.94285714285714,1079.64,318.8300000000001
19,2019-11-14 03:44:00,1175.909090909091,46.81818181818182,1149.86,307.87,1234.48,27.98,1170.76,322.68999999999994
20,2019-11-14 03:48:00,1183.62,46.68,1180.34,318.84500000000014,1248.8200000000004,24.82,1177.66,319.44
21,2019-11-14 03:52:00,1185.75,44.31000000000001,1182.6555555555556,315.6,1251.1636363636364,24.85454545454546,1179.19,315.5300000000001
22,2019-11-14 03:56:00,1184.91,47.56,1184.34,311.185,1252.81,25.61,1179.1272727272724,310.82727272727266
23,2019-11-14 04:00:00,1184.45,50.59,1184.7666666666667,304.35925925925926,1252.35,27.05,1178.73,307.06
24,2019-11-14 04:04:00,1184.6,52.02,1184.4875,298.95833333333337,1252.62,27.72,1178.7999999999995,300.24
25,2019-11-14 04:08:00,1185.1699999999996,51.92999999999999,1186.025,284.7,1253.98,27.57,1179.13,286.85
26,2019-11-14 04:12:00,1185.4363636363635,51.94545454545455,1185.01,273.13,1253.87,27.79,1179.36,277.05
27,2019-11-14 04:16:00,1185.34,52.02,1185.15,265.77500000000003,1254.49,27.660000000000004,1179.65,269.84000000000003
28,2019-11-14 04:20:00,1185.9111111111113,50.85555555555555,1188.0199999999998,253.92,1255.93,26.7,1180.31,259.89
29,2019-11-14 04:24:00,1159.1166666666666,52.32222222222222,1136.5333333333333,249.075,1168.2285714285715,27.685714285714287,1183.46,251.74
30,2019-11-14 04:28:00,614.1666666666666,53.022222222222226,619.625,248.91875,661.3666666666667,29.200000000000006,674.46,248.94
31,2019-11-14 04:32:00,1085.5714285714287,75.14285714285714,999.425,246.4,1040.9666666666667,42.37777777777778,1083.02,251.6
32,2019-11-14 04:36:00,1171.7199999999998,62.56,1125.21,248.71,1230.3444444444444,39.53333333333333,1166.91,252.83
33,2019-11-14 04:40:00,1186.04,52.09,1183.0099999999998,256.975,1252.27,28.21,1179.9333333333334,258.1
34,2019-11-14 04:44:00,1185.8249999999996,52.41250000000001,1184.79,263.56,1252.54,27.940000000000005,1180.16,265.29
35,2019-11-14 04:48:00,1185.63,51.21,1184.5363636363636,272.22727272727275,1251.4699999999998,27.524999999999995,1179.8200000000004,275.19
36,2019-11-14 04:52:00,1185.5777777777778,53.511111111111106,1184.41,284.66,1250.4599999999996,28.26,1179.9899999999998,286.57
37,2019-11-14 04:56:00,1185.4454545454546,52.1090909090909,1184.2555555555555,295.42222222222216,1250.58,27.64,1179.7900000000004,297.21
38,2019-11-14 05:00:00,1185.81,53.895,1184.0400000000004,301.95,1250.1,29.468181818181826,1179.5899999999995,306.155
39,2019-11-14 05:04:00,1185.0571428571432,51.02857142857143,1183.9999999999998,305.28,1250.5555555555557,27.02222222222223,1179.7,306.5
40,2019-11-14 05:08:00,1184.7099999999996,49.9,1183.6799999999996,305.82,1250.8,26.32727272727273,1179.16,307.1
