,Tiempo,Escalas(m)Babor,Datos1(°)Babor,Escalas(m)Starboard Door Heel,Datos1(°)Starboard Door Heel,Escalas(m)Estribor,Datos1(Fa)Estribor,Escalas(m)Capturas 1,Datos1()Capturas 1
0,2019-11-14 06:00:00,699.1500000000002,,698.55,63.725,699.6999999999998,40.0,833.1,
1,2019-11-14 06:04:00,699.7727272727274,52.2,700.0333333333333,56.76666666666667,700.7333333333332,34.99444444444444,837.3571428571429,0.0
2,2019-11-14 06:08:00,700.2624999999998,51.36160714285714,700.1333333333333,53.225,701.4000000000003,32.3,839.211111111111,0.0
3,2019-11-14 06:12:00,700.9777777777775,50.257142857142846,699.9888888888887,55.32222222222222,701.9571428571428,33.042857142857144,838.2833333333334,0.0
4,2019-11-14 06:16:00,701.3,49.078571428571436,699.7249999999998,53.29166666666667,701.575,32.75625,839.7249999999998,0.0
5,2019-11-14 06:20:00,700.4666666666666,48.530952380952385,700.1888888888889,49.51296296296297,700.8142857142857,31.6,839.6,0.0
6,2019-11-14 06:24:00,701.4199999999997,48.25,700.7625,51.275,701.3666666666667,31.3,839.7250000000001,0.0
7,2019-11-14 06:28:00,699.38,49.61428571428571,698.4250000000002,51.125,700.2874999999998,30.41875,837.6,0.0
8,2019-11-14 06:32:00,700.0,48.84285714285715,699.5666666666666,54.27666666666667,700.275,30.5875,838.6,0.0
9,2019-11-14 06:36:00,699.9000000000002,49.078571428571436,700.0666666666666,53.39000000000001,702.9857142857144,30.99285714285714,839.5,0.0
10,2019-11-14 06:40:00,700.8333333333335,48.34,699.93,51.66666666666666,701.0142857142856,32.25,841.15,0.0
11,2019-11-14 06:44:00,699.5125,47.44250000000001,700.86,50.96666666666667,701.3833333333333,33.50833333333333,840.0250000000002,0.0
12,2019-11-14 06:48:00,700.088888888889,47.43333333333333,700.1222222222221,49.53333333333333,701.1555555555557,31.22962962962963,838.9000000000002,0.0
13,2019-11-14 06:52:00,700.1500000000002,51.10625,699.8499999999998,50.7875,701.1400000000001,31.183333333333334,840.1666666666665,0.0
14,2019-11-14 06:56:00,699.8,50.3412037037037,700.2333333333332,51.48333333333333,701.61,32.09214285714286,839.8,0.0
15,2019-11-14 07:00:00,699.1571428571428,47.90238095238095,700.8199999999998,63.65999999999999,702.0666666666667,30.82142857142857,838.5,0.0
16,2019-11-14 07:04:00,700.11,53.15000000000001,701.0333333333333,56.11666666666667,701.4599999999998,32.165,842.65,0.0
17,2019-11-14 07:08:00,700.76,50.27,700.6714285714287,51.721428571428575,701.2874999999998,32.890625,842.325,0.0
18,2019-11-14 07:12:00,700.4444444444445,52.03888888888889,700.6222222222223,55.68888888888889,701.9899999999999,31.315,842.0,0.0
19,2019-11-14 07:16:00,699.8666666666667,51.40000000000001,700.1000000000001,48.68571428571429,701.1625,31.85833333333333,840.8166666666666,0.0
20,2019-11-14 07:20:00,700.2545454545456,52.26363636363636,699.78,48.69500000000001,701.3909090909091,31.203030303030307,839.6333333333333,0.0
21,2019-11-14 07:24:00,723.1111111111112,57.888888888888886,719.9875,54.45500000000001,726.4857142857143,32.04642857142858,851.6055555555556,0.0
22,2019-11-14 07:28:00,735.5666666666667,49.911111111111104,735.3799999999999,52.742,736.0,32.81071428571429,863.5777777777777,0.0
23,2019-11-14 07:32:00,735.9,48.91250000000001,735.1111111111113,51.6,736.7888888888887,31.73333333333333,875.55,0.0
24,2019-11-14 07:36:00,736.5777777777777,44.18555555555556,735.8428571428572,47.021428571428565,735.9833333333332,29.641666666666666,876.5,0.0
25,2019-11-14 07:40:00,735.8625000000002,15.61625,735.2714285714287,52.78571428571429,736.7,31.0575,876.4000000000002,0.125
26,2019-11-14 07:44:00,735.3727272727272,47.1090909090909,735.33,62.47400000000001,736.4100000000002,30.967,876.3000000000002,0.25
27,2019-11-14 07:48:00,735.6099999999999,48.86,735.2299999999998,51.901,737.0,31.04285714285714,874.05,0.6500000000000001
28,2019-11-14 07:52:00,734.9,46.4,738.6428571428571,52.085714285714296,746.0875,32.08,893.625,0.7250000000000001
29,2019-11-14 07:56:00,772.25,47.24,772.5666666666667,53.21666666666667,772.5600000000002,33.06057142857143,913.2,0.8
30,2019-11-14 08:00:00,772.13,49.12499999999999,771.4571428571428,47.6453781512605,772.6625,31.819642857142853,913.25,0.95
31,2019-11-14 08:04:00,591.325,51.2875,592.1375,40.597058823529416,586.65,30.25625,619.8,0.475
