Code,Tiempo,Escalas(m),Datos1(m),Datos2(m),Latitude,Longitude,Sonda(m),Comment
Abertura,04:52:03,148,9,33,1,---,---,
Abertura,04:52:30,---,44,1,---,---,---,
Abertura,04:52:55,354,5,50,8,---,---,
Abertura,04:53:19,---,---,---,---,---,---,
Abertura,04:53:42,551,8,70,4,---,---,
Abertura,04:54:08,---,70,1,---,---,---,
Abertura,04:54:33,771,8,70,0,---,---,
Abertura,04:54:56,---,---,---,---,---,---,
Abertura,04:55:17,---,---,---,---,---,---,
Abertura,04:55:39,1060,2,77,0,---,---,
Abertura,04:56:01,---,78,8,---,---,---,
Abertura,04:56:26,733,2,---,---,---,---,
Abertura,04:56:45,---,---,---,---,---,---,
Abertura,04:57:08,681,6,---,---,---,---,
Abertura,04:57:29,---,---,---,---,---,---,
Abertura,04:57:56,1666,5,84,4,---,---,
Abertura,04:58:14,---,---,---,---,---,---,
Abertura,04:58:32,---,---,---,---,---,---,
Abertura,04:58:57,1790,0,---,---,---,---,
Abertura,04:59:19,1790,2,---,---,---,---,
Abertura,04:59:42,1791,2,97,9,---,---,
Abertura,05:00:05,1793,4,---,---,---,---,
Abertura,05:00:31,1794,5,---,---,---,---,
Abertura,05:00:54,---,---,---,---,---,---,
Abertura,05:01:20,1796,5,---,---,---,---,
Abertura,05:01:45,---,---,---,---,---,---,
Abertura,05:02:13,1796,4,---,---,---,---,
Abertura,05:02:39,---,---,---,---,---,---,
Abertura,05:03:03,---,---,---,---,---,---,
Abertura,05:03:26,---,---,---,---,---,---,
Abertura,05:03:51,---,---,---,---,---,---,
Abertura,05:04:12,---,---,---,---,---,---,
Abertura,05:04:36,737,2,---,---,---,---,
Abertura,05:04:58,---,---,---,---,---,---,
Abertura,05:05:21,1640,5,227,7,---,---,
Abertura,05:05:43,---,---,---,---,---,---,
Abertura,05:06:07,1339,6,---,---,---,---,
Abertura,05:06:29,---,---,---,---,---,---,
Abertura,05:06:52,1794,0,78,6,---,---,
Abertura,05:07:16,1793,8,---,---,---,---,
Abertura,05:07:37,---,---,---,---,---,---,
Abertura,05:08:01,848,6,---,---,---,---,
Abertura,05:08:22,---,---,---,---,---,---,
Abertura,05:08:49,1793,9,75,7,---,---,
Abertura,05:09:17,---,---,---,---,---,---,
Abertura,05:09:41,---,---,---,---,---,---,
Abertura,05:10:05,1787,6,106,6,---,---,
Abertura,05:10:30,---,---,---,---,---,---,
Abertura,05:10:54,464,4,---,---,---,---,
Abertura,05:11:16,---,---,---,---,---,---,
Abertura,05:11:43,---,---,---,---,---,---,
Abertura,05:12:05,1785,0,116,1,---,---,
Abertura,05:12:27,---,---,---,---,---,---,
Abertura,05:12:47,592,7,---,---,---,---,
Abertura,05:13:12,---,---,---,---,---,---,
Abertura,05:13:39,2832,6,---,---,---,---,
Abertura,05:14:03,---,---,---,---,---,---,
Abertura,05:14:23,---,---,---,---,---,---,
Abertura,05:14:48,1789,6,134,3,---,---,
Abertura,05:15:11,---,---,---,---,---,---,
Abertura,05:15:33,1791,7,139,5,---,---,
Abertura,05:15:55,1791,5,142,1,---,---,
Abertura,05:16:15,---,---,---,---,---,---,
Abertura,05:16:37,1432,5,---,---,---,---,
Abertura,05:16:59,---,---,---,---,---,---,
Abertura,05:17:22,2981,1,---,---,---,---,
