Code,Tiempo,Escalas(m),Datos1(°C),Datos2(m),Latitude,Longitude,Sonda(m),Comment
Starboard Temperature,13:43:32,1550,4,10,7,---,---,
Starboard Temperature,13:44:09,1550,1,10,7,---,---,
Starboard Temperature,13:44:47,1551,0,10,7,---,---,
Starboard Temperature,13:45:24,1550,1,10,7,---,---,
Starboard Temperature,13:46:01,1550,0,10,7,---,---,
Starboard Temperature,13:46:38,1550,1,10,7,---,---,
Starboard Temperature,13:47:15,1550,6,10,7,---,---,
Starboard Temperature,13:47:53,1550,5,10,7,---,---,
Starboard Temperature,13:48:30,1550,1,10,7,---,---,
Starboard Temperature,13:49:07,1550,7,10,7,---,---,
Starboard Temperature,13:49:44,1550,4,10,7,---,---,
Starboard Temperature,13:50:22,1550,4,10,7,---,---,
Starboard Temperature,13:50:59,1550,6,10,7,---,---,
Starboard Temperature,13:51:36,1550,7,10,7,---,---,
Starboard Temperature,13:52:14,1550,5,10,7,---,---,
Starboard Temperature,13:52:51,1550,4,10,7,---,---,
Starboard Temperature,13:53:28,1550,8,10,7,---,---,
Starboard Temperature,13:54:05,1550,5,10,7,---,---,
Starboard Temperature,13:54:42,1550,4,10,7,---,---,
Starboard Temperature,13:55:20,1550,5,10,7,---,---,
Starboard Temperature,13:55:57,1550,6,10,7,---,---,
Starboard Temperature,13:56:35,1550,1,10,7,---,---,
Starboard Temperature,13:57:12,1550,4,10,7,---,---,
Starboard Temperature,13:57:49,1550,5,10,7,---,---,
Starboard Temperature,13:58:27,1550,1,10,7,---,---,
Starboard Temperature,13:59:04,1550,4,10,7,---,---,
Starboard Temperature,13:59:41,1550,0,10,7,---,---,
Starboard Temperature,14:00:18,1550,2,10,7,---,---,
Starboard Temperature,14:00:55,1550,2,10,7,---,---,
Starboard Temperature,14:01:32,1550,1,10,7,---,---,
Starboard Temperature,14:02:09,1549,9,10,7,---,---,
Starboard Temperature,14:02:46,1550,2,10,7,---,---,
Starboard Temperature,14:03:23,1550,0,10,7,---,---,
Starboard Temperature,14:04:00,1550,0,10,7,---,---,
Starboard Temperature,14:04:37,1550,7,10,7,---,---,
Starboard Temperature,14:05:14,1550,4,10,7,---,---,
Starboard Temperature,14:05:52,1550,4,10,7,---,---,
Starboard Temperature,14:06:29,1550,5,10,7,---,---,
Starboard Temperature,14:07:06,1550,6,10,7,---,---,
Starboard Temperature,14:07:43,1550,7,10,7,---,---,
Starboard Temperature,14:08:23,---,---,---,---,---,---,
Starboard Temperature,14:08:59,1550,4,10,7,---,---,
Starboard Temperature,14:09:36,1550,4,10,7,---,---,
Starboard Temperature,14:10:13,1550,1,10,7,---,---,
Starboard Temperature,14:10:51,1550,1,10,8,---,---,
Starboard Temperature,14:11:28,1550,0,10,7,---,---,
Starboard Temperature,14:12:05,1549,8,10,7,---,---,
Starboard Temperature,14:12:42,1549,9,10,7,---,---,
Starboard Temperature,14:13:20,1549,7,10,7,---,---,
