Tiempo,Escalas(m)Babor,Datos1(°)Babor,Escalas(m)Starboard Door Heel,Datos1(°)Starboard Door Heel,Escalas(m)Estribor,Datos1(Fa)Estribor,Escalas(m)Capturas 1,Datos1()Capturas 1
2019-11-27 06:08:00,663.31,53.685,663.4,58.73333333333333,666.0,,801.44,0.0
2019-11-27 06:12:00,663.2428571428571,51.949999999999996,665.6,57.400000000000006,665.9,,801.0800000000002,0.0
2019-11-27 06:16:00,663.6125,48.493750000000006,663.725,49.650000000000006,665.2666666666668,32.6,802.1285714285714,0.0
2019-11-27 06:20:00,663.1,49.71999999999999,663.4333333333333,50.1,664.7333333333333,32.85,802.57,0.0
2019-11-27 06:24:00,663.0222222222222,50.916666666666664,664.1199999999999,47.64,664.2,33.1,802.0125,0.0
2019-11-27 06:28:00,663.0799999999999,47.6,663.1999999999999,46.15,666.2,32.40714285714286,802.9000000000001,0.0
2019-11-27 06:32:00,663.5,47.605555555555554,662.9000000000001,51.8,665.6666666666666,32.44285714285714,802.24,0.0
2019-11-27 06:36:00,663.411111111111,48.011111111111106,663.55,56.95,665.8333333333334,32.48571428571429,801.8571428571429,0.0
2019-11-27 06:40:00,663.76,52.9125,665.3333333333334,56.26666666666667,665.5666666666666,32.12619047619047,802.6625,0.0
2019-11-27 06:44:00,663.01,48.18,664.625,46.224999999999994,665.3,31.766666666666666,802.5625,0.0
2019-11-27 06:48:00,662.475,44.98437500000001,663.525,58.3625,665.3,31.033333333333335,802.4555555555555,0.0
2019-11-27 06:52:00,663.6666666666665,43.7,664.5500000000001,49.0,664.575,30.0,803.2777777777778,0.0
2019-11-27 06:56:00,663.58,50.824999999999996,665.2,48.400000000000006,663.95,31.35,803.2,0.0
2019-11-27 07:00:00,663.89,48.999,664.2125000000001,47.412499999999994,664.3000000000001,30.5,803.1818181818181,0.0
2019-11-27 07:04:00,663.9000000000001,49.61100000000001,662.9000000000001,46.05,664.4749999999999,28.825,803.5374999999999,0.125
2019-11-27 07:08:00,663.4,48.53125,662.9000000000001,45.075,665.24,29.02,803.5333333333333,0.0
2019-11-27 07:12:00,663.2222222222223,49.9,662.9,44.1,666.3,25.975,804.1,0.125
2019-11-27 07:16:00,663.3333333333334,47.42777777777778,664.6999999999999,45.25,664.2,28.6,803.6249999999999,0.0
2019-11-27 07:20:00,663.0777777777778,50.25396825396825,663.25,42.85,665.35,28.8,803.8714285714285,0.0
2019-11-27 07:24:00,662.8399999999999,43.83476190476191,664.7,43.9,664.6,28.7,804.0,0.1111111111111111
2019-11-27 07:28:00,663.5777777777777,46.37169312169312,662.9333333333333,42.36666666666667,664.3,30.049999999999997,804.0799999999999,0.2
2019-11-27 07:32:00,664.0222222222222,48.77460317460318,665.5333333333333,41.81666666666666,663.7666666666667,27.100000000000005,804.1777777777777,0.6666666666666666
2019-11-27 07:36:00,645.3666666666668,48.699999999999996,644.5,45.68928571428572,617.55,29.7,803.6833333333333,0.3333333333333333
